,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,601077,渝农商行,6.03,10.04,0.55,2546655,1506047262.0,7.48,6.03,5.62,5.62,5.48,2.88,4.65,0.56
1,2,600837,海通证券,11.68,9.98,1.06,6381482,7358497580.0,5.56,11.68,11.09,11.68,10.62,6.61,80.05,0.94
2,3,688428,诺诚健华-U,13.58,9.43,1.17,92009,117592893.0,14.42,13.77,11.98,12.4,12.41,3.46,-45.71,3.46
3,4,601211,国泰君安,19.29,8.43,1.5,5124792,9822927021.0,8.54,19.57,18.05,19.57,17.79,6.85,17.12,1.16
4,5,601963,重庆银行,8.4,8.11,0.63,271854,222976582.0,6.95,8.42,7.88,7.89,7.77,1.45,4.82,0.57
5,6,688981,中芯国际,75.06,8.03,5.58,980269,6966158382.0,12.56,76.5,67.77,69.48,69.48,4.93,181.73,4.14
6,7,601600,中国铝业,9.12,7.04,0.6,3477060,3134433997.0,5.87,9.22,8.72,8.72,8.52,2.65,11.15,2.43
7,8,601598,中国外运,5.66,6.99,0.37,802740,441148702.0,6.81,5.69,5.33,5.51,5.29,1.53,10.61,1.07
8,9,601107,四川成渝,5.16,6.83,0.33,463436,236635818.0,4.55,5.2,4.98,5.1,4.83,2.14,11.3,1.01
9,10,601333,广深铁路,3.77,5.9,0.21,676366,247193851.0,6.18,3.78,3.56,3.59,3.56,1.2,14.64,0.99
10,11,600801,华新水泥,13.07,5.4,0.67,171266,222720409.0,3.95,13.24,12.75,12.75,12.4,1.27,18.6,0.95
11,12,601939,建设银行,8.58,5.15,0.42,2260144,1913980980.0,4.66,8.63,8.25,8.25,8.16,2.36,6.53,0.71
12,13,600775,南京熊猫,8.63,5.12,0.42,221082,185796977.0,5.72,8.64,8.17,8.25,8.21,3.29,-57.82,2.44
13,14,002948,青岛银行,3.73,5.07,0.18,553751,203578244.7,3.94,3.75,3.61,3.62,3.55,1.78,4.11,0.61
14,15,600012,皖通高速,15.43,4.89,0.72,68491,103604680.0,7.27,15.68,14.61,14.75,14.71,0.59,15.8,2.05
15,16,601319,中国人保,7.38,4.83,0.34,1373098,992834957.0,4.69,7.38,7.05,7.14,7.04,0.39,7.19,1.29
