,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300674,宇信科技,22.43,20.01,3.74,1537195,3250363236.39,14.34,22.43,19.75,21.68,18.69,21.86,48.45,3.91
1,2,300168,万达信息,7.67,5.36,0.39,360366,265480166.44,8.1,7.69,7.1,7.3,7.28,2.5,-15.12,5.63
2,3,300369,绿盟科技,8.32,5.32,0.42,318559,255222107.95,7.72,8.37,7.76,7.96,7.9,3.99,-13.06,2.66
3,4,300520,科大国创,18.24,5.01,0.87,109052,192689622.84,6.45,18.3,17.18,17.55,17.37,3.93,-134.88,2.85
4,5,300166,东方国信,9.65,2.99,0.28,649104,597704332.65,8.96,9.7,8.86,9.5,9.37,7.17,364.75,1.82
5,6,688023,安恒信息,48.05,2.63,1.23,52051,240922686.0,7.92,48.29,44.58,46.67,46.82,5.1,-8.92,2.08
6,7,300365,恒华科技,6.05,2.54,0.15,155494,91610196.0,4.92,6.05,5.76,5.9,5.9,3.21,287.41,1.83
7,8,688036,传音控股,103.02,1.85,1.87,67962,683983829.0,5.4,103.56,98.1,102.0,101.15,0.6,20.39,6.22
8,9,002232,启明信息,19.31,1.74,0.33,191204,360339506.7,5.01,19.36,18.41,18.55,18.98,4.68,7418.88,5.71
9,10,688031,星环科技-U,39.48,-0.25,-0.1,31720,122091228.0,6.49,39.7,37.13,39.7,39.58,3.43,-12.48,3.78
