,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,836247,华密新材,16.3,9.91,1.47,34526,54110399.04,11.13,16.46,14.81,15.0,14.83,8.98,47.96,4.54
1,2,301005,超捷股份,28.16,7.07,1.86,52312,144153760.58,5.44,28.27,26.84,27.3,26.3,3.95,106.51,4.89
2,3,832469,富恒新材,8.55,6.34,0.51,22851,18910827.06,7.21,8.56,7.98,8.15,8.04,3.02,17.52,2.53
3,4,301548,崇德科技,51.67,5.71,2.79,11704,59460662.9,6.01,51.98,49.04,50.0,48.88,4.94,35.66,3.13
4,5,300699,光威复材,32.37,4.59,1.42,155223,492653248.45,5.65,32.45,30.7,31.35,30.95,1.89,36.53,4.75
5,6,301233,盛帮股份,40.22,4.39,1.69,12198,48598816.0,3.22,40.31,39.07,39.07,38.53,6.53,24.47,2.35
6,7,002625,光启技术,28.0,4.09,1.1,769381,2115472662.18,6.47,28.48,26.74,28.13,26.9,4.33,83.47,7.0
7,8,301526,国际复材,3.94,3.96,0.15,314819,121462339.5,5.54,3.97,3.76,3.82,3.79,5.4,-77.58,1.8
8,9,300538,同益股份,16.55,3.96,0.63,49202,79677490.68,5.21,16.63,15.8,15.94,15.92,4.28,300.98,2.82
9,10,002915,中欣氟材,10.37,3.49,0.35,51073,51977780.4,4.19,10.38,9.96,10.06,10.02,1.77,-72.96,2.31
10,11,002886,沃特股份,14.04,3.31,0.45,62644,86388116.6,4.19,14.06,13.49,13.58,13.59,3.01,124.41,2.11
11,12,301069,凯盛新材,13.98,3.25,0.44,46352,63318781.0,4.43,13.99,13.39,13.63,13.54,1.18,54.44,3.93
12,13,300644,南京聚隆,20.16,3.23,0.63,32922,65212200.17,4.15,20.21,19.4,19.44,19.53,3.84,26.71,2.62
13,14,301131,聚赛龙,33.48,3.21,1.04,7658,25007742.0,4.62,33.5,32.0,32.44,32.44,3.32,55.07,1.99
14,15,301591,肯特股份,35.84,3.11,1.08,11094,39147274.1,3.28,35.85,34.71,35.0,34.76,5.28,39.49,3.58
15,16,300403,汉宇集团,7.74,2.93,0.22,114711,86734161.5,4.79,7.74,7.38,7.6,7.52,2.71,19.98,2.44
16,17,301076,新瀚新材,18.72,2.63,0.48,20403,37273306.0,5.21,18.73,17.78,18.25,18.24,2.94,42.96,2.24
17,18,002562,兄弟科技,3.72,2.2,0.08,110612,40703269.8,4.12,3.74,3.59,3.68,3.64,1.58,140.14,1.28
18,19,002386,天原股份,4.28,1.9,0.08,89429,37986125.28,2.62,4.29,4.18,4.23,4.2,0.69,248.87,0.7
19,20,600143,金发科技,8.06,1.64,0.13,147790,117617762.0,2.52,8.07,7.87,7.94,7.93,0.57,27.98,1.22
20,21,688716,中研股份,19.19,1.37,0.26,8832,16603887.0,4.23,19.25,18.45,19.0,18.93,1.31,66.64,1.99
21,22,003017,大洋生物,18.02,1.01,0.18,8532,15304894.0,3.59,18.27,17.63,17.86,17.84,1.26,24.08,1.5
