,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300929,华骐环保,9.54,20.0,1.59,184648.0,166651454.99,17.23,9.54,8.17,8.29,7.95,15.0,-55.82,1.52
1,2,300355,蒙草生态,5.34,20.0,0.89,5517154.0,2898693112.06,8.09,5.34,4.98,5.34,4.45,40.39,169.42,1.97
2,3,300152,新动力,3.95,13.51,0.47,1113809.0,404229542.11,17.82,4.0,3.38,3.58,3.48,15.63,-192.95,8.91
3,4,300197,节能铁汉,2.01,12.29,0.22,2417808.0,488889731.69,13.41,2.15,1.91,1.94,1.79,8.15,-7.25,1.51
4,5,000628,高新发展,54.29,10.01,4.94,298249.0,1530342351.22,13.5,54.29,47.63,48.32,49.35,15.53,162.97,9.05
5,6,000652,泰达股份,4.2,9.95,0.38,799811.0,325999889.27,6.81,4.2,3.94,4.07,3.82,5.42,31.3,1.09
6,7,002628,成都路桥,2.77,9.92,0.25,259104.0,71224084.4,4.37,2.77,2.66,2.7,2.52,3.43,-37.61,0.71
7,8,603778,国晟科技,3.45,9.87,0.31,323689.0,110408596.0,8.28,3.45,3.19,3.19,3.14,5.04,-10.13,2.63
8,9,000826,启迪环境,2.02,9.78,0.18,594226.0,117153215.6,5.98,2.02,1.91,1.96,1.84,4.17,-6.57,0.72
9,10,300862,蓝盾光电,27.53,9.72,2.44,113919.0,307096280.32,14.31,29.08,25.49,25.49,25.09,7.52,1287.65,2.54
10,11,300425,中建环能,5.6,9.16,0.47,793066.0,432622128.17,11.31,5.82,5.24,5.29,5.13,11.7,74.84,1.65
11,12,300212,易华录,27.68,8.98,2.28,481378.0,1275210049.78,10.79,27.88,25.14,25.4,25.4,6.89,-27.04,6.18
12,13,300210,森远股份,10.18,8.18,0.77,201772.0,197027022.6,8.61,10.21,9.4,9.58,9.41,4.17,-69.79,11.75
13,14,600039,四川路桥,7.31,8.14,0.55,861277.0,618304006.0,4.88,7.35,7.02,7.14,6.76,1.29,9.97,1.45
14,15,002717,岭南股份,2.02,8.02,0.15,2151799.0,420131871.31,8.56,2.05,1.89,1.89,1.87,13.98,-6.84,1.84
15,16,600133,东湖高新,9.67,7.56,0.68,394784.0,366218377.0,9.12,9.78,8.96,9.09,8.99,3.7,62.56,1.23
16,17,600106,重庆路桥,5.88,7.5,0.41,798519.0,451400432.0,10.42,5.94,5.37,5.59,5.47,6.01,40.01,1.62
17,18,002205,国统股份,8.28,7.25,0.56,105480.0,84843724.78,8.42,8.44,7.79,7.8,7.72,5.68,-16.6,2.63
18,19,300334,津膜科技,6.47,7.12,0.43,107819.0,68563448.0,7.78,6.59,6.12,6.12,6.04,3.57,695.86,3.44
19,20,300284,苏交科,9.43,6.92,0.61,702425.0,638574290.81,8.05,9.51,8.8,9.1,8.82,5.88,37.73,1.43
20,21,600340,华夏幸福,1.49,6.43,0.09,1133546.0,167239420.0,4.29,1.5,1.44,1.47,1.4,2.91,-0.6,1.25
21,22,300815,玉禾田,15.1,6.41,0.91,90693.0,134422227.8,6.55,15.27,14.34,14.86,14.19,2.33,9.21,1.55
22,23,600606,绿地控股,2.02,6.32,0.12,1666354.0,330684222.0,7.37,2.06,1.92,2.04,1.9,1.19,67.7,0.36
23,24,000753,漳州发展,3.26,6.19,0.19,234311.0,75269488.71,5.21,3.28,3.12,3.12,3.07,2.36,43.82,1.19
24,25,002941,新疆交建,11.69,6.18,0.68,283442.0,322565811.87,6.72,11.75,11.01,11.36,11.01,4.43,52.6,2.37
25,26,300388,节能国祯,7.07,6.16,0.41,147988.0,102828389.54,5.86,7.14,6.75,7.0,6.66,2.18,12.48,1.12
26,27,600502,安徽建工,5.11,6.02,0.29,702193.0,351204910.0,5.6,5.15,4.88,4.98,4.82,4.09,7.16,0.87
27,28,603815,交建股份,6.49,5.87,0.36,164972.0,105191735.0,7.83,6.59,6.11,6.23,6.13,2.67,26.53,1.74
28,29,300070,碧水源,5.25,5.85,0.29,1706171.0,898222404.72,10.69,5.53,5.0,5.53,4.96,4.97,-130.96,0.7
29,30,300422,博世科,4.79,5.74,0.26,125918.0,59648722.51,5.08,4.85,4.62,4.68,4.53,3.02,48.63,1.21
30,31,605303,园林股份,7.19,5.74,0.39,34406.0,24309214.0,5.0,7.24,6.9,7.0,6.8,2.13,-9.59,1.0
31,32,000010,美丽生态,2.03,5.73,0.11,360469.0,72737845.98,6.25,2.09,1.97,2.0,1.92,6.85,-11.8,13.02
32,33,601668,中国建筑,6.38,5.45,0.33,5442585.0,3440026134.0,4.79,6.47,6.18,6.18,6.05,1.32,4.51,0.61
33,34,002761,浙江建投,9.13,5.43,0.47,389785.0,349937773.7,4.85,9.19,8.77,9.04,8.66,3.6,29.64,1.5
34,35,300067,安诺其,4.86,5.42,0.25,561858.0,263186755.16,6.72,4.86,4.55,4.64,4.61,5.99,252.15,2.2
35,36,603081,大丰实业,9.75,5.29,0.49,61160.0,58761810.0,6.48,9.88,9.28,9.3,9.26,1.51,41.59,1.44
36,37,603843,正平股份,2.81,5.24,0.14,173860.0,48451459.0,6.37,2.87,2.7,2.78,2.67,2.49,-12.54,2.19
37,38,002822,ST中装,1.81,5.23,0.09,127758.0,22743773.41,5.23,1.81,1.72,1.74,1.72,2.44,-1.45,0.6
38,39,300203,聚光科技,16.49,5.1,0.8,247187.0,400858993.0,10.9,17.11,15.4,16.95,15.69,5.51,81.22,2.5
39,40,300237,美晨科技,1.86,5.08,0.09,707025.0,130416053.45,7.34,1.92,1.79,1.86,1.77,4.91,-6.99,18.87
40,41,603007,*ST花王,7.59,4.98,0.36,155563.0,116302074.0,4.84,7.59,7.24,7.24,7.23,3.82,-24.61,8.09
41,42,002973,侨银股份,10.14,4.97,0.48,103572.0,106639988.28,7.04,10.59,9.91,9.91,9.66,6.0,12.02,1.81
42,43,300044,赛为智能,5.1,4.94,0.24,353178.0,175701802.53,5.76,5.13,4.85,4.86,4.86,4.62,-511.28,6.17
43,44,600168,武汉控股,4.47,4.93,0.21,166213.0,73563911.0,6.1,4.56,4.3,4.4,4.26,1.67,27.32,0.84
44,45,600323,瀚蓝环境,23.21,4.83,1.07,141927.0,329002690.0,3.39,23.5,22.75,22.8,22.14,1.74,10.67,1.5
45,46,300266,兴源环境,2.21,4.74,0.1,511123.0,111256245.0,9.0,2.29,2.1,2.23,2.11,3.29,-19.49,17.96
