,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300057,万顺新材,5.18,7.47,0.36,200918.0,100701210.93,11.41,5.32,4.77,4.82,4.82,2.72,-252.9,0.87
1,2,603565,中谷物流,8.59,6.97,0.56,168734.0,139335168.0,7.85,8.63,8.0,8.12,8.03,0.8,11.92,1.81
2,3,300795,米奥会展,16.25,6.56,1.0,21434.0,33432186.39,8.07,16.38,15.15,15.38,15.25,1.61,45.8,6.72
3,4,603967,中创物流,10.25,5.67,0.55,82498.0,83400411.0,5.15,10.36,9.86,10.1,9.7,2.38,13.4,1.59
4,5,300870,欧陆通,49.57,3.51,1.68,16803.0,80612438.04,6.39,49.58,46.52,47.89,47.89,1.66,29.05,2.68
5,6,601339,百隆东方,5.51,2.8,0.15,61658.0,33698825.0,3.73,5.52,5.32,5.38,5.36,0.41,17.75,0.88
6,7,002612,朗姿股份,15.3,2.2,0.33,57408.0,86578459.51,3.67,15.35,14.8,14.89,14.97,2.26,22.31,2.36
7,8,601008,连云港,3.76,2.17,0.08,75870.0,28263264.0,2.17,3.76,3.68,3.7,3.68,0.61,24.46,1.17
8,9,000582,北部湾港,7.99,2.17,0.17,106377.0,84288183.03,2.81,8.04,7.82,7.84,7.82,0.75,14.45,1.06
9,10,002614,奥佳华,6.18,2.15,0.13,55962.0,34215955.0,3.64,6.23,6.01,6.17,6.05,1.27,81.26,0.89
10,11,601880,辽港股份,1.43,2.14,0.03,783127.0,110863628.0,2.86,1.44,1.4,1.41,1.4,0.42,37.69,0.86
11,12,000811,冰轮环境,9.57,2.03,0.19,80307.0,75856476.05,3.41,9.58,9.26,9.47,9.38,1.08,11.04,1.29
12,13,002067,景兴纸业,3.1,1.97,0.06,150847.0,46163021.0,2.96,3.1,3.01,3.05,3.04,1.43,38.79,0.67
13,14,600735,新华锦,4.24,1.92,0.08,51266.0,21459966.0,2.4,4.24,4.14,4.17,4.16,1.2,42.77,1.34
14,15,300094,国联水产,3.47,1.76,0.06,447846.0,152724509.0,4.11,3.48,3.34,3.4,3.41,4.05,111.59,1.51
15,16,600017,日照港,3.01,1.69,0.05,406634.0,121694803.0,2.36,3.03,2.96,2.98,2.96,1.32,10.67,0.68
16,17,002803,吉宏股份,12.28,1.57,0.19,69158.0,83309173.55,4.71,12.33,11.76,12.1,12.09,2.41,32.65,2.19
17,18,002582,好想你,5.6,1.45,0.08,79372.0,44261435.14,2.36,5.64,5.51,5.52,5.52,2.31,-35.02,0.7
18,19,002404,嘉欣丝绸,6.0,1.18,0.07,53176.0,31634181.0,2.87,6.02,5.85,5.94,5.93,1.17,14.91,1.73
19,20,002468,申通快递,11.56,1.05,0.12,255728.0,294625594.49,4.55,11.78,11.26,11.41,11.44,1.71,20.25,1.92
20,21,603167,渤海轮渡,8.16,0.37,0.03,56346.0,45823123.0,3.57,8.28,7.99,8.21,8.13,1.2,18.29,1.04
21,22,600190,ST锦港,,,,,,,,,,1.47,0.0,33.44,0.44
22,23,002321,华英农业,1.83,-0.54,-0.01,209972.0,38261302.0,4.35,1.87,1.79,1.83,1.84,0.99,108.75,3.88
