,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600622,光大嘉宝,2.93,10.15,0.27,180942,53016132.0,0.0,2.93,2.93,2.93,2.66,1.21,-9.93,0.92
1,2,002285,世联行,2.54,9.96,0.23,1230278,305202981.9,5.19,2.54,2.42,2.46,2.31,6.23,166.68,1.66
2,3,600133,东湖高新,9.67,7.56,0.68,394784,366218377.0,9.12,9.78,8.96,9.09,8.99,3.7,62.56,1.23
3,4,600048,保利发展,10.9,6.34,0.65,2988731,3194272688.0,7.22,11.15,10.41,10.59,10.25,2.5,8.79,0.67
4,5,001979,招商蛇口,11.27,6.02,0.64,1714423,1902553085.38,4.89,11.32,10.8,10.95,10.63,2.06,36.03,1.06
5,6,002352,顺丰控股,43.73,4.79,2.0,394726,1699475829.6,4.58,43.98,42.07,42.07,41.73,0.82,21.91,2.38
6,7,600658,电子城,4.18,4.5,0.18,205902,84465110.0,4.25,4.19,4.02,4.08,4.0,1.84,-48.25,0.64
7,8,000002,万  科Ａ,9.49,4.29,0.39,2941224,2749184599.86,4.07,9.53,9.16,9.41,9.1,3.03,-5.75,0.47
8,9,002314,南山控股,2.44,4.27,0.1,326264,78542445.72,4.27,2.46,2.36,2.4,2.34,2.44,-27.95,0.65
9,10,600743,华远地产,1.5,4.17,0.06,350820,52150758.0,3.47,1.51,1.46,1.49,1.44,1.5,-4.49,15.1
10,11,000875,吉电股份,5.42,4.03,0.21,523728,277472127.46,5.37,5.45,5.17,5.25,5.21,1.88,6.91,1.17
11,12,600998,九州通,5.61,3.89,0.21,301086,165209864.0,5.37,5.64,5.35,5.4,5.4,0.6,11.71,1.16
12,13,601186,中国铁建,9.68,3.75,0.35,2084186,2022104728.0,7.72,10.09,9.37,9.37,9.33,1.81,5.52,0.51
13,14,600864,哈投股份,6.12,3.73,0.22,632427,376786826.0,6.61,6.15,5.76,6.11,5.9,3.04,55.8,1.02
14,15,002305,南国置业,1.94,3.19,0.06,819737,158344774.52,4.26,1.98,1.9,1.95,1.88,4.73,384.72,6.88
15,16,600008,首创环保,3.23,2.87,0.09,1115014,357657468.0,2.87,3.25,3.16,3.2,3.14,1.52,12.94,1.23
16,17,600895,张江高科,24.34,2.79,0.66,539909,1278761670.0,5.91,24.5,23.1,23.9,23.68,3.49,70.78,3.03
17,18,300383,光环新网,10.18,2.31,0.23,302167,300626945.79,4.82,10.2,9.72,10.01,9.95,1.68,34.19,1.45
18,19,600035,楚天高速,4.17,2.21,0.09,124414,51387986.0,2.21,4.17,4.08,4.11,4.08,0.77,7.58,0.81
19,20,000909,ST数源,3.87,2.11,0.08,40408,15574489.0,2.9,3.89,3.78,3.78,3.79,0.92,11.91,1.4
20,21,000605,渤海股份,5.42,1.88,0.1,78344,42449423.6,3.2,5.5,5.33,5.42,5.32,2.36,58.5,0.9
21,22,000900,现代投资,4.11,1.73,0.07,140591,57682144.28,1.73,4.13,4.06,4.08,4.04,0.93,12.11,0.58
22,23,002059,云南旅游,5.06,0.8,0.04,106261,53229050.7,2.99,5.08,4.93,5.03,5.02,1.13,-55.72,3.62
23,24,002251,*ST步高,2.91,-1.36,-0.04,131917,37939530.74,3.39,2.92,2.82,2.84,2.95,0.87,-50.24,0.86
24,25,600827,百联股份,8.86,-2.32,-0.21,181017,158996245.0,5.73,9.12,8.6,8.89,9.07,1.13,28.8,0.89
