,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300663,科蓝软件,26.59,18.39,4.13,1574879,3712199320.5,21.02,26.75,22.03,23.88,22.46,37.96,-1812.18,12.01
1,2,300468,四方精创,23.7,14.77,3.05,2046533,4746077370.61,18.89,24.78,20.88,24.78,20.65,38.7,170.86,7.8
2,3,300377,赢时胜,12.98,11.61,1.35,1048811,1258494964.18,16.34,13.0,11.1,11.55,11.63,16.32,-90.01,3.33
3,4,300542,新晨科技,20.16,9.03,1.67,401971,779646066.98,11.03,20.44,18.4,19.7,18.49,16.31,-210.26,9.47
4,5,300036,超图软件,18.54,7.92,1.36,226667,398856167.46,9.43,18.55,16.93,17.25,17.18,5.18,134.74,3.17
5,6,300781,因赛集团,53.33,7.41,3.68,62870,318361169.0,10.69,53.88,48.57,50.01,49.65,7.75,147.17,8.41
6,7,002995,天地在线,15.68,7.1,1.04,74492,114116207.16,7.04,15.79,14.76,14.96,14.64,6.63,-62.17,2.85
7,8,300624,万兴科技,59.1,6.83,3.78,138308,781353500.42,11.68,60.01,53.55,55.4,55.32,8.08,233.28,8.5
8,9,300364,中文在线,23.53,6.23,1.38,507970,1137306688.25,10.38,23.8,21.5,22.2,22.15,7.69,-57.22,15.61
9,10,002987,京北方,17.19,6.11,0.99,873779,1479578636.95,9.94,17.78,16.17,17.0,16.2,14.55,44.28,4.09
10,11,002657,中科金财,15.36,5.93,0.86,245910,372954296.77,4.55,15.5,14.84,15.3,14.5,7.31,-52.73,2.86
11,12,300113,顺网科技,13.59,5.43,0.7,229884,301493811.82,6.83,13.64,12.76,13.0,12.89,4.35,49.43,4.65
12,13,000810,创维数字,10.5,5.42,0.54,279600,284965532.41,6.02,10.53,9.93,9.96,9.96,2.5,33.21,1.89
13,14,688590,新致软件,14.52,5.14,0.71,95646,133997881.0,8.25,14.64,13.5,14.31,13.81,3.67,89.08,2.8
14,15,000676,智度股份,8.61,4.87,0.4,1064913,867247059.48,10.84,8.65,7.76,8.22,8.21,8.43,53.62,2.78
15,16,002354,天娱数科,3.26,4.82,0.15,545158,171994284.4,6.43,3.27,3.07,3.12,3.11,3.37,-403.82,3.81
16,17,300418,昆仑万维,36.28,4.7,1.63,392699,1376316303.0,7.42,36.5,33.93,34.88,34.65,3.19,-57.41,2.96
17,18,603918,金桥信息,11.67,4.48,0.5,135577,153856790.0,6.09,11.7,11.02,11.33,11.17,3.7,-39.83,4.06
18,19,603189,网达软件,17.06,4.34,0.71,170998,278399516.0,8.93,17.2,15.74,16.35,16.35,6.34,382.83,3.05
19,20,300229,拓尔思,16.4,4.26,0.67,281956,445342696.42,7.82,16.48,15.25,15.77,15.73,3.55,109.03,3.85
20,21,600986,浙文互联,4.79,4.13,0.19,319585,148349482.0,6.09,4.8,4.52,4.66,4.6,2.42,57.21,1.4
21,22,300578,会畅通讯,16.57,3.95,0.63,53597,86449485.0,5.27,16.62,15.78,16.0,15.94,2.76,95.14,2.81
22,23,688039,当虹科技,26.5,3.92,1.0,23888,61261637.0,7.14,26.79,24.97,25.5,25.5,2.13,-35.49,2.48
23,24,301248,杰创智能,15.1,3.85,0.56,46254,67919261.55,5.78,15.14,14.3,14.8,14.54,4.53,-35.07,1.52
24,25,600208,衢州发展,2.7,3.85,0.1,1653257,438774890.0,6.54,2.75,2.58,2.71,2.6,1.94,7.48,0.53
25,26,300071,福石控股,3.42,3.64,0.12,331447,111124186.28,5.15,3.44,3.27,3.31,3.3,3.58,395.61,11.52
26,27,300612,宣亚国际,15.52,3.6,0.54,52800,80351258.34,4.94,15.54,14.8,15.03,14.98,2.94,-115.53,5.42
