,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300865,大宏立,19.79,20.01,3.3,46187.0,86121101.5,19.95,19.79,16.5,16.96,16.49,6.82,85.9,2.17
1,2,002094,青岛金王,3.26,10.14,0.3,1219659.0,388777766.39,8.45,3.26,3.01,3.26,2.96,17.66,27.75,1.52
2,3,002480,新筑股份,4.47,10.1,0.41,201910.0,87185440.06,9.11,4.47,4.1,4.18,4.06,2.63,-9.42,2.77
3,4,002512,达华智能,4.58,10.1,0.42,1056551.0,473371521.54,11.3,4.58,4.11,4.16,4.16,10.08,1271.37,11.31
4,5,000514,渝 开 发,4.49,10.05,0.41,960059.0,425796634.55,4.66,4.49,4.3,4.49,4.08,11.38,-57.58,1.02
5,6,000617,中油资本,9.32,10.04,0.85,8892708.0,8163172715.62,7.56,9.32,8.68,9.0,8.47,7.03,19.35,1.15
6,7,605158,华达新材,9.0,10.02,0.82,133767.0,117843083.0,7.82,9.0,8.36,8.53,8.18,2.62,14.74,1.85
7,8,003001,中岩大地,25.48,10.02,2.32,60006.0,148074125.31,10.32,25.48,23.09,23.65,23.16,8.2,79.91,2.79
8,9,002302,西部建设,7.26,10.0,0.66,1138133.0,808977709.08,8.03,7.26,6.73,6.86,6.6,9.02,814.09,1.0
9,10,301027,华蓝集团,9.95,9.7,0.88,120083.0,115671173.3,7.94,9.98,9.26,9.38,9.07,10.16,-35.61,1.56
10,11,300542,新晨科技,20.16,9.03,1.67,401971.0,779646066.98,11.03,20.44,18.4,19.7,18.49,16.31,-210.26,9.47
11,12,300212,易华录,27.64,8.82,2.24,481878.0,1276592749.78,10.79,27.88,25.14,25.4,25.4,6.9,-27.01,6.17
12,13,002668,TCL智家,11.62,8.8,0.94,395073.0,439756194.37,10.58,11.65,10.52,10.64,10.68,3.64,11.26,6.43
13,14,002037,保利联合,8.19,8.48,0.64,319968.0,256664930.66,9.01,8.28,7.6,7.61,7.55,6.61,-38.1,2.08
14,15,600039,四川路桥,7.32,8.28,0.56,863296.0,619781852.0,4.88,7.35,7.02,7.14,6.76,1.29,9.98,1.45
15,16,300374,中铁装配,19.46,7.81,1.41,418529.0,800031769.0,16.45,20.46,17.49,17.49,18.05,20.57,-48.96,5.58
16,17,002281,光迅科技,32.97,7.75,2.37,374793.0,1198216818.04,8.95,33.26,30.52,30.57,30.6,4.85,62.73,3.08
17,18,300447,全信股份,14.14,7.69,1.01,82727.0,114121795.06,7.08,14.18,13.25,13.25,13.13,4.11,51.76,2.17
18,19,300732,设研院,8.13,7.68,0.58,172561.0,136511499.66,7.55,8.2,7.63,7.68,7.55,5.33,-15.07,0.97
19,20,300407,凯发电气,12.01,7.62,0.85,199220.0,235816369.23,9.86,12.5,11.4,11.52,11.16,8.16,43.51,2.18
20,21,000901,航天科技,10.91,7.49,0.76,473723.0,500737354.99,6.31,10.92,10.28,10.35,10.15,5.93,1107.02,2.09
21,22,002843,泰嘉股份,16.21,7.35,1.11,202061.0,313806528.32,12.91,16.37,14.42,14.94,15.1,8.08,37.66,2.95
22,23,300986,志特新材,11.2,7.18,0.75,39660.0,42788248.39,9.09,11.25,10.3,10.43,10.45,1.61,182.28,2.09
23,24,002205,国统股份,8.27,7.12,0.55,105724.0,85045396.78,8.42,8.44,7.79,7.8,7.72,5.69,-16.58,2.63
24,25,300808,久量股份,18.63,7.07,1.23,38587.0,70457011.24,8.56,18.9,17.41,17.7,17.4,3.67,-460.71,2.92
25,26,601598,中国外运,5.66,6.99,0.37,802740.0,441148702.0,6.81,5.69,5.33,5.51,5.29,1.53,10.61,1.07
26,27,603153,上海建科,18.79,6.94,1.22,130891.0,244498027.0,4.04,19.0,18.29,18.5,17.57,9.7,49.96,2.26
27,28,300213,佳讯飞鸿,7.6,6.74,0.48,293988.0,215615268.1,7.44,7.63,7.1,7.13,7.12,5.33,84.91,2.04
28,29,003002,壶化股份,20.23,6.7,1.27,71726.0,138995801.0,9.12,20.3,18.57,19.0,18.96,3.92,32.35,3.14
29,30,835579,机科股份,15.65,6.61,0.97,26939.0,40675755.4,8.45,15.74,14.5,14.96,14.68,6.04,146.62,3.93
30,31,300795,米奥会展,16.25,6.56,1.0,21434.0,33432186.39,8.07,16.38,15.15,15.38,15.25,1.61,45.8,6.72
31,32,601975,招商南油,3.35,6.35,0.2,1452445.0,475133557.0,5.4,3.37,3.2,3.21,3.15,3.02,6.59,1.59
32,33,600575,淮河能源,3.86,6.34,0.23,369632.0,137990237.0,7.16,3.88,3.62,3.65,3.63,0.95,13.04,1.34
33,34,000159,国际实业,6.73,6.32,0.4,177188.0,116219474.18,9.48,6.88,6.28,6.32,6.33,3.69,76.51,1.31
34,35,002941,新疆交建,11.69,6.18,0.68,283758.0,322935248.87,6.72,11.75,11.01,11.36,11.01,4.43,52.6,2.37
