,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600705,中航产融,3.7,4.82,0.17,2664912,961634227.0,9.92,3.8,3.45,3.72,3.53,3.03,68.95,0.89
1,2,000897,津滨发展,2.44,4.27,0.1,451657,108977330.89,3.42,2.45,2.37,2.42,2.34,2.79,5.95,1.3
2,3,600708,光明地产,2.32,4.04,0.09,429127,98399688.0,4.04,2.34,2.25,2.32,2.23,1.93,313.7,0.48
3,4,000631,顺发恒业,2.71,3.83,0.1,147662,39368640.04,4.21,2.74,2.63,2.67,2.61,0.62,97.57,1.14
4,5,600187,国中水务,3.47,3.58,0.12,1177680,399432357.0,9.25,3.55,3.24,3.35,3.35,7.3,540.53,1.78
5,6,000620,新华联,1.64,2.5,0.04,373845,60920737.26,3.75,1.66,1.6,1.64,1.6,0.9,99.26,1.77
6,7,601390,中国中铁,6.75,2.43,0.16,2266107,1529387736.0,4.4,6.89,6.6,6.68,6.59,1.11,5.85,0.57
7,8,600981,汇鸿集团,2.13,1.91,0.04,162872,34307603.0,2.87,2.13,2.07,2.1,2.09,0.73,-7.23,1.07
8,9,601968,宝钢包装,5.2,1.36,0.07,41330,21372519.0,1.75,5.21,5.12,5.15,5.13,0.36,31.54,1.58
9,10,000559,万向钱潮,5.43,0.93,0.05,207595,111447477.98,2.6,5.44,5.3,5.38,5.38,0.63,18.33,2.03
10,11,002516,旷达科技,4.49,0.9,0.04,128874,57137199.24,3.37,4.5,4.35,4.48,4.45,0.89,46.03,1.85
11,12,002024,ST易购,1.54,0.65,0.01,149728,23087375.54,1.96,1.56,1.53,1.53,1.53,0.16,483.52,1.24
12,13,600073,光明肉业,6.6,0.46,0.03,91502,59918278.0,2.74,6.63,6.45,6.56,6.57,0.98,12.21,1.23
13,14,600104,上汽集团,13.68,0.07,0.01,242283,330378256.0,2.05,13.78,13.5,13.67,13.67,0.21,11.95,0.55
14,15,600845,宝信软件,29.68,-1.13,-0.34,253837,741035887.0,5.73,30.2,28.48,30.02,30.02,1.2,32.16,8.17
