,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300114,中航电测,69.67,20.0,11.61,657635,4505059951.12,10.11,69.67,63.8,63.8,58.06,11.13,244.94,16.64
1,2,000617,中油资本,9.32,10.04,0.85,8892266,8162760771.62,7.56,9.32,8.68,9.0,8.47,7.03,19.35,1.15
2,3,002423,中粮资本,17.91,10.01,1.63,1505828,2694663720.47,3.69,17.91,17.31,17.91,16.28,6.54,17.57,1.94
3,4,003042,中农联合,14.42,9.99,1.31,47286,67809445.0,8.01,14.42,13.37,13.37,13.11,3.71,-31.53,1.42
4,5,300425,中建环能,5.6,9.16,0.47,793193,432693282.17,11.31,5.82,5.24,5.29,5.13,11.7,74.84,1.65
5,6,300847,中船汉光,19.39,7.66,1.38,240032,458517945.84,11.49,19.99,17.92,17.92,18.01,8.11,46.95,4.25
6,7,300374,中铁装配,19.42,7.59,1.37,418107,799211531.0,16.45,20.46,17.49,17.49,18.05,20.55,-48.86,5.57
7,8,601600,中国铝业,9.12,7.04,0.6,3474463,3132065738.0,5.87,9.22,8.72,8.72,8.52,2.65,11.15,2.43
8,9,601598,中国外运,5.66,6.99,0.37,802238,440864865.0,6.81,5.69,5.33,5.51,5.29,1.53,10.61,1.07
9,10,000519,中兵红箭,15.03,6.22,0.88,608322,901297738.12,4.38,15.12,14.5,14.6,14.15,4.37,234.72,2.01
10,11,000099,中信海直,17.8,5.95,1.0,450244,782739735.02,6.43,17.88,16.8,16.8,16.8,5.8,52.15,2.67
11,12,601668,中国建筑,6.38,5.45,0.33,5445105,3441634707.0,4.79,6.47,6.18,6.18,6.05,1.32,4.51,0.61
12,13,601319,中国人保,7.37,4.69,0.33,1371900,991951359.0,4.69,7.38,7.05,7.14,7.04,0.39,7.18,1.29
13,14,600705,中航产融,3.69,4.53,0.16,2664236,961384451.0,9.92,3.8,3.45,3.72,3.53,3.03,68.77,0.89
14,15,601611,中国核建,8.56,4.52,0.37,387863,327982582.0,4.03,8.59,8.26,8.26,8.19,1.29,13.5,1.32
15,16,873122,中纺标,56.75,4.49,2.44,32361,181584630.02,13.07,58.0,50.9,50.92,54.31,9.49,422.27,15.79
