,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000617,中油资本,9.32,10.04,0.85,8892648,8163116795.62,7.56,9.32,8.68,9.0,8.47,7.03,19.35,1.15
1,2,601598,中国外运,5.66,6.99,0.37,802722,441138514.0,6.81,5.69,5.33,5.51,5.29,1.53,10.61,1.07
2,3,601600,中国铝业,9.11,6.92,0.59,3476955,3134338208.0,5.87,9.22,8.72,8.72,8.52,2.65,11.14,2.43
3,4,000761,本钢板材,3.4,6.58,0.21,220554,73376193.67,7.21,3.43,3.2,3.2,3.19,0.59,-4.5,0.96
4,5,601668,中国建筑,6.4,5.79,0.35,5458051,3449909917.0,4.79,6.47,6.18,6.18,6.05,1.32,4.52,0.61
5,6,002368,太极股份,21.47,5.45,1.11,289988,606361965.96,7.27,21.66,20.18,20.4,20.36,4.68,-42.12,2.67
6,7,601939,建设银行,8.59,5.27,0.43,2259591,1913506217.0,4.66,8.63,8.25,8.25,8.16,2.36,6.53,0.71
7,8,000059,华锦股份,4.6,5.02,0.22,219382,98338710.76,5.25,4.62,4.39,4.4,4.38,1.37,-4.95,0.54
8,9,601319,中国人保,7.37,4.69,0.33,1372930,992711005.0,4.69,7.38,7.05,7.14,7.04,0.39,7.18,1.29
9,10,601611,中国核建,8.57,4.64,0.38,388424,328463106.0,4.03,8.59,8.26,8.26,8.19,1.29,13.51,1.32
10,11,001965,招商公路,12.36,4.57,0.54,435278,529688167.56,5.58,12.51,11.85,11.99,11.82,0.64,15.56,1.34
11,12,000877,天山股份,5.74,4.55,0.25,236369,133818357.44,3.64,5.75,5.55,5.6,5.49,1.3,-5.98,0.51
12,13,600850,电科数字,21.42,4.39,0.9,97677,202478663.0,6.87,21.54,20.13,20.8,20.52,1.6,54.78,3.34
13,14,601288,农业银行,5.03,4.14,0.2,7681515,3823762022.0,3.73,5.06,4.88,4.9,4.83,0.24,6.48,0.71
