,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300929,华骐环保,9.54,20.0,1.59,184685.0,166686752.99,17.23,9.54,8.17,8.29,7.95,15.0,-55.82,1.52
1,2,300663,科蓝软件,26.52,18.08,4.06,1574298.0,3710655426.5,21.02,26.75,22.03,23.88,22.46,37.95,-1807.41,11.98
2,3,301098,金埔园林,9.24,13.65,1.11,171361.0,151354825.89,11.81,9.37,8.41,8.52,8.13,14.22,30.93,1.26
3,4,300197,节能铁汉,2.01,12.29,0.22,2418440.0,489016733.69,13.41,2.15,1.91,1.94,1.79,8.16,-7.25,1.51
4,5,300159,新研股份,3.01,9.85,0.27,1445689.0,434148772.99,14.6,3.2,2.8,2.8,2.74,9.82,-16.5,-44.55
5,6,301027,华蓝集团,9.95,9.7,0.88,120083.0,115671173.3,7.94,9.98,9.26,9.38,9.07,10.16,-35.61,1.56
6,7,002717,岭南股份,2.03,8.56,0.16,2153525.0,420481100.31,8.56,2.05,1.89,1.89,1.87,14.0,-6.88,1.85
7,8,601963,重庆银行,8.41,8.24,0.64,271549.0,222719923.0,6.95,8.42,7.88,7.89,7.77,1.45,4.83,0.57
8,9,603300,华铁应急,5.19,5.7,0.28,650912.0,333312729.0,5.5,5.23,4.96,5.0,4.91,3.3,15.27,1.74
9,10,300237,美晨科技,1.87,5.65,0.1,707055.0,130421662.45,7.34,1.92,1.79,1.86,1.77,4.91,-7.03,18.98
10,11,300989,蕾奥规划,13.34,5.62,0.71,72114.0,94088611.35,5.23,13.37,12.71,12.82,12.63,7.53,567.98,2.7
11,12,002761,浙江建投,9.14,5.54,0.48,390096.0,350221993.7,4.85,9.19,8.77,9.04,8.66,3.61,29.67,1.5
12,13,001696,宗申动力,14.59,5.5,0.76,707623.0,1002008639.93,7.38,14.66,13.64,13.9,13.83,7.94,29.63,3.47
13,14,836208,青矩技术,22.41,5.36,1.14,5106.0,11231101.7,6.16,22.7,21.39,21.8,21.27,0.92,16.48,2.44
14,15,000997,新 大 陆,16.69,5.3,0.84,255540.0,415424124.37,5.36,16.75,15.9,16.01,15.85,2.49,16.25,2.57
15,16,605069,正和生态,6.59,5.27,0.33,52387.0,34256444.0,5.27,6.75,6.42,6.61,6.26,6.22,-21.38,1.38
16,17,603843,正平股份,2.81,5.24,0.14,174016.0,48495295.0,6.37,2.87,2.7,2.78,2.67,2.49,-12.54,2.19
17,18,300500,启迪设计,12.14,5.11,0.59,43890.0,52018677.0,5.89,12.2,11.52,11.72,11.55,2.69,48.57,1.72
18,19,002431,棕榈股份,1.9,4.97,0.09,278229.0,52488268.13,5.52,1.94,1.84,1.88,1.81,1.56,-4.74,1.2
19,20,002822,ST中装,1.8,4.65,0.08,127771.0,22746116.41,5.23,1.81,1.72,1.74,1.72,2.44,-1.45,0.6
20,21,300778,新城市,12.21,4.63,0.54,84690.0,100771923.24,7.37,12.3,11.44,11.76,11.67,4.16,-11.03,1.86
21,22,002354,天娱数科,3.25,4.5,0.14,545009.0,171945743.4,6.43,3.27,3.07,3.12,3.11,3.37,-402.58,3.8
22,23,600737,中粮糖业,10.71,4.39,0.45,517579.0,543666776.0,4.87,10.76,10.26,10.3,10.26,2.42,13.28,2.11
23,24,603189,网达软件,17.06,4.34,0.71,170971.0,278353452.0,8.93,17.2,15.74,16.35,16.35,6.34,382.83,3.05
24,25,300021,大禹节水,3.91,4.27,0.16,152324.0,58729994.18,4.53,3.94,3.77,3.82,3.75,2.17,88.49,1.8
25,26,300229,拓尔思,16.4,4.26,0.67,281692.0,444909683.42,7.82,16.48,15.25,15.77,15.73,3.54,109.03,3.85
26,27,603359,东珠生态,4.21,4.21,0.17,101868.0,42620990.0,5.94,4.32,4.08,4.15,4.04,2.28,72.3,0.57
27,28,300879,大叶股份,15.3,4.15,0.61,35808.0,53937832.56,3.54,15.33,14.81,14.9,14.69,2.02,25.76,2.68
28,29,300635,中达安,10.8,4.15,0.43,75866.0,80528011.16,5.5,10.88,10.31,10.5,10.37,6.32,159.39,3.44
29,30,603336,宏辉果蔬,3.84,4.07,0.15,128321.0,48923611.0,4.07,3.86,3.71,3.75,3.69,2.25,87.28,1.96
30,31,832786,骑士乳业,6.43,4.05,0.25,117221.0,69333473.5,14.72,6.47,5.56,5.8,6.18,12.27,18.82,1.67
31,32,000735,罗 牛 山,5.61,3.89,0.21,226866.0,125017423.2,4.44,5.64,5.4,5.46,5.4,1.97,11.77,1.52
32,33,600208,衢州发展,2.7,3.85,0.1,1652884.0,438674446.0,6.54,2.75,2.58,2.71,2.6,1.94,7.48,0.53
33,34,600088,中视传媒,15.74,3.83,0.58,81648.0,125290260.0,5.41,15.78,14.96,15.2,15.16,2.05,-169.78,5.13
34,35,300140,节能环境,6.3,3.79,0.23,178135.0,109975876.24,4.61,6.32,6.04,6.17,6.07,1.75,22.32,1.43
35,36,002114,罗平锌电,5.53,3.75,0.2,101083.0,55310175.0,3.56,5.55,5.36,5.4,5.33,3.13,374.78,1.73
36,37,002135,东南网架,4.46,3.72,0.16,161546.0,71461082.98,6.51,4.58,4.3,4.32,4.3,1.5,20.13,0.81
37,38,001313,粤海饲料,7.37,3.66,0.26,33895.0,24561830.88,3.66,7.37,7.11,7.24,7.11,1.55,-53.76,1.99
38,39,301167,建研设计,13.68,3.64,0.48,26402.0,35616702.0,4.7,13.77,13.15,13.33,13.2,3.71,135.54,1.66
39,40,300612,宣亚国际,15.52,3.6,0.54,52777.0,80315568.34,4.94,15.54,14.8,15.03,14.98,2.93,-115.53,5.42
40,41,002215,诺 普 信,8.57,3.5,0.29,177470.0,147817510.31,5.31,8.59,8.15,8.35,8.28,2.24,7.8,2.2
41,42,600853,龙建股份,3.55,3.5,0.12,218694.0,76781924.0,4.96,3.59,3.42,3.57,3.43,2.17,26.05,1.25
42,43,002060,广东建工,3.86,3.49,0.13,222420.0,84713716.9,3.75,3.87,3.73,3.79,3.73,1.42,15.83,1.12
43,44,600084,中信尼雅,5.24,3.35,0.17,41697.0,21564836.0,3.35,5.25,5.08,5.08,5.07,0.37,-589.38,4.63
44,45,002133,广宇集团,2.49,3.32,0.08,127826.0,31698074.64,4.98,2.56,2.44,2.45,2.41,1.66,-15.79,0.5
45,46,300511,雪榕生物,3.74,3.31,0.12,148957.0,54718928.75,4.42,3.76,3.6,3.62,3.62,3.56,-6.5,1.39
46,47,603109,神驰机电,13.76,3.3,0.44,18662.0,25259550.0,4.35,13.78,13.2,13.33,13.32,0.9,24.43,1.6
47,48,000779,甘咨询,8.17,3.16,0.25,101775.0,82210550.27,3.16,8.17,7.92,8.03,7.92,2.19,15.02,1.01
48,49,603825,华扬联众,10.14,3.15,0.31,95541.0,95396573.0,6.31,10.34,9.72,9.92,9.83,3.77,-12.51,3.0
49,50,002291,遥望科技,5.26,3.14,0.16,255508.0,131745833.5,4.9,5.28,5.03,5.11,5.1,2.91,-11.19,1.15
50,51,600251,冠农股份,7.64,3.1,0.23,62868.0,47359649.0,3.51,7.65,7.39,7.4,7.41,0.81,9.81,1.62
51,52,600736,苏州高新,4.77,3.02,0.14,230233.0,109183863.0,3.89,4.84,4.66,4.8,4.63,2.0,19.26,0.74
52,53,000680,山推股份,7.94,2.98,0.23,166207.0,130509561.28,2.98,7.97,7.74,7.78,7.71,1.27,14.23,2.06
53,54,000881,中广核技,6.96,2.96,0.2,80292.0,55095589.84,3.55,6.98,6.74,6.76,6.76,1.02,-38.0,1.2
54,55,603018,华设集团,7.73,2.93,0.22,86126.0,65498601.0,3.86,7.75,7.46,7.65,7.51,1.27,17.17,1.08
55,56,002714,牧原股份,43.5,2.89,1.22,326915.0,1404492655.14,3.33,43.56,42.15,42.4,42.28,0.86,143.34,3.77
56,57,300513,恒实科技,9.07,2.83,0.25,50216.0,44437273.0,5.33,9.1,8.63,8.91,8.82,1.78,-27.92,1.21
57,58,300605,恒锋信息,12.43,2.81,0.34,49182.0,60008312.08,4.8,12.48,11.9,12.26,12.09,4.33,-49.18,3.85
58,59,300603,立昂技术,9.15,2.81,0.25,121776.0,108669177.26,5.28,9.17,8.7,9.01,8.9,3.38,-127.69,2.99
59,60,600936,广西广电,2.57,2.8,0.07,85268.0,21644726.0,3.2,2.58,2.5,2.52,2.5,0.51,-5.68,3.71
60,61,603949,雪龙集团,10.89,2.74,0.29,22454.0,24132093.0,4.25,10.95,10.5,10.58,10.6,1.07,35.09,2.32
61,62,002566,益盛药业,6.87,2.69,0.18,32742.0,22246610.0,2.54,6.88,6.71,6.77,6.69,1.41,34.1,1.03
62,63,000713,丰乐种业,6.25,2.63,0.16,92546.0,57146964.58,3.61,6.26,6.04,6.08,6.09,1.51,-85.88,2.0
63,64,002041,登海种业,9.04,2.61,0.23,84449.0,75322432.58,3.41,9.06,8.76,8.89,8.81,0.96,75.43,2.22
64,65,002470,金正大,1.58,2.6,0.04,386383.0,60389703.88,3.25,1.59,1.54,1.56,1.54,1.18,15.41,2.37
65,66,000157,中联重科,7.11,2.6,0.18,587214.0,414434125.86,2.74,7.13,6.94,6.97,6.93,0.83,13.48,1.1
66,67,003013,地铁设计,13.88,2.59,0.35,18495.0,25355726.0,3.1,13.92,13.5,13.68,13.53,0.46,13.69,2.31
67,68,002887,绿茵生态,6.53,2.51,0.16,32413.0,21157886.6,2.98,6.62,6.43,6.52,6.37,2.03,24.25,0.91
68,69,301107,瑜欣电子,25.12,2.49,0.61,6934.0,17192631.0,4.04,25.3,24.31,24.72,24.51,3.31,36.5,2.04
69,70,601118,海南橡胶,5.82,2.46,0.14,289625.0,167021182.0,3.35,5.87,5.68,5.73,5.68,0.68,-42.0,2.67
70,71,300275,梅安森,12.14,2.45,0.29,73724.0,88100759.94,4.3,12.19,11.68,11.91,11.85,2.89,57.36,4.25
