,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600322,津投城开,2.29,10.1,0.21,1951497.0,442854615.0,6.25,2.29,2.16,2.29,2.08,17.65,-6.26,85.17
1,2,600550,保变电气,9.92,9.98,0.9,1793188.0,1733389029.0,11.2,9.92,8.91,8.96,9.02,9.74,400.87,34.55
2,3,300212,易华录,27.67,8.94,2.27,481402.0,1275276469.78,10.79,27.88,25.14,25.4,25.4,6.9,-27.03,6.17
3,4,000158,常山北明,19.12,8.08,1.43,3861227.0,6824630093.91,18.94,19.34,15.99,16.84,17.69,24.32,-62.73,5.45
4,5,300407,凯发电气,11.98,7.35,0.82,199128.0,235705897.23,9.86,12.5,11.4,11.52,11.16,8.15,43.4,2.17
5,6,600340,华夏幸福,1.5,7.14,0.1,1133611.0,167249170.0,4.29,1.5,1.44,1.47,1.4,2.91,-0.61,1.26
6,7,300334,津膜科技,6.47,7.12,0.43,107819.0,68563448.0,7.78,6.59,6.12,6.12,6.04,3.57,695.86,3.44
7,8,600463,空港股份,10.77,6.11,0.62,119582.0,125752537.0,6.9,10.88,10.18,10.27,10.15,3.99,-30.1,3.12
8,9,600376,首开股份,2.79,6.08,0.16,482796.0,131682857.0,4.56,2.79,2.67,2.71,2.63,1.87,-1.85,0.45
9,10,000401,冀东水泥,5.41,5.87,0.3,197780.0,105309614.33,3.91,5.42,5.22,5.3,5.11,1.28,-8.92,0.52
10,11,300070,碧水源,5.25,5.85,0.29,1706230.0,898253370.72,10.69,5.53,5.0,5.53,4.96,4.97,-130.96,0.7
11,12,002573,清新环境,4.03,5.22,0.2,140424.0,55966961.0,6.27,4.13,3.89,3.94,3.83,1.0,40.17,0.91
12,13,000638,万方发展,4.31,4.87,0.2,130602.0,55858711.67,3.41,4.34,4.2,4.29,4.11,4.21,640.83,7.93
13,14,600082,海泰发展,2.53,4.55,0.11,136695.0,34323398.0,3.31,2.55,2.47,2.5,2.42,2.15,-26.67,0.94
14,15,300774,倍杰特,9.22,4.42,0.39,43065.0,38890834.0,5.32,9.25,8.78,8.78,8.83,2.21,13.92,2.54
15,16,300185,通裕重工,2.43,4.29,0.1,726373.0,174609408.4,2.58,2.43,2.37,2.37,2.33,1.98,116.69,1.42
16,17,000897,津滨发展,2.44,4.27,0.1,451487.0,108935790.89,3.42,2.45,2.37,2.42,2.34,2.79,5.95,1.3
17,18,601992,金隅集团,1.74,4.19,0.07,578485.0,99436148.0,3.59,1.75,1.69,1.69,1.67,0.69,-11.52,0.42
18,19,600791,京能置业,3.99,4.18,0.16,132946.0,52304171.0,3.39,4.0,3.87,3.96,3.83,2.94,-15.06,2.48
19,20,000505,京粮控股,6.68,4.05,0.26,219216.0,144438654.93,8.72,6.85,6.29,6.45,6.42,3.47,100.92,1.55
20,21,600159,大龙地产,2.63,3.95,0.1,296040.0,77389915.0,5.14,2.69,2.56,2.65,2.53,3.57,-92.27,1.14
21,22,002146,荣盛发展,1.64,3.8,0.06,1209895.0,196410160.05,6.33,1.68,1.58,1.65,1.58,3.1,-11.26,0.31
22,23,000797,中国武夷,3.09,3.34,0.1,476580.0,145786238.35,3.68,3.11,3.0,3.07,2.99,3.04,12.09,0.91
23,24,600246,万通发展,8.15,3.3,0.26,503261.0,397709267.0,7.22,8.25,7.68,7.8,7.89,2.53,-102.34,2.92
24,25,002282,博深股份,6.71,3.23,0.21,44666.0,29568263.0,3.85,6.73,6.48,6.65,6.5,0.89,16.08,1.02
25,26,600149,廊坊发展,3.99,3.1,0.12,73573.0,29148449.0,3.62,4.03,3.89,3.93,3.87,1.94,794.46,10.24
26,27,000923,河钢资源,15.68,3.09,0.47,119988.0,186319375.0,3.42,15.78,15.26,15.48,15.21,1.91,10.72,1.09
27,28,000931,中 关 村,4.7,3.07,0.14,98303.0,45499501.14,5.04,4.76,4.53,4.57,4.56,1.32,48.64,2.25
28,29,601588,北辰实业,1.71,3.01,0.05,298105.0,50677912.0,3.61,1.73,1.67,1.69,1.66,1.12,-3.9,0.49
29,30,600480,凌云股份,8.97,2.99,0.26,132358.0,116145045.0,4.02,8.98,8.63,8.71,8.71,1.44,10.57,1.18
30,31,000965,天保基建,3.16,2.93,0.09,365725.0,114886952.79,3.58,3.2,3.09,3.16,3.07,3.3,327.68,0.65
31,32,000969,安泰科技,9.48,2.82,0.26,155164.0,144550664.05,3.47,9.49,9.17,9.29,9.22,1.51,17.76,1.85
32,33,000856,冀东装备,7.0,2.79,0.19,38709.0,26881356.4,2.94,7.04,6.84,6.86,6.81,1.71,44.83,3.76
33,34,000959,首钢股份,3.34,2.77,0.09,290862.0,95984085.8,2.46,3.34,3.26,3.3,3.25,0.45,32.89,0.52
34,35,000620,新华联,1.64,2.5,0.04,373767.0,60907945.26,3.75,1.66,1.6,1.64,1.6,0.9,99.26,1.77
35,36,601000,唐山港,4.94,2.49,0.12,688928.0,339590753.0,4.15,5.02,4.82,4.83,4.82,1.16,13.26,1.47
36,37,002442,龙星化工,4.6,2.45,0.11,79066.0,35955323.13,3.56,4.62,4.46,4.5,4.49,1.62,18.52,1.32
37,38,000709,河钢股份,2.19,2.34,0.05,772267.0,167483386.93,2.34,2.19,2.14,2.16,2.14,0.75,27.4,0.44
38,39,600874,创业环保,5.74,2.32,0.13,146241.0,84218894.0,5.88,5.95,5.62,5.9,5.61,1.19,10.68,0.97
39,40,000860,顺鑫农业,17.95,2.16,0.38,147518.0,259213156.14,4.95,17.99,17.12,17.57,17.57,1.99,15.75,1.85
40,41,600135,乐凯胶片,6.24,2.13,0.13,94125.0,58266834.0,2.78,6.27,6.1,6.1,6.11,1.7,-54.22,1.4
41,42,000600,建投能源,5.15,1.98,0.1,218803.0,111649574.39,2.97,5.18,5.03,5.08,5.05,2.01,13.97,0.92
