,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300197,节能铁汉,2.01,12.29,0.22,2417841.0,488896364.69,13.41,2.15,1.91,1.94,1.79,8.15,-7.25,1.51
1,2,600939,重庆建工,2.82,10.16,0.26,485209.0,133625156.0,6.25,2.82,2.66,2.7,2.56,2.55,-142.31,0.67
2,3,600622,光大嘉宝,2.93,10.15,0.27,180942.0,53016132.0,0.0,2.93,2.93,2.93,2.66,1.21,-9.93,0.92
3,4,002094,青岛金王,3.26,10.14,0.3,1219574.0,388750056.39,8.45,3.26,3.01,3.26,2.96,17.66,27.75,1.52
4,5,600322,津投城开,2.29,10.1,0.21,1951497.0,442854615.0,6.25,2.29,2.16,2.29,2.08,17.65,-6.26,85.17
5,6,601929,吉视传媒,1.42,10.08,0.13,2079514.0,284553533.0,9.3,1.42,1.3,1.31,1.29,5.96,-10.92,0.79
6,7,600239,云南城投,3.28,10.07,0.3,3989397.0,1287698525.0,9.73,3.28,2.99,3.28,2.98,24.85,64.09,3.74
7,8,000793,华闻集团,1.76,10.0,0.16,1586901.0,275987648.65,6.25,1.76,1.66,1.66,1.6,8.09,-29.0,4.01
8,9,600193,创兴资源,2.76,9.96,0.25,252685.0,66990980.0,9.96,2.76,2.51,2.53,2.51,5.94,-84.84,4.05
9,10,002285,世联行,2.54,9.96,0.23,1230284.0,305204505.9,5.19,2.54,2.42,2.46,2.31,6.23,166.68,1.66
10,11,002628,成都路桥,2.77,9.92,0.25,259104.0,71224084.4,4.37,2.77,2.66,2.7,2.52,3.43,-37.61,0.71
11,12,600225,卓朗科技,3.23,9.86,0.29,1542909.0,485141192.0,7.82,3.23,3.0,3.0,2.94,4.53,-46.64,6.0
12,13,300159,新研股份,3.01,9.85,0.27,1445600.0,434121983.99,14.6,3.2,2.8,2.8,2.74,9.82,-16.5,-44.55
13,14,000826,启迪环境,2.02,9.78,0.18,594226.0,117153215.6,5.98,2.02,1.91,1.96,1.84,4.17,-6.57,0.72
14,15,600595,中孚实业,3.06,9.68,0.27,1060172.0,312309152.0,7.53,3.07,2.86,2.89,2.79,2.65,13.83,0.87
15,16,002607,中公教育,2.87,8.71,0.23,5933636.0,1635846466.15,9.85,2.89,2.63,2.66,2.64,11.8,76.36,25.92
16,17,002717,岭南股份,2.02,8.02,0.15,2152771.0,420328299.31,8.56,2.05,1.89,1.89,1.87,13.99,-6.84,1.84
17,18,000838,财信发展,2.69,7.6,0.19,346390.0,90692315.51,6.4,2.7,2.54,2.56,2.5,3.29,152.43,4.29
18,19,600340,华夏幸福,1.5,7.14,0.1,1133668.0,167257720.0,4.29,1.5,1.44,1.47,1.4,2.91,-0.61,1.26
19,20,000592,平潭发展,1.84,6.98,0.12,823371.0,151425105.7,6.4,1.88,1.77,1.79,1.72,4.3,81.57,1.71
20,21,600665,天地源,2.99,6.41,0.18,214612.0,62448847.0,5.69,3.0,2.84,2.89,2.81,2.48,-45.06,0.67
21,22,000010,美丽生态,2.04,6.25,0.12,360583.0,72761057.98,6.25,2.09,1.97,2.0,1.92,6.86,-11.85,13.08
22,23,002589,瑞康医药,3.1,6.16,0.18,733433.0,222056910.62,7.88,3.13,2.9,2.98,2.92,5.37,75.17,0.85
23,24,600606,绿地控股,2.01,5.79,0.11,1666391.0,330691664.0,7.37,2.06,1.92,2.04,1.9,1.19,67.37,0.35
24,25,600376,首开股份,2.78,5.7,0.15,482830.0,131692309.0,4.56,2.79,2.67,2.71,2.63,1.87,-1.84,0.45
25,26,002047,宝鹰股份,1.86,5.68,0.1,225723.0,41520840.52,4.55,1.88,1.8,1.8,1.76,1.68,-6.3,113.14
26,27,000820,神雾节能,2.99,5.65,0.16,130500.0,38665972.92,6.01,3.05,2.88,2.88,2.83,4.54,-84.28,25.0
