,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,003042,中农联合,14.42,9.99,1.31,47286,67809445.0,8.01,14.42,13.37,13.37,13.11,3.71,-31.53,1.42
1,2,600318,新力金融,7.43,7.68,0.53,621504,459226665.0,5.22,7.58,7.22,7.57,6.9,12.12,104.89,3.6
2,3,000893,亚钾国际,17.8,4.64,0.79,115992,201559401.1,5.53,17.88,16.94,16.94,17.01,1.43,30.62,1.44
3,4,002014,永新股份,9.85,4.12,0.39,42992,41633081.16,3.81,9.86,9.5,9.59,9.46,0.71,16.74,2.62
4,5,603970,中农立华,14.09,2.7,0.37,21773,30197161.0,3.94,14.1,13.56,13.76,13.72,0.81,11.98,2.56
5,6,000722,湖南发展,9.47,2.16,0.2,60561,56879762.93,2.27,9.5,9.29,9.3,9.27,1.3,47.12,1.43
6,7,603029,天鹅股份,14.73,2.08,0.3,21108,30927301.0,2.56,14.8,14.43,14.43,14.43,1.74,59.47,2.12
7,8,002999,天禾股份,5.62,2.0,0.11,47247,26365695.0,2.54,5.64,5.5,5.58,5.51,1.38,62.1,1.62
8,9,600217,中再资环,5.43,1.88,0.1,240136,129277867.0,4.5,5.5,5.26,5.4,5.33,1.73,27.75,2.47
9,10,002643,万润股份,9.92,1.54,0.15,169957,166439948.55,3.38,9.95,9.62,9.81,9.77,1.88,21.43,1.33
10,11,600354,敦煌种业,5.31,1.53,0.08,69955,36940036.0,2.49,5.34,5.21,5.23,5.23,1.33,44.63,4.45
11,12,002556,辉隆股份,5.2,1.36,0.07,65434,33716643.74,2.53,5.21,5.08,5.12,5.13,0.7,14.01,1.35
12,13,002758,浙农股份,8.74,0.58,0.05,40093,34778173.5,2.88,8.8,8.55,8.69,8.69,0.77,21.64,1.01
13,14,000564,供销大集,1.84,0.55,0.01,1722667,313435052.34,3.83,1.85,1.78,1.82,1.83,1.12,-398.21,2.21
