,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,836149,旭杰科技,8.73,17.65,1.31,79008,65278213.92,20.75,8.98,7.44,7.64,7.42,16.5,33.6,3.39
1,2,300715,凯伦股份,8.02,11.54,0.83,55670,42691065.6,11.96,8.08,7.22,7.29,7.19,1.63,198.81,1.33
2,3,300737,科顺股份,5.77,10.75,0.56,311901,170913652.68,10.36,5.81,5.27,5.32,5.21,3.62,34.45,1.27
3,4,002271,东方雨虹,14.08,9.91,1.27,1071386,1446027376.3,9.06,14.09,12.93,13.21,12.81,5.54,18.18,1.32
4,5,301027,华蓝集团,9.95,9.7,0.88,120083,115671173.3,7.94,9.98,9.26,9.38,9.07,10.16,-35.61,1.56
5,6,873665,科强股份,8.93,9.44,0.77,31326,27223305.65,7.11,8.96,8.38,8.5,8.16,8.04,15.23,1.69
6,7,300746,汉嘉设计,15.91,8.97,1.31,191154,288660471.0,10.14,15.96,14.48,14.7,14.6,8.62,482.7,3.04
7,8,688408,中信博,82.78,8.21,6.28,31479,248299906.0,9.57,83.29,75.97,78.0,76.5,1.56,36.22,5.51
8,9,300732,设研院,8.13,7.68,0.58,172534,136489538.66,7.55,8.2,7.63,7.68,7.55,5.33,-15.07,0.97
9,10,300956,英力股份,17.91,6.93,1.16,106970,184570791.82,7.46,17.97,16.72,16.86,16.75,11.95,315.16,2.32
10,11,300118,东方日升,12.63,6.22,0.74,517382,641802607.39,6.9,12.78,11.96,12.08,11.89,5.58,-7.48,1.03
11,12,301024,霍普股份,23.56,6.22,1.38,13223,30447906.5,5.95,23.67,22.35,22.61,22.18,7.45,-39.21,2.95
12,13,600502,安徽建工,5.11,6.02,0.29,702250,351234037.0,5.6,5.15,4.88,4.98,4.82,4.09,7.16,0.87
13,14,002047,宝鹰股份,1.86,5.68,0.1,225723,41520840.52,4.55,1.88,1.8,1.8,1.76,1.68,-6.3,113.14
14,15,002822,ST中装,1.81,5.23,0.09,127758,22743773.41,5.23,1.81,1.72,1.74,1.72,2.44,-1.45,0.6
15,16,300500,启迪设计,12.14,5.11,0.59,43890,52018677.0,5.89,12.2,11.52,11.72,11.55,2.69,48.57,1.72
16,17,300490,华自科技,8.1,4.79,0.37,159882,127532564.76,6.99,8.2,7.66,7.8,7.73,4.09,-44.31,1.17
17,18,603628,清源股份,13.71,4.66,0.61,100176,134596991.0,4.96,13.74,13.09,13.09,13.1,3.66,35.13,2.96
18,19,300324,旋极信息,3.07,4.42,0.13,709732,212441182.36,5.44,3.08,2.92,2.95,2.94,4.15,-23.15,1.75
19,20,301046,能辉科技,21.63,4.34,0.9,17412,36767923.0,5.64,21.68,20.51,20.9,20.73,1.54,50.93,4.06
20,21,603017,中衡设计,8.52,4.28,0.35,50761,42776733.0,3.67,8.57,8.27,8.27,8.17,1.84,16.54,1.56
21,22,300665,飞鹿股份,6.1,4.27,0.25,66840,40363600.0,6.15,6.23,5.87,5.93,5.85,4.44,-12.11,2.39
22,23,600580,卧龙电驱,12.22,4.18,0.49,231702,275028522.0,5.29,12.24,11.62,11.73,11.73,1.77,20.35,1.63
