,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,837006,晟楠科技,15.05,29.97,3.47,133759,195503415.59,22.19,15.05,12.48,12.5,11.58,41.63,82.87,4.01
1,2,300489,光智科技,27.34,20.02,4.56,4701,12851987.2,0.0,27.34,27.34,27.34,22.78,0.34,-53.15,6.58
2,3,300114,中航电测,69.67,20.0,11.61,657665,4505268961.12,10.11,69.67,63.8,63.8,58.06,11.13,244.94,16.64
3,4,301357,北方长龙,35.59,19.99,5.93,59300,205599089.17,11.36,35.59,32.22,32.6,29.66,24.92,-408.39,2.99
4,5,300337,银邦股份,17.11,19.99,2.85,1395689,2182237722.75,20.13,17.11,14.24,14.44,14.26,19.62,84.59,8.26
5,6,300581,晨曦航空,10.92,19.08,1.75,502386,530367167.93,15.7,11.0,9.56,9.56,9.17,9.13,-118.33,6.0
6,7,920008,成电光信,40.15,18.86,6.37,56973,219092617.32,28.27,42.15,32.6,33.5,33.78,23.87,47.41,9.46
7,8,300427,红相股份,9.49,17.89,1.44,1357230,1201870084.14,28.2,9.66,7.39,7.39,8.05,33.16,231.09,3.29
8,9,300810,中科海讯,21.96,17.5,3.27,158795,346540561.05,18.35,22.43,19.0,19.0,18.69,13.93,-22.46,3.3
9,10,300722,新余国科,32.0,15.94,4.4,227468,698631262.02,14.02,32.5,28.63,29.48,27.6,8.22,101.36,14.87
10,11,871642,通易航天,10.07,15.22,1.33,104839,105928624.95,19.79,10.94,9.21,9.27,8.74,10.41,-77.26,4.35
11,12,300227,光韵达,7.88,14.04,0.97,367638,274439490.04,15.48,7.98,6.91,7.04,6.91,8.91,145.98,2.46
12,13,688543,国科军工,48.87,13.39,5.77,77047,363498746.0,10.3,48.88,44.44,45.0,43.1,9.44,53.91,3.97
13,14,300922,天秦装备,16.18,13.38,1.91,151157,240203798.78,11.42,16.33,14.7,14.7,14.27,13.13,79.71,2.93
14,15,300900,广联航空,22.51,13.17,2.62,244625,530885022.17,11.76,22.64,20.3,20.3,19.89,11.23,81.89,4.58
15,16,300563,神宇股份,54.01,13.06,6.24,315316,1630894623.37,15.68,54.66,47.17,48.58,47.77,25.63,83.87,9.38
16,17,300875,捷强装备,35.48,11.57,3.68,98362,341658774.04,12.61,36.36,32.35,32.35,31.8,14.77,1424.36,2.83
17,18,688685,迈信林,39.05,11.0,3.87,33618,122968273.0,12.28,39.12,34.8,35.42,35.18,2.31,98.67,7.95
18,19,688143,长盈通,23.2,10.95,2.29,34800,76918819.0,11.14,23.23,20.9,21.0,20.91,3.74,93.54,2.4
19,20,300424,航新科技,15.44,10.92,1.52,227931,340866172.29,10.78,15.59,14.09,14.09,13.92,9.52,114.99,4.97
20,21,688800,瑞可达,34.05,10.52,3.24,76077,241900931.0,16.1,34.46,29.5,30.5,30.81,4.8,41.52,2.7
21,22,002686,亿利达,5.69,10.06,0.52,278128,156863545.21,4.64,5.69,5.45,5.68,5.17,5.32,47.61,1.97
22,23,000595,宝塔实业,10.29,10.05,0.94,777096,782888363.82,6.42,10.29,9.69,9.75,9.35,6.83,-182.29,24.91
23,24,601606,长城军工,11.72,10.05,1.07,297020,346244610.0,3.85,11.72,11.31,11.7,10.65,4.1,-107.1,3.31
24,25,002130,沃尔核材,15.68,10.04,1.43,1807582,2755764700.12,10.95,15.68,14.12,14.35,14.25,14.47,23.55,3.88
25,26,000801,四川九洲,10.12,10.0,0.92,403507,390630752.68,8.7,10.12,9.32,9.4,9.2,3.95,76.39,3.54
26,27,000697,炼石航空,7.71,9.99,0.7,361245,274577091.91,11.41,7.71,6.91,7.04,7.01,6.41,-25.31,22.56
27,28,603261,立航科技,30.07,9.99,2.73,46826,136667732.0,9.18,30.07,27.56,27.56,27.34,17.81,-48.29,2.96
28,29,835640,富士达,16.09,9.98,1.46,22085,34133128.72,12.3,16.16,14.36,14.85,14.63,1.25,44.89,3.57
29,30,002272,川润股份,5.98,9.93,0.54,966009,564576845.27,11.21,5.98,5.37,5.47,5.44,25.45,-25.62,1.82
30,31,836247,华密新材,16.3,9.91,1.47,34526,54110399.04,11.13,16.46,14.81,15.0,14.83,8.98,47.96,4.54
31,32,300719,安达维尔,21.48,9.87,1.93,278955,590422364.02,11.51,22.3,20.05,20.2,19.55,15.53,191.0,5.2
32,33,300159,新研股份,3.01,9.85,0.27,1445689,434148772.99,14.6,3.2,2.8,2.8,2.74,9.82,-16.5,-44.55
33,34,301586,佳力奇,53.4,9.81,4.77,47362,247002574.43,8.43,54.78,50.68,50.68,48.63,24.07,36.0,3.59
34,35,600316,洪都航空,26.1,9.66,2.3,255174,643576508.0,10.08,26.13,23.73,23.73,23.8,3.56,2640.31,3.54
35,36,300102,乾照光电,8.47,9.43,0.73,476334,389479737.42,11.5,8.55,7.66,7.66,7.74,5.21,119.71,1.92
36,37,300862,蓝盾光电,27.45,9.41,2.36,114153,307739968.72,14.31,29.08,25.49,25.49,25.09,7.54,1283.91,2.53
37,38,301517,陕西华达,52.65,9.32,4.49,35418,178726404.76,8.55,52.82,48.7,49.5,48.16,15.85,115.09,4.25
38,39,839680,广道数字,17.55,9.14,1.47,35186,57944405.19,14.05,17.77,15.51,16.4,16.08,7.5,-412.73,1.78
39,40,001270,铖昌科技,37.46,9.02,3.1,59911,215757578.35,7.8,37.46,34.78,34.88,34.36,5.91,-159.87,5.72
40,41,301306,西测测试,37.72,9.02,3.12,42124,154383307.0,7.54,37.86,35.25,35.25,34.6,10.72,-32.4,2.82
41,42,300542,新晨科技,20.15,8.98,1.66,401954,779611808.98,11.03,20.44,18.4,19.7,18.49,16.31,-210.15,9.47
42,43,300965,*ST恒宇,31.76,8.92,2.6,10178,31854309.0,15.5,33.69,29.17,29.5,29.16,6.2,105.46,1.56
43,44,003009,中天火箭,42.85,8.65,3.41,41457,174201438.82,6.92,42.88,40.15,40.28,39.44,2.67,162.55,4.23
44,45,600501,航天晨光,17.85,8.51,1.4,295336,516052947.0,7.36,17.88,16.67,16.81,16.45,6.96,-31.26,3.59
45,46,688066,航天宏图,18.73,8.45,1.46,140876,254186455.0,8.22,18.77,17.35,17.64,17.27,5.39,-13.25,2.43
46,47,300593,新雷能,12.14,8.39,0.94,129659,151551142.04,8.3,12.18,11.25,11.36,11.2,2.88,-48.39,2.29
47,48,600839,四川长虹,6.13,8.3,0.47,2808591,1650868433.0,9.01,6.18,5.67,5.77,5.66,6.09,50.45,1.97
48,49,301213,观想科技,38.93,8.29,2.98,34264,131753292.2,7.68,39.56,36.8,37.2,35.95,11.76,515.8,3.91
49,50,002049,紫光国微,67.3,8.22,5.11,374309,2400605963.01,10.05,68.0,61.75,62.2,62.19,4.41,38.76,4.91
50,51,300008,天海防务,5.03,8.17,0.38,1494159,747025040.18,9.68,5.25,4.8,4.83,4.65,9.07,71.56,4.33
51,52,300210,森远股份,10.17,8.08,0.76,202152,197413696.6,8.61,10.21,9.4,9.58,9.41,4.18,-69.72,11.74
52,53,300775,三角防务,28.42,8.02,2.11,325117,913767126.69,7.6,29.09,27.09,27.09,26.31,6.11,26.82,2.81
53,54,300047,天源迪科,16.74,8.0,1.24,1476314,2242052318.3,18.71,16.95,14.05,15.5,15.5,26.86,174.41,3.2
54,55,300036,超图软件,18.54,7.92,1.36,226654,398832066.46,9.43,18.55,16.93,17.25,17.18,5.18,134.74,3.17
55,56,688682,霍莱沃,33.45,7.87,2.44,14241,46267485.0,7.71,33.59,31.2,31.2,31.01,1.96,197.5,3.72
56,57,688511,天微电子,15.05,7.73,1.08,26895,39311692.0,10.31,15.41,13.97,13.97,13.97,2.61,562.93,1.8
57,58,002777,久远银海,18.0,7.72,1.29,232660,401217475.25,10.29,18.1,16.38,16.89,16.71,5.75,327.11,4.5
58,59,600151,航天机电,7.13,7.7,0.51,477113,330452374.0,8.16,7.14,6.6,6.68,6.62,3.33,-155.57,2.09
59,60,300447,全信股份,14.14,7.69,1.01,82706,114092101.06,7.08,14.18,13.25,13.25,13.13,4.11,51.76,2.17
60,61,300696,爱乐达,17.4,7.67,1.24,158776,270180892.16,6.68,17.48,16.4,16.71,16.16,8.52,-145.02,2.77
61,62,300342,天银机电,16.57,7.67,1.18,305044,487313215.59,7.28,16.62,15.5,15.6,15.39,7.3,105.6,4.65
62,63,300847,中船汉光,19.39,7.66,1.38,240049,458550901.84,11.49,19.99,17.92,17.92,18.01,8.11,46.95,4.25
63,64,300455,航天智装,13.97,7.63,0.99,222191,300636539.94,6.86,14.05,13.16,13.19,12.98,3.14,245.79,5.56
64,65,000901,航天科技,10.92,7.59,0.77,473460,500450319.99,6.31,10.92,10.28,10.35,10.15,5.93,1108.03,2.1
65,66,300762,上海瀚讯,19.47,7.57,1.37,419839,785928731.19,8.01,19.56,18.11,18.55,18.1,6.69,-117.46,5.0
66,67,300045,华力创通,22.18,7.57,1.56,444810,945885195.56,7.86,22.26,20.64,20.8,20.62,9.15,2600.08,8.44
67,68,300711,广哈通信,20.65,7.5,1.44,128242,258914896.24,7.7,20.79,19.31,19.8,19.21,5.16,178.47,7.4
68,69,688539,高华科技,24.25,7.49,1.69,18831,43892326.0,8.6,24.35,22.41,22.66,22.56,2.12,73.62,2.58
69,70,300397,天和防务,12.1,7.27,0.82,454767,549339470.57,14.01,12.98,11.4,11.57,11.28,11.47,-113.31,3.88
70,71,688270,臻镭科技,29.17,7.24,1.97,71256,201590809.0,7.1,29.36,27.43,27.69,27.2,4.94,554.55,2.95
71,72,300527,中船应急,10.22,7.24,0.69,897683,912465153.22,19.1,10.98,9.16,9.16,9.53,9.32,-3853.24,3.9
72,73,688586,江航装备,10.1,7.22,0.68,129920,127633221.0,6.58,10.13,9.51,9.59,9.42,1.64,38.37,3.22
73,74,300733,西菱动力,11.35,7.18,0.76,69555,77159726.8,7.18,11.45,10.69,10.85,10.59,3.08,71.45,2.18
74,75,300440,运达科技,6.43,7.17,0.43,140207,87068233.34,7.0,6.45,6.03,6.1,6.0,3.16,98.69,1.82
75,76,002096,易普力,13.08,7.13,0.87,144128,181732686.95,8.85,13.16,12.08,12.21,12.21,2.95,23.11,2.29
76,77,000886,海南高速,5.12,7.11,0.34,507259,258050062.37,5.86,5.24,4.96,5.05,4.78,5.19,86.68,1.67
77,78,300726,宏达电子,32.22,7.08,2.13,102088,318485758.28,7.31,32.5,30.3,30.57,30.09,4.78,36.61,2.75
78,79,688597,煜邦电力,9.26,7.05,0.61,32767,29388267.0,6.94,9.28,8.68,8.89,8.65,1.33,29.53,2.86
79,80,830839,万通液压,11.67,6.87,0.75,7308,8238420.89,8.88,11.7,10.73,11.05,10.92,1.12,14.5,2.67
80,81,002253,川大智胜,11.85,6.85,0.76,106144,122152600.86,6.04,11.9,11.23,11.23,11.09,5.11,-78.23,2.25
81,82,603766,隆鑫通用,8.11,6.85,0.52,342596,269380190.0,8.04,8.13,7.52,7.63,7.59,1.67,14.13,1.93
82,83,300213,佳讯飞鸿,7.6,6.74,0.48,293885,215536975.1,7.44,7.63,7.1,7.13,7.12,5.33,84.91,2.04
83,84,301571,国科天成,52.88,6.72,3.33,88760,457248582.5,6.86,53.26,49.86,51.0,49.55,26.04,82.71,5.5
84,85,301005,超捷股份,28.05,6.65,1.75,52363,144296937.58,5.44,28.27,26.84,27.3,26.3,3.96,106.09,4.87
85,86,688636,智明达,26.15,6.65,1.63,25578,65419269.0,6.53,26.25,24.65,24.65,24.52,2.27,864.77,2.72
86,87,003002,壶化股份,20.22,6.65,1.26,71720,138983663.0,9.12,20.3,18.57,19.0,18.96,3.92,32.33,3.14
87,88,300446,航天智造,16.15,6.6,1.0,242055,376931984.8,6.67,16.17,15.16,15.27,15.15,7.77,17.64,2.82
88,89,600435,北方导航,10.84,6.59,0.67,378322,400453410.0,6.1,10.88,10.26,10.34,10.17,2.52,-109.73,6.26
89,90,600990,四创电子,22.54,6.57,1.39,111963,240539229.0,11.77,22.55,20.06,20.88,21.15,4.16,-79.07,2.89
90,91,002389,航天彩虹,17.37,6.5,1.06,297878,504889236.66,5.4,17.4,16.52,16.75,16.31,3.01,131.1,2.15
91,92,301302,华如科技,18.09,6.47,1.1,53348,94360261.09,5.77,18.16,17.18,17.22,16.99,6.33,-21.46,1.38
92,93,600765,中航重机,21.09,6.46,1.28,293782,603208120.0,6.61,21.15,19.84,20.0,19.81,2.0,21.61,2.61
93,94,300553,集智股份,24.03,6.42,1.45,17293,39784635.0,9.17,24.23,22.16,22.83,22.58,3.26,126.8,2.75
94,95,603712,七一二,17.96,6.34,1.07,183831,318849036.0,6.51,18.0,16.9,17.28,16.89,2.38,103.57,2.96
95,96,300589,江龙船艇,13.22,6.27,0.78,148759,194837557.91,4.74,13.34,12.75,12.75,12.44,6.42,120.78,6.0
96,97,000733,振华科技,44.72,6.25,2.63,196568,856945203.12,6.7,44.98,42.16,42.41,42.09,3.55,29.49,1.75
97,98,300626,华瑞股份,10.55,6.24,0.62,168494,173402200.09,10.27,10.73,9.71,9.9,9.93,9.47,90.04,3.57
98,99,300201,海伦哲,4.09,6.23,0.24,253189,100250667.37,9.09,4.16,3.81,3.84,3.85,2.44,41.58,3.18
99,100,002246,北化股份,10.58,6.22,0.62,335583,351715518.82,6.43,10.81,10.17,10.26,9.96,6.11,83.79,2.01
100,101,000519,中兵红箭,15.03,6.22,0.88,608556,901649249.12,4.38,15.12,14.5,14.6,14.15,4.37,234.72,2.01
101,102,688297,中无人机,38.51,6.21,2.25,81575,307282479.0,6.15,38.66,36.43,37.04,36.26,3.0,-338.52,4.56
102,103,300411,金盾股份,12.18,6.19,0.71,201807,239663775.0,5.49,12.21,11.58,11.58,11.47,6.59,192.39,5.23
103,104,300629,新劲刚,19.25,6.18,1.12,87782,165250158.79,5.85,19.26,18.2,18.2,18.13,4.15,30.77,2.89
104,105,002265,建设工业,10.39,6.13,0.6,74422,75307989.0,5.92,10.41,9.83,9.89,9.79,1.85,60.51,3.11
105,106,688522,纳睿雷达,53.91,6.12,3.11,38995,205540981.0,6.04,54.07,51.0,51.5,50.8,4.6,991.09,5.36
106,107,300887,谱尼测试,8.18,6.1,0.47,154787,122860239.14,5.45,8.19,7.77,7.8,7.71,4.27,-13.03,1.36
