,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300114,中航电测,69.67,20.0,11.61,657635,4505059951.12,10.11,69.67,63.8,63.8,58.06,11.13,244.94,16.64
1,2,300581,晨曦航空,10.92,19.08,1.75,502113,530068231.43,15.7,11.0,9.56,9.56,9.17,9.13,-118.33,6.0
2,3,300427,红相股份,9.48,17.76,1.43,1357010,1201661304.14,28.2,9.66,7.39,7.39,8.05,33.16,230.85,3.29
3,4,300722,新余国科,32.01,15.98,4.41,227386,698368850.02,14.02,32.5,28.63,29.48,27.6,8.22,101.39,14.87
4,5,871642,通易航天,10.07,15.22,1.33,104786,105875253.95,19.79,10.94,9.21,9.27,8.74,10.41,-77.26,4.35
5,6,300922,天秦装备,16.18,13.38,1.91,151140,240176292.78,11.42,16.33,14.7,14.7,14.27,13.13,79.71,2.93
6,7,688543,国科军工,48.83,13.29,5.73,76981,363180022.0,10.23,48.85,44.44,45.0,43.1,9.43,53.86,3.97
7,8,300900,广联航空,22.51,13.17,2.62,244616,530864763.17,11.76,22.64,20.3,20.3,19.89,11.23,81.89,4.58
8,9,300875,捷强装备,35.49,11.6,3.69,98354,341630390.04,12.61,36.36,32.35,32.35,31.8,14.77,1424.76,2.83
9,10,688685,迈信林,39.05,11.0,3.87,33612,122944726.0,12.28,39.12,34.8,35.42,35.18,2.31,98.67,7.95
10,11,300424,航新科技,15.44,10.92,1.52,227892,340805956.29,10.78,15.59,14.09,14.09,13.92,9.52,114.99,4.97
11,12,688800,瑞可达,34.05,10.52,3.24,76052,241815806.0,16.1,34.46,29.5,30.5,30.81,4.8,41.52,2.7
12,13,601606,长城军工,11.72,10.05,1.07,297020,346244610.0,3.85,11.72,11.31,11.7,10.65,4.1,-107.1,3.31
13,14,000801,四川九洲,10.12,10.0,0.92,403482,390605452.68,8.7,10.12,9.32,9.4,9.2,3.94,76.39,3.54
14,15,300719,安达维尔,21.49,9.92,1.94,278890,590282733.02,11.51,22.3,20.05,20.2,19.55,15.53,191.08,5.21
15,16,301586,佳力奇,53.32,9.64,4.69,47360,246991901.43,8.43,54.78,50.68,50.68,48.63,24.07,35.94,3.58
16,17,300542,新晨科技,20.19,9.19,1.7,401594,778885918.28,11.03,20.44,18.4,19.7,18.49,16.3,-210.57,9.49
17,18,003009,中天火箭,42.82,8.57,3.38,41404,173974435.82,6.92,42.88,40.15,40.28,39.44,2.66,162.44,4.23
18,19,300775,三角防务,28.51,8.36,2.2,324904,913160509.69,7.6,29.09,27.09,27.09,26.31,6.1,26.91,2.82
19,20,600839,四川长虹,6.13,8.3,0.47,2807704,1650324693.0,9.01,6.18,5.67,5.77,5.66,6.08,50.45,1.97
20,21,300593,新雷能,12.13,8.3,0.93,129587,151463730.04,8.3,12.18,11.25,11.36,11.2,2.88,-48.35,2.28
21,22,300210,森远股份,10.17,8.08,0.76,202005,197264191.6,8.61,10.21,9.4,9.58,9.41,4.18,-69.72,11.74
22,23,300008,天海防务,5.02,7.96,0.37,1493731,746809821.18,9.68,5.25,4.8,4.83,4.65,9.07,71.41,4.33
23,24,300696,爱乐达,17.42,7.8,1.26,158612,269895303.16,6.68,17.48,16.4,16.71,16.16,8.51,-145.18,2.77
