,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300972,万辰集团,55.0,15.04,7.19,43220,219044743.67,17.61,55.53,47.11,47.11,47.81,2.78,5281.46,10.17
1,2,003042,中农联合,14.42,9.99,1.31,47296,67823865.0,8.01,14.42,13.37,13.37,13.11,3.71,-31.53,1.42
2,3,002717,岭南股份,2.02,8.02,0.15,2153811,420538948.31,8.56,2.05,1.89,1.89,1.87,14.0,-6.84,1.84
3,4,872895,花溪科技,9.7,7.06,0.64,10693,9885328.91,8.72,9.7,8.91,9.0,9.06,5.76,358.85,2.52
4,5,002312,川发龙蟒,9.63,6.41,0.58,766153,720186200.85,8.29,9.79,9.04,9.1,9.05,4.37,30.98,1.97
5,6,831855,浙江大农,8.93,6.18,0.52,4693,4063144.34,7.25,8.97,8.36,8.59,8.41,1.77,19.27,1.25
6,7,830964,润农节水,3.63,6.14,0.21,62025,22108467.92,7.31,3.65,3.4,3.56,3.42,3.46,47.62,1.06
7,8,300087,荃银高科,7.75,6.02,0.44,239165,178837486.36,8.07,7.84,7.25,7.33,7.31,2.67,-165.07,4.03
8,9,831087,秋乐种业,6.99,5.91,0.39,35624,24240558.26,7.58,6.99,6.49,6.64,6.6,2.22,-135.27,2.28
9,10,300189,神农种业,2.78,5.7,0.15,540401,147915926.4,9.13,2.85,2.61,2.63,2.63,6.1,-90.32,3.77
10,11,837403,康农种业,9.69,5.21,0.48,13089,12337532.36,6.51,9.71,9.11,9.25,9.21,4.39,44.41,1.67
11,12,300162,雷曼光电,7.28,5.2,0.36,214345,152761295.81,5.2,7.32,6.96,7.01,6.92,6.29,201.46,3.09
12,13,300237,美晨科技,1.86,5.08,0.09,707123,130434348.45,7.34,1.92,1.79,1.86,1.77,4.91,-6.99,18.87
13,14,600506,统一股份,12.94,4.52,0.56,69748,89570454.0,4.12,13.06,12.55,12.8,12.38,4.72,54.81,5.86
14,15,603336,宏辉果蔬,3.85,4.34,0.16,128324,48924766.0,4.07,3.86,3.71,3.75,3.69,2.25,87.5,1.96
15,16,600737,中粮糖业,10.7,4.29,0.44,517648,543740604.0,4.87,10.76,10.26,10.3,10.26,2.42,13.27,2.11
16,17,870866,绿亨科技,6.01,4.16,0.24,11479,6759613.8,5.03,6.02,5.73,5.81,5.77,1.21,27.75,1.47
17,18,832786,骑士乳业,6.42,3.88,0.24,117375,69432335.02,14.72,6.47,5.56,5.8,6.18,12.28,18.79,1.66
18,19,600057,厦门象屿,6.15,3.54,0.21,233535,141232781.0,4.21,6.19,5.94,5.97,5.94,1.07,8.97,1.07
19,20,002215,诺 普 信,8.57,3.5,0.29,177486,147831222.31,5.31,8.59,8.15,8.35,8.28,2.24,7.8,2.2
20,21,870508,丰安股份,9.49,3.49,0.32,6185,5701839.11,5.13,9.49,9.02,9.02,9.17,1.51,17.03,1.29
21,22,600084,中信尼雅,5.24,3.35,0.17,41718,21575840.0,3.35,5.25,5.08,5.08,5.07,0.37,-589.38,4.63
22,23,002133,广宇集团,2.49,3.32,0.08,127976,31735424.64,4.98,2.56,2.44,2.45,2.41,1.66,-15.79,0.5
23,24,300511,雪榕生物,3.74,3.31,0.12,148964,54721546.75,4.42,3.76,3.6,3.62,3.62,3.56,-6.5,1.39
24,25,300543,朗科智能,9.11,3.29,0.29,58649,52297831.36,5.22,9.12,8.66,8.97,8.82,2.77,36.02,2.41
25,26,300175,朗源股份,5.47,3.21,0.17,140557,75707174.0,3.96,5.49,5.28,5.36,5.3,2.99,-59.16,4.49
26,27,002200,ST交投,5.53,3.17,0.17,10650,5801829.0,3.54,5.55,5.36,5.42,5.36,0.58,-34.98,33.83
27,28,603139,康惠制药,13.03,3.17,0.4,14250,18362276.0,3.33,13.08,12.66,12.73,12.63,1.43,-74.78,1.38
28,29,601996,丰林集团,1.99,3.11,0.06,106670,20865869.0,3.63,1.99,1.92,1.95,1.93,0.95,158.83,0.82
29,30,600251,冠农股份,7.64,3.1,0.23,62888,47374929.0,3.51,7.65,7.39,7.4,7.41,0.81,9.81,1.62
30,31,300970,华绿生物,12.65,2.85,0.35,17220,21457172.0,3.82,12.69,12.22,12.36,12.3,1.9,-16.63,1.02
31,32,002539,云图控股,8.1,2.79,0.22,114898,91651742.46,3.43,8.12,7.85,7.95,7.88,1.3,10.78,1.15
32,33,000713,丰乐种业,6.26,2.79,0.17,92550,57149468.58,3.61,6.26,6.04,6.08,6.09,1.51,-86.02,2.0
33,34,002566,益盛药业,6.87,2.69,0.18,32742,22246610.0,2.54,6.88,6.71,6.77,6.69,1.41,34.1,1.03
34,35,600540,新赛股份,3.91,2.62,0.1,39596,15273221.0,2.62,3.91,3.81,3.84,3.81,0.68,153.05,3.09
35,36,002041,登海种业,9.04,2.61,0.23,84449,75322432.58,3.41,9.06,8.76,8.89,8.81,0.96,75.43,2.22
36,37,600692,亚通股份,5.92,2.6,0.15,121991,71793136.0,2.95,5.97,5.8,5.93,5.77,4.78,79.47,2.21
37,38,300586,美联新材,7.31,2.52,0.18,67378,48522586.16,3.93,7.34,7.06,7.14,7.13,1.26,75.27,2.7
38,39,002538,司尔特,5.45,2.44,0.13,84610,45514338.55,3.01,5.46,5.3,5.33,5.32,0.99,14.18,0.89
