,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300334,津膜科技,6.47,7.12,0.43,107837,68575094.0,7.78,6.59,6.12,6.12,6.04,3.57,695.86,3.44
1,2,300070,碧水源,5.25,5.85,0.29,1707265,898796717.72,10.69,5.53,5.0,5.53,4.96,4.97,-130.96,0.7
2,3,002035,华帝股份,7.52,4.16,0.3,187069,137940462.58,4.43,7.54,7.22,7.27,7.22,2.4,10.64,1.77
3,4,603408,建霖家居,12.14,4.12,0.48,29905,35434386.0,5.06,12.15,11.56,11.7,11.66,0.67,10.49,1.74
4,5,002778,中晟高科,12.17,3.84,0.45,23846,28707023.8,4.86,12.27,11.7,11.74,11.72,1.93,-44.6,3.74
5,6,000651,格力电器,50.29,3.5,1.7,431346,2140090242.85,3.54,50.38,48.66,48.66,48.59,0.78,10.02,2.4
6,7,000521,长虹美菱,9.4,3.3,0.3,370131,338663663.13,6.04,9.44,8.89,9.09,9.1,4.23,11.66,1.63
7,8,600690,海尔智家,32.43,3.12,0.98,360377,1149742562.0,4.2,32.48,31.16,31.57,31.45,0.58,14.6,2.88
8,9,000333,美的集团,79.1,3.04,2.33,338191,2637945966.6,3.33,79.16,76.6,77.03,76.77,0.49,14.54,3.67
9,10,600539,狮头股份,4.47,3.0,0.13,37312,16455770.0,3.23,4.49,4.35,4.38,4.34,1.62,-87.7,2.97
10,11,300272,开能健康,6.04,2.9,0.17,105568,62451390.55,4.09,6.04,5.8,5.93,5.87,2.45,30.57,2.99
11,12,000920,沃顿科技,8.75,2.7,0.23,34434,29713950.55,3.52,8.78,8.48,8.53,8.52,0.82,21.24,2.28
12,13,002242,九阳股份,10.88,2.54,0.27,49080,52023462.23,5.0,10.89,10.36,10.59,10.61,0.64,23.79,2.34
13,14,002543,万和电气,10.17,2.21,0.22,28060,28082443.3,3.72,10.19,9.82,10.05,9.95,0.42,10.65,1.7
14,15,001358,兴欣新材,22.62,1.89,0.42,9824,21887325.76,3.24,22.63,21.91,22.31,22.2,3.19,32.42,1.92
15,16,688057,金达莱,11.34,1.8,0.2,8058,9035662.0,3.59,11.39,10.99,11.38,11.14,0.29,23.26,0.97
16,17,603956,威派格,5.17,1.57,0.08,40389,20508429.0,4.32,5.18,4.96,5.01,5.09,0.8,-16.97,1.51
17,18,600336,澳柯玛,6.53,1.56,0.1,240198,152565316.0,5.75,6.57,6.2,6.43,6.43,3.01,52.06,2.05
18,19,300801,泰和科技,14.98,1.49,0.22,16987,25104287.0,4.0,15.06,14.47,14.76,14.76,1.27,30.16,1.39
