,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300674,宇信科技,22.43,20.01,3.74,1549016,3276876842.19,14.34,22.43,19.75,21.68,18.69,22.03,48.45,3.91
1,2,300355,蒙草生态,5.34,20.0,0.89,5542369,2912157986.14,8.09,5.34,4.98,5.34,4.45,40.57,169.42,1.97
2,3,600622,光大嘉宝,2.93,10.15,0.27,183027,53626914.0,0.0,2.93,2.93,2.93,2.66,1.22,-9.93,0.92
3,4,600657,信达地产,4.46,10.12,0.41,359915,160522090.0,0.0,4.46,4.46,4.46,4.05,1.26,59.75,0.51
4,5,000563,陕国投Ａ,3.72,10.06,0.34,3808662,1403766544.39,4.44,3.72,3.57,3.68,3.38,7.45,13.86,1.09
5,6,002686,亿利达,5.69,10.06,0.52,279874,157857019.21,4.64,5.69,5.45,5.68,5.17,5.35,47.61,1.97
6,7,000514,渝 开 发,4.49,10.05,0.41,969305,429948209.78,4.66,4.49,4.3,4.49,4.08,11.49,-57.58,1.02
7,8,002786,银宝山新,11.62,10.04,1.06,624353,723694922.86,3.5,11.62,11.25,11.62,10.56,12.64,-40.15,13.52
8,9,000987,越秀资本,7.35,10.03,0.67,1572092,1115745246.96,7.34,7.35,6.86,7.25,6.68,3.13,18.15,1.28
9,10,000793,华闻集团,1.76,10.0,0.16,1592733,277014080.65,6.25,1.76,1.66,1.66,1.6,8.12,-29.0,4.01
10,11,000567,海德股份,7.73,9.96,0.7,191213,147807332.07,0.0,7.73,7.73,7.73,7.03,0.98,19.98,2.87
11,12,002285,世联行,2.54,9.96,0.23,1238652,307329977.9,5.19,2.54,2.42,2.46,2.31,6.27,166.68,1.66
12,13,000652,泰达股份,4.2,9.95,0.38,824246,336262513.67,6.81,4.2,3.94,4.07,3.82,5.59,31.3,1.09
13,14,600318,新力金融,7.4,7.25,0.5,715977,529812406.0,5.22,7.58,7.22,7.57,6.9,13.96,104.47,3.59
14,15,000886,海南高速,5.09,6.49,0.31,550783,280242286.27,5.86,5.24,4.96,5.05,4.78,5.63,86.17,1.66
15,16,603153,上海建科,18.61,5.92,1.04,145452,271728032.0,4.04,19.0,18.29,18.5,17.57,10.77,49.48,2.24
16,17,002657,中科金财,15.3,5.52,0.8,305039,464140898.27,5.79,15.68,14.84,15.3,14.5,9.07,-52.52,2.85
17,18,601600,中国铝业,8.99,5.52,0.47,3806453,3432547125.0,5.87,9.22,8.72,8.72,8.52,2.9,10.99,2.39
18,19,601198,东兴证券,10.67,5.12,0.52,1707593,1809555787.0,6.11,10.88,10.26,10.69,10.15,5.28,29.93,1.25
19,20,000908,*ST景峰,3.94,5.07,0.19,16236,6396787.0,0.0,3.94,3.94,3.94,3.75,0.21,-72.83,-47.28
20,21,601700,风范股份,4.35,4.57,0.19,258319,112535018.0,4.81,4.45,4.25,4.45,4.16,2.26,30.54,1.85
21,22,000401,冀东水泥,5.34,4.5,0.23,215912,115061359.59,3.91,5.42,5.22,5.3,5.11,1.4,-8.8,0.52
22,23,002451,摩恩电气,6.81,3.97,0.26,600662,414481921.56,7.02,7.15,6.69,7.15,6.55,13.68,158.35,3.96
23,24,000531,穗恒运Ａ,5.38,3.66,0.19,109078,58790254.16,4.62,5.51,5.27,5.51,5.19,1.2,30.5,0.84
24,25,000410,沈阳机床,6.68,3.57,0.23,173470,115194381.95,4.19,6.76,6.49,6.64,6.45,1.03,-85.33,14.28
25,26,002495,佳隆股份,1.84,3.37,0.06,279127,51104243.4,2.81,1.85,1.8,1.83,1.78,3.91,105.36,1.53
26,27,601992,金隅集团,1.72,2.99,0.05,662534,113957798.0,3.59,1.75,1.69,1.69,1.67,0.79,-11.38,0.42
27,28,000993,闽东电力,9.06,2.49,0.22,147560,134831643.77,6.22,9.5,8.95,9.36,8.84,3.36,38.75,1.71
28,29,600020,中原高速,4.12,2.49,0.1,337209,139810494.0,4.98,4.24,4.04,4.18,4.02,1.5,7.52,0.83
29,30,600704,物产中大,4.97,2.47,0.12,1050117,520741028.0,5.15,5.1,4.85,5.05,4.85,2.04,8.2,0.72
30,31,600784,鲁银投资,5.81,2.29,0.13,184889,108625829.0,5.99,6.06,5.72,5.98,5.68,3.25,11.03,1.29
31,32,601177,杭齿前进,8.07,2.28,0.18,57225,46399271.0,3.68,8.3,8.01,8.3,7.89,1.43,14.36,1.33
32,33,600252,中恒集团,2.29,2.23,0.05,501962,115516011.0,4.91,2.35,2.24,2.29,2.24,1.47,180.38,1.25
33,34,600730,中国高科,5.17,2.17,0.11,218277,112605195.0,3.75,5.25,5.06,5.12,5.06,3.72,69.65,1.7
34,35,600864,哈投股份,6.02,2.03,0.12,721118,430540564.0,6.61,6.15,5.76,6.11,5.9,3.47,54.89,1.0
35,36,000960,锡业股份,15.91,1.99,0.31,298097,476533848.92,3.85,16.29,15.69,15.8,15.6,1.81,16.37,1.44
36,37,600282,南钢股份,4.67,1.97,0.09,401142,188607659.0,3.93,4.78,4.6,4.7,4.58,0.65,11.67,1.13
37,38,601158,重庆水务,4.88,1.88,0.09,217488,106674456.0,3.13,4.97,4.82,4.92,4.79,0.45,28.15,1.41
38,39,601375,中原证券,4.49,1.81,0.08,1662419,748083232.0,7.03,4.66,4.35,4.66,4.41,4.82,51.79,1.48
39,40,002057,中钢天源,7.13,1.57,0.11,106937,76207534.0,2.99,7.23,7.02,7.16,7.02,1.43,26.34,1.77
40,41,600475,华光环能,9.31,1.53,0.14,80468,75461839.0,4.47,9.6,9.19,9.49,9.17,0.85,11.2,1.05
41,42,000520,凤凰航运,2.84,1.43,0.04,679897,194580520.5,5.71,2.93,2.77,2.78,2.8,6.72,-96.38,5.42
42,43,600507,方大特钢,4.14,1.22,0.05,195906,81233541.0,2.2,4.18,4.09,4.15,4.09,0.85,29.4,1.02
43,44,000837,秦川机床,8.32,1.22,0.1,170836,141760731.42,5.35,8.53,8.09,8.49,8.22,1.76,97.28,1.75
44,45,601390,中国中铁,6.66,1.06,0.07,2565973,1730366341.0,4.4,6.89,6.6,6.68,6.59,1.26,5.77,0.57
45,46,600163,中闽能源,5.23,0.97,0.05,330995,173619698.0,6.56,5.46,5.12,5.4,5.18,1.74,14.55,1.51
46,47,600489,中金黄金,14.24,0.71,0.1,684077,977289132.0,4.1,14.59,14.01,14.23,14.14,1.41,19.8,2.69
47,48,600685,中船防务,25.82,0.66,0.17,166816,435698672.0,3.31,26.55,25.7,26.05,25.65,2.03,124.27,1.99
48,49,601106,中国一重,3.08,0.33,0.01,711055,220395288.0,3.58,3.15,3.04,3.09,3.07,1.04,-61.01,2.44
49,50,601727,上海电气,4.44,0.23,0.01,625152,279447251.0,2.26,4.52,4.42,4.46,4.43,0.49,57.48,1.3
50,51,600645,中源协和,20.62,0.1,0.02,115414,235974057.0,4.27,20.88,20.0,20.8,20.6,2.47,56.64,2.67
51,52,601688,华泰证券,16.77,-1.29,-0.22,1770052,2978041424.0,4.18,17.19,16.48,17.05,16.99,2.43,14.25,0.98
