,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300929,华骐环保,9.54,20.0,1.59,184657,166660040.99,17.23,9.54,8.17,8.29,7.95,15.0,-55.82,1.52
1,2,000826,启迪环境,2.02,9.78,0.18,594226,117153215.6,5.98,2.02,1.91,1.96,1.84,4.17,-6.57,0.72
2,3,835579,机科股份,15.65,6.61,0.97,26924,40652280.4,8.45,15.74,14.5,14.96,14.68,6.04,146.62,3.93
3,4,300815,玉禾田,15.1,6.41,0.91,90693,134422227.8,6.55,15.27,14.34,14.86,14.19,2.33,9.21,1.55
4,5,300422,博世科,4.79,5.74,0.26,125918,59648722.51,5.08,4.85,4.62,4.68,4.53,3.02,48.63,1.21
5,6,002973,侨银股份,10.14,4.97,0.48,103573,106641002.28,7.04,10.59,9.91,9.91,9.66,6.0,12.02,1.81
6,7,002514,宝馨科技,4.92,4.68,0.22,163704,78792481.44,4.89,4.93,4.7,4.78,4.7,2.95,-16.71,4.21
7,8,300187,永清环保,5.21,4.41,0.22,64397,33215859.9,5.61,5.3,5.02,5.02,4.99,1.0,24.61,3.17
8,9,000885,城发环境,12.63,4.21,0.51,50579,63366652.6,2.97,12.68,12.32,12.56,12.12,0.79,8.27,1.04
9,10,300867,圣元环保,13.65,3.96,0.52,34162,45942613.0,3.58,13.68,13.21,13.37,13.13,1.78,18.11,1.03
10,11,002672,东江环保,4.24,3.92,0.16,56543,23654036.07,3.68,4.26,4.11,4.16,4.08,0.67,-9.1,1.13
11,12,300385,雪浪环境,4.58,3.85,0.17,47157,21258353.91,5.44,4.63,4.39,4.5,4.41,1.63,-7.73,2.52
12,13,600587,新华医疗,18.49,3.53,0.63,100998,183308022.0,5.82,18.62,17.58,17.97,17.86,1.68,11.58,1.48
13,14,000546,金圆股份,5.51,3.38,0.18,180995,98963615.86,3.94,5.55,5.34,5.34,5.33,2.54,12.34,1.0
14,15,002140,东华科技,7.82,3.3,0.25,48621,37567172.28,3.43,7.84,7.58,7.65,7.57,0.9,13.21,1.34
15,16,301049,超越科技,24.78,3.29,0.79,27511,66781422.72,5.96,24.88,23.45,23.91,23.99,2.92,-60.18,3.18
16,17,600796,钱江生化,4.71,3.29,0.15,37961,17643703.0,2.85,4.71,4.58,4.6,4.56,1.26,24.81,1.28
17,18,300055,万邦达,5.01,2.87,0.14,82903,41059124.0,3.49,5.03,4.86,4.89,4.87,1.31,93.21,0.81
18,19,600008,首创环保,3.23,2.87,0.09,1115014,357657468.0,2.87,3.25,3.16,3.2,3.14,1.52,12.94,1.23
19,20,000881,中广核技,6.95,2.81,0.19,80278,55085849.84,3.55,6.98,6.74,6.76,6.76,1.02,-37.95,1.19
20,21,000928,中钢国际,6.45,2.71,0.17,561196,358964762.37,4.14,6.52,6.26,6.49,6.28,3.91,11.02,1.16
21,22,000035,中国天楹,4.57,2.47,0.11,340295,152244044.98,4.71,4.57,4.36,4.38,4.46,1.39,16.02,1.07
22,23,301235,华康医疗,18.7,2.47,0.45,8306,15292624.0,3.67,18.8,18.13,18.28,18.25,1.63,-91.68,1.13
23,24,603588,高能环境,5.02,2.24,0.11,421376,208404095.0,5.3,5.06,4.8,4.99,4.91,2.77,9.27,0.85
24,25,601330,绿色动力,6.23,2.13,0.13,48151,29681664.0,2.62,6.25,6.09,6.2,6.1,0.49,14.32,1.13
25,26,601200,上海环境,8.19,2.12,0.17,102550,83511285.0,2.24,8.24,8.06,8.15,8.02,0.76,17.56,1.01
26,27,301515,港通医疗,18.56,1.98,0.36,13035,23817256.0,3.35,18.58,17.97,18.46,18.2,2.18,60.21,1.42
27,28,000900,现代投资,4.11,1.73,0.07,140591,57682144.28,1.73,4.13,4.06,4.08,4.04,0.93,12.11,0.58
28,29,002483,润邦股份,4.88,1.67,0.08,92380,44548258.0,3.13,4.89,4.74,4.81,4.8,1.04,12.46,1.06
29,30,002496,辉丰股份,2.04,1.49,0.03,214995,43564142.2,2.49,2.05,2.0,2.02,2.01,1.82,44.24,2.01
30,31,000685,中山公用,8.58,0.94,0.08,236961,201867971.04,3.88,8.74,8.41,8.66,8.5,1.89,11.4,0.75
31,32,002310,*ST东园,1.34,-0.74,-0.01,742433,100746918.91,4.44,1.39,1.33,1.36,1.35,2.76,-1.58,-2.7
32,33,603716,塞力医疗,6.94,-1.98,-0.14,127961,87294063.0,3.67,6.95,6.69,6.92,7.08,6.36,-146.39,1.36
