,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600120,浙江东方,4.57,10.12,0.42,1648120,735914227.0,6.99,4.57,4.28,4.57,4.15,4.83,61.12,1.05
1,2,000563,陕国投Ａ,3.72,10.06,0.34,3792147,1397622778.39,4.44,3.72,3.57,3.68,3.38,7.42,13.86,1.09
2,3,000617,中油资本,9.32,10.04,0.85,8892275,8162769159.62,7.56,9.32,8.68,9.0,8.47,7.03,19.35,1.15
3,4,002423,中粮资本,17.91,10.01,1.63,1505828,2694663720.47,3.69,17.91,17.31,17.91,16.28,6.54,17.57,1.94
4,5,002271,东方雨虹,14.06,9.76,1.25,1073955,1449643845.26,9.06,14.09,12.93,13.21,12.81,5.56,18.16,1.32
5,6,600390,五矿资本,7.09,9.08,0.59,3219463,2169425874.0,11.38,7.15,6.41,6.7,6.5,7.16,17.76,0.75
6,7,300049,福瑞股份,48.14,8.62,3.82,87136,402291334.6,8.89,48.24,44.3,45.46,44.32,3.73,84.97,7.81
7,8,002717,岭南股份,2.03,8.56,0.16,2153045,420383791.31,8.56,2.05,1.89,1.89,1.87,13.99,-6.88,1.85
8,9,002653,海思科,38.67,7.18,2.59,46231,171616581.05,10.62,38.84,35.01,36.59,36.08,0.87,131.46,10.68
9,10,600219,南山铝业,4.42,6.76,0.28,1878418,817170496.0,7.0,4.47,4.18,4.22,4.14,1.6,11.82,1.06
10,11,600248,陕建股份,4.25,5.99,0.24,696028,291181961.0,4.99,4.29,4.09,4.2,4.01,1.89,5.06,0.69
11,12,600816,建元信托,3.26,5.5,0.17,773711,244673675.0,6.15,3.27,3.08,3.14,3.09,1.41,579.96,2.36
12,13,600801,华新水泥,13.07,5.4,0.67,171261,222713874.0,3.95,13.24,12.75,12.75,12.4,1.27,18.6,0.95
13,14,300773,拉卡拉,21.57,5.32,1.09,858532,1784620384.37,11.91,21.99,19.55,21.78,20.48,11.69,20.57,5.01
14,15,300399,天利科技,19.98,5.21,0.99,168479,317586128.53,10.74,20.1,18.06,19.02,18.99,8.53,-110.25,7.93
15,16,002542,中化岩土,1.82,5.2,0.09,365080,65585165.73,4.62,1.84,1.76,1.77,1.73,2.28,-6.34,1.7
16,17,002700,ST浩源,7.89,5.06,0.38,57127,44633916.2,4.66,7.89,7.54,7.54,7.51,1.71,31.56,3.92
17,18,600570,恒生电子,24.52,4.88,1.14,817594,1905186728.0,8.77,24.54,22.49,23.52,23.38,4.32,776.92,5.96
18,19,000415,渤海租赁,2.9,4.69,0.13,1096491,310941759.48,4.69,2.91,2.78,2.8,2.77,2.03,12.52,0.58
19,20,601169,北京银行,5.97,4.37,0.25,1340370,789607023.0,3.67,5.99,5.78,5.78,5.72,0.63,4.33,0.49
20,21,600094,大名城,3.86,4.32,0.16,272357,103716107.0,3.78,3.87,3.73,3.81,3.7,1.2,32.84,0.76
21,22,600020,中原高速,4.19,4.23,0.17,302209,125277320.0,4.98,4.24,4.04,4.18,4.02,1.34,7.65,0.84
22,23,002416,爱施德,10.34,4.13,0.41,200179,201120517.96,6.14,10.36,9.75,9.95,9.93,1.64,16.2,2.18
23,24,300242,佳云科技,3.54,4.12,0.14,447388,152942514.56,8.82,3.61,3.31,3.46,3.4,7.11,-35.46,6.01
24,25,000056,皇庭国际,2.15,3.86,0.08,281085,59473432.67,3.38,2.15,2.08,2.11,2.07,3.11,-8.74,3.08
25,26,002403,爱仕达,7.39,3.65,0.26,62410,45301286.0,4.07,7.4,7.11,7.16,7.13,2.1,-353.9,1.51
26,27,600061,国投资本,7.78,3.46,0.26,758067,574249598.0,6.25,7.82,7.35,7.64,7.52,1.18,19.98,0.98
27,28,000533,顺钠股份,3.62,3.43,0.12,113044,40158139.3,4.57,3.63,3.47,3.53,3.5,1.65,40.34,3.1
28,29,300024,机器人,12.49,3.39,0.41,380551,463024825.25,5.22,12.5,11.87,12.1,12.08,2.5,-158.22,4.5
29,30,603999,读者传媒,5.52,3.37,0.18,57207,30983302.0,3.75,5.53,5.33,5.36,5.34,0.99,46.4,1.62
30,31,300096,ST易联众,3.38,3.36,0.11,132928,44006277.12,5.5,3.4,3.22,3.33,3.27,3.1,-13.79,4.82
31,32,600269,赣粤高速,5.01,3.3,0.16,175195,86354640.0,3.51,5.03,4.86,4.87,4.85,0.75,9.33,0.65
32,33,601398,工商银行,6.47,3.19,0.2,6215557,3992799820.0,2.87,6.5,6.32,6.32,6.27,0.23,6.76,0.66
33,34,002275,桂林三金,15.03,3.16,0.46,29451,43430932.29,3.64,15.06,14.53,14.61,14.57,0.53,14.67,3.01
34,35,601766,中国中车,8.31,3.1,0.25,1478334,1215794236.0,3.35,8.34,8.07,8.07,8.06,0.61,28.39,1.49
35,36,600718,东软集团,9.99,2.99,0.29,159968,155300286.0,5.36,10.01,9.49,9.72,9.7,1.33,61.18,1.3
36,37,002131,利欧股份,1.74,2.96,0.05,790429,134686221.11,4.14,1.74,1.67,1.69,1.69,1.35,-7.92,0.92
37,38,600663,陆家嘴,10.1,2.96,0.29,96736,96586135.0,3.98,10.2,9.81,10.0,9.81,0.33,45.76,2.05
38,39,000627,天茂集团,3.2,2.89,0.09,1072903,335140370.24,5.47,3.2,3.03,3.15,3.11,2.36,-21.66,0.77
39,40,000798,中水渔业,7.14,2.88,0.2,51825,36678373.27,3.75,7.18,6.92,6.99,6.94,1.42,18.48,4.94
40,41,600510,黑牡丹,4.74,2.82,0.13,164969,77553796.0,4.12,4.8,4.61,4.76,4.61,1.6,44.65,0.49
41,42,601999,出版传媒,6.02,2.73,0.16,42446,25215631.0,3.07,6.03,5.85,5.88,5.86,0.77,122.63,1.3
42,43,002065,东华软件,5.71,2.51,0.14,495868,275701288.8,5.39,5.73,5.43,5.59,5.57,1.71,31.62,1.55
43,44,002524,光正眼科,3.79,2.43,0.09,72780,27224266.25,3.24,3.79,3.67,3.75,3.7,1.43,771.23,6.7
44,45,000890,法尔胜,3.08,2.33,0.07,86404,26337999.0,2.66,3.09,3.01,3.05,3.01,2.06,-26.73,205.1
45,46,600392,盛和资源,9.64,2.23,0.21,193652,183469937.0,3.61,9.65,9.31,9.45,9.43,1.1,-123.31,2.05
46,47,601908,京运通,2.83,2.17,0.06,246784,68471067.0,3.97,2.83,2.72,2.77,2.77,1.02,-3.15,0.66
47,48,600135,乐凯胶片,6.24,2.13,0.13,94127,58268082.0,2.78,6.27,6.1,6.1,6.11,1.7,-54.22,1.4
48,49,600033,福建高速,3.54,2.02,0.07,255917,90082970.0,2.59,3.56,3.47,3.49,3.47,0.93,9.15,0.85
49,50,600588,用友网络,11.28,1.99,0.22,375384,412125240.0,5.52,11.31,10.7,11.07,11.06,1.1,-24.27,4.13
50,51,600177,雅戈尔,7.84,1.95,0.15,213314,165637692.0,3.12,7.89,7.65,7.74,7.69,0.46,9.72,0.93
51,52,002558,巨人网络,11.2,1.91,0.21,350911,383808610.52,4.73,11.21,10.69,10.93,10.99,1.78,15.4,1.84
52,53,002608,江苏国信,7.71,1.72,0.13,123740,94598802.96,2.64,7.74,7.54,7.61,7.58,0.33,7.46,0.94
53,54,600143,金发科技,8.06,1.64,0.13,147785,117613732.0,2.52,8.07,7.87,7.94,7.93,0.57,27.98,1.22
54,55,000428,华天酒店,3.13,1.62,0.05,148738,46014458.2,3.57,3.15,3.04,3.06,3.08,1.46,-20.24,1.93
55,56,601555,东吴证券,7.92,1.54,0.12,968165,748189162.0,5.77,7.95,7.5,7.86,7.8,1.95,16.89,0.97
56,57,600157,永泰能源,1.32,1.54,0.02,4524498,589008792.0,3.08,1.32,1.28,1.3,1.3,2.04,12.33,0.62
57,58,000883,湖北能源,5.07,1.4,0.07,231697,116765027.37,2.6,5.11,4.98,5.02,5.0,0.36,11.56,0.99
58,59,300300,ST峡创,2.18,1.4,0.03,373839,80334022.59,8.84,2.24,2.05,2.17,2.15,5.61,-25.72,9.15
59,60,601007,金陵饭店,6.62,1.38,0.09,47838,31250236.0,2.45,6.62,6.46,6.54,6.53,1.23,55.66,1.65
60,61,600195,中牧股份,6.62,1.38,0.09,109497,71358095.0,3.37,6.62,6.4,6.55,6.53,1.07,53.82,1.21
61,62,603858,步长制药,17.07,1.37,0.23,68739,115527991.0,3.44,17.14,16.56,16.95,16.84,0.62,40.79,1.67
62,63,600400,红豆股份,2.29,1.33,0.03,169528,38342812.0,3.1,2.3,2.23,2.25,2.26,0.74,59.46,1.8
63,64,002468,申通快递,11.57,1.14,0.13,255655,294541123.49,4.55,11.78,11.26,11.41,11.44,1.71,20.27,1.93
64,65,600739,辽宁成大,11.69,1.12,0.13,257104,295036200.0,5.28,11.81,11.2,11.75,11.56,1.68,19.46,0.61
65,66,000539,粤电力Ａ,4.72,1.07,0.05,203970,95448905.4,2.57,4.74,4.62,4.69,4.67,0.8,13.72,1.09
66,67,601678,滨化股份,3.83,1.06,0.04,178847,67591629.0,3.96,3.85,3.7,3.8,3.79,0.87,37.48,0.7
67,68,000581,威孚高科,18.35,1.05,0.19,78710,142593305.81,2.53,18.36,17.9,18.3,18.16,0.96,9.58,0.94
68,69,002320,海峡股份,5.39,0.94,0.05,153956,82438720.36,2.62,5.42,5.28,5.35,5.34,0.69,25.19,2.81
69,70,600287,ST舜天,3.44,0.88,0.03,39828,13554889.0,2.93,3.45,3.35,3.42,3.41,0.91,40.0,0.74
70,71,002029,七 匹 狼,5.85,0.86,0.05,50372,29257354.0,2.59,5.87,5.72,5.85,5.8,0.76,11.06,0.63
71,72,603708,家家悦,8.96,0.79,0.07,50643,44691556.0,3.82,8.99,8.65,8.94,8.89,0.84,16.86,2.36
72,73,000030,富奥股份,5.14,0.78,0.04,109463,55896035.9,2.55,5.17,5.04,5.12,5.1,0.65,14.13,1.18
73,74,002091,江苏国泰,7.28,0.69,0.05,122529,88370792.56,2.63,7.3,7.11,7.24,7.23,0.77,12.06,0.8
74,75,300003,乐普医疗,12.2,0.66,0.08,315754,377484101.35,5.03,12.3,11.69,12.13,12.12,1.95,16.45,1.49
75,76,600742,一汽富维,8.66,0.58,0.05,71322,61379227.0,2.21,8.69,8.5,8.62,8.61,0.96,12.24,0.77
76,77,601857,中国石油,8.75,0.57,0.05,1384891,1211661426.0,2.53,8.84,8.62,8.7,8.7,0.09,9.04,1.07
77,78,605266,健之佳,21.8,0.46,0.1,23123,49795607.0,3.64,21.87,21.08,21.71,21.7,1.64,27.16,1.23
78,79,002492,恒基达鑫,4.65,0.43,0.02,53879,24921805.0,1.73,4.66,4.58,4.63,4.63,1.35,24.17,1.13
79,80,002304,洋河股份,86.8,0.22,0.19,80384,690098966.75,3.14,87.21,84.49,86.61,86.61,0.53,8.23,2.47
80,81,600167,联美控股,5.7,0.18,0.01,40399,22914879.0,2.46,5.74,5.6,5.71,5.69,0.18,13.66,1.19
81,82,002294,信立泰,34.92,0.17,0.06,66107,226294439.4,4.48,35.04,33.48,34.43,34.86,0.59,56.57,4.97
82,83,000712,锦龙股份,13.14,-1.94,-0.26,507737,642228646.85,7.61,13.25,12.23,13.1,13.4,5.67,-115.23,4.84
83,84,002162,悦心健康,3.34,-2.05,-0.07,195482,64166661.35,4.69,3.36,3.2,3.32,3.41,2.13,632.76,3.17
84,85,000850,华茂股份,4.5,-3.02,-0.14,288075,129092835.31,6.03,4.66,4.38,4.58,4.64,3.05,104.4,1.0
