,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300355,蒙草生态,5.34,20.0,0.89,5517181,2898707530.06,8.09,5.34,4.98,5.34,4.45,40.39,169.42,1.97
1,2,300227,光韵达,7.88,14.04,0.97,367638,274439490.04,15.48,7.98,6.91,7.04,6.91,8.91,145.98,2.46
2,3,600120,浙江东方,4.57,10.12,0.42,1648152,735928714.0,6.99,4.57,4.28,4.57,4.15,4.83,61.12,1.05
3,4,600326,西藏天路,6.56,10.07,0.6,2052057,1297585215.0,11.24,6.56,5.89,5.89,5.96,15.76,-63.55,2.27
4,5,002355,兴民智通,6.74,9.95,0.61,925558,601412783.26,14.03,6.74,5.88,5.91,6.13,14.97,328.76,3.9
5,6,603778,国晟科技,3.45,9.87,0.31,323706,110414461.0,8.28,3.45,3.19,3.19,3.14,5.04,-10.13,2.63
6,7,600577,精达股份,5.27,9.56,0.46,1116303,565833286.0,11.02,5.29,4.76,4.83,4.81,5.29,19.23,2.13
7,8,002717,岭南股份,2.03,8.56,0.16,2153802,420537130.31,8.56,2.05,1.89,1.89,1.87,14.0,-6.88,1.85
8,9,600133,东湖高新,9.63,7.12,0.64,396707,368073090.0,9.12,9.78,8.96,9.09,8.99,3.72,62.3,1.22
9,10,300121,阳谷华泰,9.09,6.57,0.56,99212,87510534.98,8.09,9.2,8.51,8.62,8.53,2.52,13.39,1.22
10,11,300626,华瑞股份,10.54,6.14,0.61,168504,173412740.09,10.27,10.73,9.71,9.9,9.93,9.47,89.96,3.56
11,12,600602,云赛智联,14.33,6.07,0.82,383454,527432214.0,7.62,14.35,13.32,13.69,13.51,3.57,86.72,4.2
12,13,600053,九鼎投资,15.73,5.64,0.84,92962,143142620.0,4.9,15.8,15.07,15.19,14.89,2.14,427.19,2.35
13,14,600171,上海贝岭,28.66,5.37,1.46,697622,1909591153.0,9.63,28.87,26.25,27.0,27.2,9.84,77.43,4.9
