,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603766,隆鑫通用,8.11,6.85,0.52,342596,269380190.0,8.04,8.13,7.52,7.63,7.59,1.67,14.13,1.93
1,2,001696,宗申动力,14.59,5.5,0.76,707623,1002008639.93,7.38,14.66,13.64,13.9,13.83,7.94,29.63,3.47
2,3,301273,瑞晨环保,17.33,4.84,0.8,11325,19361063.39,6.72,17.77,16.66,16.66,16.53,3.27,-22.62,1.28
3,4,600590,泰豪科技,4.51,4.64,0.2,118604,52847770.0,3.25,4.52,4.38,4.43,4.31,1.41,-32.42,1.13
4,5,002779,中坚科技,38.98,4.59,1.71,29577,115493310.0,5.69,40.12,38.0,38.0,37.27,2.5,57.44,7.12
5,6,301361,众智科技,25.98,3.92,0.98,22576,57287120.28,5.12,25.99,24.71,25.5,25.0,7.76,50.11,2.74
6,7,301032,新柴股份,11.58,3.67,0.41,435899,486741883.08,12.09,11.9,10.55,10.77,11.17,27.48,38.02,2.47
7,8,603109,神驰机电,13.76,3.3,0.44,18672,25273310.0,4.35,13.78,13.2,13.33,13.32,0.9,24.43,1.6
8,9,002576,通达动力,12.79,2.73,0.34,26526,33452750.81,3.21,12.8,12.4,12.5,12.45,1.64,32.81,1.73
9,10,000880,潍柴重机,9.94,2.69,0.26,50456,49499225.4,3.72,9.99,9.63,9.65,9.68,3.11,17.49,1.62
10,11,300153,科泰电源,7.3,2.53,0.18,55268,39760982.72,3.93,7.32,7.04,7.12,7.12,1.74,65.97,2.74
11,12,000903,云内动力,2.21,2.31,0.05,308554,67556355.74,2.78,2.21,2.15,2.17,2.16,1.61,-21.59,1.51
12,13,605100,华丰股份,11.95,2.05,0.24,15574,18426297.0,2.9,11.99,11.65,11.86,11.71,0.92,21.81,1.12
13,14,301533,威马农机,27.0,1.89,0.5,10234,27239394.84,3.25,27.04,26.18,26.53,26.5,3.68,35.39,2.43
14,15,000570,苏常柴Ａ,4.89,1.66,0.08,68025,33099789.56,2.08,4.91,4.81,4.87,4.81,1.22,34.44,1.02
15,16,600841,动力新科,4.3,1.65,0.07,106737,45190289.0,3.55,4.31,4.16,4.2,4.23,1.16,-4.33,1.24
16,17,000816,智慧农业,2.23,1.36,0.03,206011,45634684.26,2.73,2.25,2.19,2.2,2.2,1.43,96.35,1.52
17,18,605259,绿田机械,13.81,1.25,0.17,6949,9497842.0,3.08,13.9,13.48,13.69,13.64,0.4,13.94,1.49
18,19,002760,凤形股份,15.71,0.9,0.14,10567,16461507.0,3.66,15.82,15.25,15.76,15.57,1.2,65.03,1.9
19,20,300091,金通灵,2.37,0.85,0.02,504636,116772933.39,6.38,2.39,2.24,2.34,2.35,3.78,-23.34,1.84
