,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300227,光韵达,7.87,13.89,0.96,367533,274356802.04,15.48,7.98,6.91,7.04,6.91,8.91,145.79,2.46
1,2,688543,国科军工,48.88,13.41,5.78,77031,363422820.0,10.3,48.88,44.44,45.0,43.1,9.43,53.92,3.97
2,3,300900,广联航空,22.51,13.17,2.62,244619,530871516.17,11.76,22.64,20.3,20.3,19.89,11.23,81.89,4.58
3,4,873169,七丰精工,8.35,13.14,0.97,74168,60438060.72,14.23,8.48,7.43,7.51,7.38,14.69,68.22,2.22
4,5,688629,华丰科技,28.61,12.77,3.24,135561,367255862.0,13.36,29.05,25.66,25.8,25.37,8.23,-367.86,9.02
5,6,688143,长盈通,23.2,10.95,2.29,34800,76918819.0,11.14,23.23,20.9,21.0,20.91,3.74,93.54,2.4
6,7,002512,达华智能,4.58,10.1,0.42,1056549,473370605.54,11.3,4.58,4.11,4.16,4.16,10.08,1271.37,11.31
7,8,835640,富士达,16.09,9.98,1.46,22085,34133128.72,12.3,16.16,14.36,14.85,14.63,1.25,44.89,3.57
8,9,300719,安达维尔,21.48,9.87,1.93,278927,590362210.02,11.51,22.3,20.05,20.2,19.55,15.53,191.0,5.2
9,10,300159,新研股份,3.01,9.85,0.27,1445672,434143655.99,14.6,3.2,2.8,2.8,2.74,9.82,-16.5,-44.55
10,11,600877,电科芯片,13.89,9.46,1.2,287017,381756699.0,11.82,13.96,12.46,12.69,12.69,3.11,214.31,6.76
11,12,301517,陕西华达,52.64,9.3,4.48,35417,178721139.76,8.55,52.82,48.7,49.5,48.16,15.85,115.07,4.25
12,13,301306,西测测试,37.72,9.02,3.12,42121,154371991.0,7.54,37.86,35.25,35.25,34.6,10.72,-32.4,2.82
13,14,001270,铖昌科技,37.41,8.88,3.05,59897,215705134.35,7.8,37.46,34.78,34.88,34.36,5.91,-159.66,5.72
14,15,003009,中天火箭,42.85,8.65,3.41,41457,174201438.82,6.92,42.88,40.15,40.28,39.44,2.67,162.55,4.23
15,16,300053,航宇微,13.0,8.51,1.02,478323,596875312.17,9.02,13.03,11.95,11.98,11.98,7.53,-184.15,4.43
16,17,300593,新雷能,12.15,8.48,0.95,129601,151480730.04,8.3,12.18,11.25,11.36,11.2,2.88,-48.43,2.29
17,18,002085,万丰奥威,14.48,8.46,1.13,1168055,1619964203.88,9.06,14.5,13.29,13.47,13.35,5.5,38.62,4.58
18,19,688066,航天宏图,18.73,8.45,1.46,140843,254124653.0,8.22,18.77,17.35,17.64,17.27,5.39,-13.25,2.43
19,20,600501,航天晨光,17.84,8.45,1.39,295323,516029742.0,7.36,17.88,16.67,16.81,16.45,6.96,-31.24,3.59
20,21,430564,天润科技,13.41,8.41,1.04,26504,34525502.87,10.75,13.7,12.37,12.37,12.37,7.85,-53.48,3.25
21,22,300775,三角防务,28.46,8.17,2.15,325019,913488190.69,7.6,29.09,27.09,27.09,26.31,6.1,26.86,2.82
22,23,688682,霍莱沃,33.45,7.87,2.44,14241,46267485.0,7.71,33.59,31.2,31.2,31.01,1.96,197.5,3.72
23,24,300696,爱乐达,17.41,7.74,1.25,158745,270126931.16,6.68,17.48,16.4,16.71,16.16,8.52,-145.1,2.77
24,25,300447,全信股份,14.14,7.69,1.01,82705,114090687.06,7.08,14.18,13.25,13.25,13.13,4.11,51.76,2.17
25,26,300455,航天智装,13.97,7.63,0.99,222154,300584832.94,6.86,14.05,13.16,13.19,12.98,3.14,245.79,5.56
26,27,000901,航天科技,10.92,7.59,0.77,473230,500199169.99,6.31,10.92,10.28,10.35,10.15,5.93,1108.03,2.1
27,28,300762,上海瀚讯,19.47,7.57,1.37,419763,785780710.19,8.01,19.56,18.11,18.55,18.1,6.68,-117.46,5.0
28,29,300045,华力创通,22.18,7.57,1.56,444549,945306435.56,7.86,22.26,20.64,20.8,20.62,9.15,2600.08,8.44
29,30,300342,天银机电,16.55,7.54,1.16,304960,487174036.59,7.28,16.62,15.5,15.6,15.39,7.3,105.47,4.65
30,31,688539,高华科技,24.26,7.54,1.7,18825,43877509.0,8.6,24.35,22.41,22.66,22.56,2.12,73.65,2.58
