,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300114,中航电测,69.67,20.0,11.61,657665.0,4505268961.12,10.11,69.67,63.8,63.8,58.06,11.13,244.94,16.64
1,2,301551,无线传媒,82.34,19.99,13.72,156014.0,1232056734.67,16.55,82.34,70.98,71.0,68.62,43.96,130.88,13.94
2,3,300290,荣科科技,20.89,19.99,3.48,1067643.0,2094330562.44,15.51,20.89,18.19,18.24,17.41,16.7,-1660.83,16.25
3,4,300621,维业股份,10.1,19.95,1.68,142221.0,136946231.64,17.34,10.1,8.64,8.7,8.42,7.25,106.12,2.36
4,5,300722,新余国科,32.0,15.94,4.4,227492.0,698708061.02,14.02,32.5,28.63,29.48,27.6,8.22,101.36,14.87
5,6,836239,长虹能源,32.6,15.89,4.47,55022.0,172869691.59,17.92,33.54,28.5,29.0,28.13,11.07,24.56,5.31
6,7,688631,莱斯信息,88.94,14.27,11.11,56607.0,465187226.0,17.41,89.58,76.03,77.8,77.83,9.24,-1333.39,8.11
7,8,688543,国科军工,48.88,13.41,5.78,77102.0,363769382.0,10.3,48.88,44.44,45.0,43.1,9.44,53.92,3.97
8,9,688629,华丰科技,28.59,12.69,3.22,135677.0,367586149.0,13.36,29.05,25.66,25.8,25.37,8.24,-367.6,9.01
9,10,300540,蜀道装备,23.46,12.52,2.61,51693.0,118905885.54,19.86,24.99,20.85,21.01,20.85,3.56,11603.8,3.78
10,11,300197,节能铁汉,2.01,12.29,0.22,2418786.0,489086279.69,13.41,2.15,1.91,1.94,1.79,8.16,-7.25,1.51
11,12,300341,麦克奥迪,14.1,11.73,1.48,223256.0,299366335.02,15.77,14.36,12.37,12.71,12.62,4.33,47.08,4.2
12,13,600939,重庆建工,2.82,10.16,0.26,485211.0,133625720.0,6.25,2.82,2.66,2.7,2.56,2.55,-142.31,0.67
13,14,600657,信达地产,4.46,10.12,0.41,355784.0,158679664.0,0.0,4.46,4.46,4.46,4.05,1.25,59.75,0.51
14,15,600120,浙江东方,4.57,10.12,0.42,1648152.0,735928714.0,6.99,4.57,4.28,4.57,4.15,4.83,61.12,1.05
15,16,002480,新筑股份,4.47,10.1,0.41,201910.0,87185440.06,9.11,4.47,4.1,4.18,4.06,2.63,-9.42,2.77
16,17,600322,津投城开,2.29,10.1,0.21,1951518.0,442859424.0,6.25,2.29,2.16,2.29,2.08,17.65,-6.26,85.17
17,18,601929,吉视传媒,1.42,10.08,0.13,2079684.0,284577673.0,9.3,1.42,1.3,1.31,1.29,5.96,-10.92,0.79
18,19,600326,西藏天路,6.56,10.07,0.6,2052057.0,1297585215.0,11.24,6.56,5.89,5.89,5.96,15.76,-63.55,2.27
19,20,600239,云南城投,3.28,10.07,0.3,3989417.0,1287705085.0,9.73,3.28,2.99,3.28,2.98,24.85,64.09,3.74
20,21,000563,陕国投Ａ,3.72,10.06,0.34,3792195.0,1397640634.39,4.44,3.72,3.57,3.68,3.38,7.42,13.86,1.09
21,22,002686,亿利达,5.69,10.06,0.52,278128.0,156863545.21,4.64,5.69,5.45,5.68,5.17,5.32,47.61,1.97
22,23,000595,宝塔实业,10.29,10.05,0.94,777101.0,782893508.82,6.42,10.29,9.69,9.75,9.35,6.83,-182.29,24.91
23,24,000514,渝 开 发,4.49,10.05,0.41,960059.0,425796634.55,4.66,4.49,4.3,4.49,4.08,11.38,-57.58,1.02
24,25,601606,长城军工,11.72,10.05,1.07,297020.0,346244610.0,3.85,11.72,11.31,11.7,10.65,4.1,-107.1,3.31
25,26,000702,正虹科技,5.92,10.04,0.54,188892.0,110226885.02,8.55,5.92,5.46,5.46,5.38,7.08,-91.43,4.94
26,27,000617,中油资本,9.32,10.04,0.85,8892708.0,8163172715.62,7.56,9.32,8.68,9.0,8.47,7.03,19.35,1.15
27,28,600601,方正科技,3.51,10.03,0.32,1718532.0,578993628.0,10.34,3.51,3.18,3.21,3.19,4.12,48.9,3.66
28,29,002989,中天精装,24.05,10.02,2.19,154719.0,364488005.12,10.29,24.05,21.8,21.8,21.86,9.33,-47.95,2.86
29,30,002423,中粮资本,17.91,10.01,1.63,1505851.0,2694704913.47,3.69,17.91,17.31,17.91,16.28,6.54,17.57,1.94
30,31,000628,高新发展,54.29,10.01,4.94,298287.0,1530548653.22,13.5,54.29,47.63,48.32,49.35,15.53,162.97,9.05
31,32,002827,高争民爆,29.57,10.01,2.69,196884.0,563920345.22,10.75,29.57,26.68,27.15,26.88,7.13,74.12,9.77
32,33,600719,大连热电,6.82,10.0,0.62,513679.0,339635272.0,10.0,6.82,6.2,6.28,6.2,12.7,-33.36,5.43
33,34,600678,四川金顶,6.49,10.0,0.59,724935.0,458925497.0,6.61,6.49,6.1,6.2,5.9,20.77,-101.46,10.21
34,35,600203,福日电子,7.92,10.0,0.72,674080.0,524072771.0,10.0,7.92,7.2,7.21,7.2,11.37,-25.11,2.41
35,36,002819,东方中科,30.25,10.0,2.75,118215.0,336709173.86,12.76,30.25,26.74,27.49,27.5,5.03,-86.89,2.18
36,37,002302,西部建设,7.26,10.0,0.66,1138133.0,808977709.08,8.03,7.26,6.73,6.86,6.6,9.02,814.09,1.0
37,38,000801,四川九洲,10.12,10.0,0.92,403507.0,390630752.68,8.7,10.12,9.32,9.4,9.2,3.95,76.39,3.54
38,39,000503,国新健康,10.67,10.0,0.97,548618.0,566935000.88,8.25,10.67,9.87,10.06,9.7,5.74,-71.73,7.77
