,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600463,空港股份,10.75,5.91,0.6,119595,125766530.0,6.9,10.88,10.18,10.27,10.15,3.99,-30.04,3.12
1,2,300189,神农种业,2.78,5.7,0.15,540245,147872616.4,9.13,2.85,2.61,2.63,2.63,6.1,-90.32,3.77
2,3,600683,京投发展,4.49,5.15,0.22,257274,115235074.0,5.15,4.6,4.38,4.52,4.27,3.47,-11.66,2.2
3,4,002679,福建金森,7.78,5.14,0.38,41216,31703728.0,4.59,7.85,7.51,7.55,7.4,1.75,-24.34,2.56
4,5,002431,棕榈股份,1.9,4.97,0.09,278229,52488268.13,5.52,1.94,1.84,1.88,1.81,1.56,-4.74,1.2
5,6,600675,中华企业,2.99,4.55,0.13,330406,96836899.0,4.55,3.0,2.87,2.92,2.86,0.55,-25.69,1.26
6,7,300021,大禹节水,3.92,4.53,0.17,152317,58727257.18,4.53,3.94,3.77,3.82,3.75,2.17,88.72,1.8
7,8,600506,统一股份,12.94,4.52,0.56,69727,89543280.0,4.12,13.06,12.55,12.8,12.38,4.72,54.81,5.86
8,9,000736,中交地产,11.13,4.41,0.47,391740,431881303.28,4.22,11.25,10.8,11.19,10.66,5.63,-4.23,7.76
9,10,600094,大名城,3.86,4.32,0.16,272357,103716107.0,3.78,3.87,3.73,3.81,3.7,1.2,32.84,0.76
10,11,600708,光明地产,2.32,4.04,0.09,427397,97996628.0,4.04,2.34,2.25,2.32,2.23,1.92,313.7,0.48
11,12,000735,罗 牛 山,5.61,3.89,0.21,226864,125016301.2,4.44,5.64,5.4,5.46,5.4,1.97,11.77,1.52
12,13,600057,厦门象屿,6.16,3.7,0.22,232702,140719932.0,4.21,6.19,5.94,5.97,5.94,1.06,8.98,1.08
13,14,002403,爱仕达,7.39,3.65,0.26,62410,45301286.0,4.07,7.4,7.11,7.16,7.13,2.1,-353.9,1.51
14,15,000797,中国武夷,3.09,3.34,0.1,476580,145786238.35,3.68,3.11,3.0,3.07,2.99,3.04,12.09,0.91
15,16,300175,朗源股份,5.47,3.21,0.17,140557,75707174.0,3.96,5.49,5.28,5.36,5.3,2.99,-59.16,4.49
