,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300355,蒙草生态,5.34,20.0,0.89,5542369,2912157986.14,8.09,5.34,4.98,5.34,4.45,40.57,169.42,1.97
1,2,300197,节能铁汉,2.0,11.73,0.21,2603184,526036793.69,13.41,2.15,1.91,1.94,1.79,8.78,-7.22,1.51
2,3,300266,兴源环境,2.28,8.06,0.17,777079,172306145.5,12.8,2.37,2.1,2.23,2.11,5.0,-20.11,18.52
3,4,002717,岭南股份,2.0,6.95,0.13,2448238,479353271.01,8.56,2.05,1.89,1.89,1.87,15.91,-6.78,1.83
4,5,600388,龙净环保,12.62,6.77,0.8,162854,201407761.0,7.02,12.73,11.9,11.9,11.82,1.51,15.81,1.78
5,6,300958,建工修复,12.54,4.76,0.57,65569,82302105.8,5.76,12.89,12.2,12.58,11.97,7.2,253.7,1.43
6,7,301228,实朴检测,12.72,4.69,0.57,49176,61811235.49,5.84,12.84,12.13,12.36,12.15,8.98,-28.98,2.01
7,8,300422,博世科,4.73,4.42,0.2,141520,67069251.51,5.08,4.85,4.62,4.68,4.53,3.39,48.02,1.2
8,9,605069,正和生态,6.53,4.31,0.27,58292,38119236.0,5.27,6.75,6.42,6.61,6.26,6.93,-21.19,1.37
9,10,300826,测绘股份,14.62,3.98,0.56,63039,90772202.7,6.26,14.79,13.91,14.17,14.06,4.14,126.93,1.92
10,11,300948,冠中生态,10.56,3.94,0.4,41648,44123567.5,6.69,11.0,10.32,10.73,10.16,3.18,86.31,1.73
11,12,300012,华测检测,14.48,3.8,0.53,277161,398259929.65,4.66,14.68,14.03,14.07,13.95,1.94,27.91,3.79
12,13,300187,永清环保,5.17,3.61,0.18,74600,38511047.9,5.61,5.3,5.02,5.02,4.99,1.16,24.42,3.15
13,14,688701,卓锦股份,5.4,3.45,0.18,16472,8774521.0,6.51,5.5,5.16,5.22,5.22,1.23,-15.38,2.82
14,15,002322,理工能科,14.72,3.08,0.44,107400,156233801.0,4.83,14.84,14.15,14.24,14.28,2.94,19.58,1.96
15,16,688480,赛恩斯,28.57,2.95,0.82,5690,16018991.0,4.5,28.76,27.51,27.8,27.75,0.91,11.8,2.57
16,17,300635,中达安,10.64,2.6,0.27,91186,96924513.52,5.5,10.88,10.31,10.5,10.37,7.59,157.03,3.39
17,18,600710,苏美达,8.79,2.33,0.2,179111,157247913.0,4.07,8.95,8.6,8.7,8.59,1.37,10.07,1.65
18,19,002967,广电计量,15.11,2.23,0.33,93651,139838345.6,4.8,15.31,14.6,14.73,14.78,1.73,55.29,2.41
19,20,600008,首创环保,3.21,2.23,0.07,1239729,397752025.0,2.87,3.25,3.16,3.2,3.14,1.69,12.86,1.23
20,21,430476,海能技术,7.6,2.01,0.15,14265,10829019.5,9.53,7.98,7.27,7.47,7.45,2.22,-22.93,1.38
21,22,603098,森特股份,8.69,2.0,0.17,67558,58475504.0,4.81,8.86,8.45,8.65,8.52,1.25,40.85,1.72
22,23,300387,富邦股份,7.6,1.6,0.12,73508,55591905.07,3.88,7.68,7.39,7.42,7.48,2.54,15.71,1.61
23,24,601200,上海环境,8.14,1.5,0.12,114562,93312663.0,2.24,8.24,8.06,8.15,8.02,0.85,17.45,1.0
24,25,603060,国检集团,6.58,1.39,0.09,72788,47848961.0,2.93,6.66,6.47,6.58,6.49,0.91,100.4,2.87
25,26,002887,绿茵生态,6.44,1.1,0.07,39044,25458554.6,2.98,6.62,6.43,6.52,6.37,2.45,23.91,0.89
26,27,600982,宁波能源,3.73,1.08,0.04,68658,25635374.0,2.44,3.78,3.69,3.71,3.69,0.61,16.77,1.0
27,28,300864,南大环境,22.1,0.87,0.19,12105,26888716.4,3.74,22.53,21.71,22.14,21.91,0.77,18.48,2.8
28,29,001358,兴欣新材,22.37,0.77,0.17,11785,26291702.76,3.24,22.63,21.91,22.31,22.2,3.83,32.06,1.9
29,30,002565,顺灏股份,2.82,0.0,0.0,251709,70956284.0,3.9,2.86,2.75,2.83,2.82,2.39,55.25,1.58
30,31,002758,浙农股份,8.65,-0.46,-0.04,49513,42969393.42,2.88,8.8,8.55,8.69,8.69,0.96,21.42,1.0
31,32,000711,*ST京蓝,1.69,-0.59,-0.01,101779,17167864.6,1.76,1.7,1.67,1.68,1.7,0.87,-45.79,7.13
