,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301027,华蓝集团,9.95,9.7,0.88,120082,115670178.3,7.94,9.98,9.26,9.38,9.07,10.16,-35.61,1.56
1,2,300036,超图软件,18.55,7.97,1.37,225999,397617482.46,9.43,18.55,16.93,17.25,17.18,5.17,134.81,3.17
2,3,300732,设研院,8.14,7.81,0.59,172525,136482221.66,7.55,8.2,7.63,7.68,7.55,5.33,-15.09,0.97
3,4,002205,国统股份,8.26,6.99,0.54,105576,84923047.78,8.42,8.44,7.79,7.8,7.72,5.68,-16.56,2.62
4,5,301136,招标股份,13.72,6.52,0.84,124324,165847284.43,7.84,13.76,12.75,12.75,12.88,11.97,490.62,2.58
5,6,833943,优机股份,9.31,6.4,0.56,12455,11225062.35,7.66,9.37,8.7,8.87,8.75,3.02,18.81,1.69
6,7,603815,交建股份,6.5,6.04,0.37,164984,105199535.0,7.83,6.59,6.11,6.23,6.13,2.67,26.57,1.74
7,8,603843,正平股份,2.81,5.24,0.14,173862,48452021.0,6.37,2.87,2.7,2.78,2.67,2.49,-12.54,2.19
8,9,300826,测绘股份,14.74,4.84,0.68,52006,74598561.7,6.26,14.79,13.91,14.17,14.06,3.42,127.97,1.94
9,10,000598,兴蓉环境,7.6,4.68,0.34,336728,254440058.05,5.37,7.75,7.36,7.36,7.26,1.13,12.22,1.33
10,11,300665,飞鹿股份,6.1,4.27,0.25,66840,40363600.0,6.15,6.23,5.87,5.93,5.85,4.44,-12.11,2.39
11,12,301167,建研设计,13.68,3.64,0.48,26386,35594814.0,4.7,13.77,13.15,13.33,13.2,3.71,135.54,1.66
12,13,688509,正元地信,3.72,3.62,0.13,81206,29497356.0,4.18,3.72,3.57,3.58,3.59,2.11,-24.01,2.02
13,14,300599,雄塑科技,6.16,3.53,0.21,45732,27735182.0,4.87,6.19,5.9,5.99,5.95,2.16,-31.12,1.05
14,15,002062,宏润建设,3.97,3.39,0.13,84031,33220734.98,3.39,3.99,3.86,3.92,3.84,0.85,11.69,1.0
15,16,688450,光格科技,22.96,3.33,0.74,2667,5968488.0,4.68,23.0,21.96,22.35,22.22,0.71,-37.57,1.43
16,17,002694,顾地科技,3.79,3.27,0.12,47613,17784578.1,4.09,3.8,3.65,3.68,3.67,0.86,-36.0,5.55
17,18,003037,三和管桩,6.07,3.23,0.19,76743,45960497.25,4.25,6.1,5.85,6.02,5.88,3.82,966.91,1.33
18,19,300434,金石亚药,8.53,3.02,0.25,39804,33229694.6,4.95,8.54,8.13,8.36,8.28,1.16,43.71,1.43
19,20,300075,数字政通,17.33,2.97,0.5,190173,321593306.12,5.59,17.4,16.46,17.27,16.83,3.7,74.79,2.68
20,21,600480,凌云股份,8.96,2.87,0.25,132425,116205077.0,4.02,8.98,8.63,8.71,8.71,1.44,10.56,1.17
21,22,600008,首创环保,3.23,2.87,0.09,1115131,357695259.0,2.87,3.25,3.16,3.2,3.14,1.52,12.94,1.23
22,23,003013,地铁设计,13.88,2.59,0.35,18493,25352950.0,3.1,13.92,13.5,13.68,13.53,0.46,13.69,2.31
23,24,600444,国机通用,14.4,2.56,0.36,47278,67067387.0,4.56,14.5,13.86,14.04,14.04,3.23,47.3,3.05
24,25,300007,汉威科技,16.17,2.34,0.37,144873,227476116.44,6.33,16.22,15.22,15.77,15.8,5.12,51.3,1.86
25,26,600969,郴电国际,6.19,2.31,0.14,86617,53446871.0,3.31,6.25,6.05,6.05,6.05,2.34,57.25,0.63
26,27,002457,青龙管业,11.98,2.13,0.25,614352,734908778.29,9.8,12.55,11.4,11.73,11.73,18.43,27.83,1.73
27,28,003039,顺控发展,12.64,2.1,0.26,25349,31733071.0,3.23,12.7,12.3,12.7,12.38,0.41,32.27,3.02
28,29,002339,积成电子,6.42,2.07,0.13,116437,73728978.1,3.34,6.43,6.22,6.29,6.29,2.43,-19.69,1.91
29,30,603856,东宏股份,11.71,2.0,0.23,31805,36709248.0,4.18,11.75,11.27,11.65,11.48,1.24,9.98,1.28
30,31,300198,纳川股份,2.13,1.91,0.04,618951,130166545.2,4.78,2.15,2.05,2.09,2.09,6.04,-28.45,3.06
31,32,002372,伟星新材,13.95,1.53,0.21,169887,233092362.21,5.17,14.05,13.34,13.89,13.74,1.16,32.68,4.79
32,33,002671,龙泉股份,4.11,1.48,0.06,128491,52545251.54,3.21,4.15,4.02,4.06,4.05,2.33,70.2,1.44
33,34,000708,中信特钢,12.82,1.42,0.18,151956,194849624.38,3.09,13.02,12.63,12.69,12.64,0.3,11.87,1.7
