,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,831370,新安洁,3.71,19.29,0.6,285148,101055835.67,19.29,3.88,3.28,3.35,3.11,10.66,-31.14,1.66
1,2,300197,节能铁汉,2.01,12.29,0.22,2417808,488889731.69,13.41,2.15,1.91,1.94,1.79,8.15,-7.25,1.51
2,3,300056,中创环保,14.67,10.3,1.37,646116,898899303.81,13.76,14.9,13.07,13.72,13.3,16.77,933.42,18.55
3,4,000652,泰达股份,4.2,9.95,0.38,799817,326002409.27,6.81,4.2,3.94,4.07,3.82,5.42,31.3,1.09
4,5,000826,启迪环境,2.02,9.78,0.18,594226,117153215.6,5.98,2.02,1.91,1.96,1.84,4.17,-6.57,0.72
5,6,002791,坚朗五金,31.61,9.57,2.76,77006,233029924.0,9.95,31.69,28.82,30.02,28.85,4.69,1143.76,1.97
6,7,300746,汉嘉设计,15.94,9.18,1.34,190656,287867414.0,10.14,15.96,14.48,14.7,14.6,8.59,483.61,3.05
7,8,603615,茶花股份,17.15,8.54,1.35,61591,101669123.0,8.54,17.19,15.84,15.87,15.8,2.55,-163.55,3.57
8,9,600501,航天晨光,17.85,8.51,1.4,295262,515920878.0,7.36,17.88,16.67,16.81,16.45,6.95,-31.26,3.59
9,10,300210,森远股份,10.18,8.18,0.77,201772,197027022.6,8.61,10.21,9.4,9.58,9.41,4.17,-69.79,11.75
10,11,002479,富春环保,4.61,7.96,0.34,276817,126387359.6,3.98,4.66,4.49,4.5,4.27,3.21,20.2,1.01
11,12,300407,凯发电气,12.0,7.53,0.84,199044,235605210.23,9.86,12.5,11.4,11.52,11.16,8.15,43.47,2.18
12,13,835579,机科股份,15.65,6.61,0.97,26924,40652280.4,8.45,15.74,14.5,14.96,14.68,6.04,146.62,3.93
13,14,002970,锐明技术,38.02,6.59,2.35,53427,195027281.75,8.49,38.16,35.13,36.18,35.67,4.78,26.59,4.49
14,15,300815,玉禾田,15.1,6.41,0.91,90693,134422227.8,6.55,15.27,14.34,14.86,14.19,2.33,9.21,1.55
15,16,600388,龙净环保,12.51,5.84,0.69,115843,142268467.0,5.33,12.53,11.9,11.9,11.82,1.07,15.68,1.76
16,17,301026,浩通科技,30.71,5.79,1.68,16164,48428638.44,5.58,30.74,29.12,29.12,29.03,2.21,22.65,2.38
17,18,300422,博世科,4.79,5.74,0.26,125918,59648722.51,5.08,4.85,4.62,4.68,4.53,3.02,48.63,1.21
18,19,300854,中兰环保,12.68,5.67,0.68,34008,42267101.0,4.83,12.72,12.14,12.33,12.0,6.05,51.19,1.3
19,20,300203,聚光科技,16.49,5.1,0.8,247187,400858993.0,10.9,17.11,15.4,16.95,15.69,5.51,81.22,2.5
20,21,002197,ST证通,3.75,5.04,0.18,222815,82889501.75,3.92,3.75,3.61,3.63,3.57,4.17,-29.54,0.94
21,22,002973,侨银股份,10.14,4.97,0.48,103572,106639988.28,7.04,10.59,9.91,9.91,9.66,6.0,12.02,1.81
22,23,300692,中环环保,5.18,4.86,0.24,67255,34425968.5,5.06,5.26,5.01,5.16,4.94,1.8,27.3,1.04
23,24,600323,瀚蓝环境,23.21,4.83,1.07,141927,329002690.0,3.39,23.5,22.75,22.8,22.14,1.74,10.67,1.5
24,25,000598,兴蓉环境,7.6,4.68,0.34,336723,254436254.05,5.37,7.75,7.36,7.36,7.26,1.13,12.22,1.33
25,26,300490,华自科技,8.09,4.66,0.36,159857,127512314.76,6.99,8.2,7.66,7.8,7.73,4.09,-44.26,1.17
26,27,002667,威领股份,8.32,4.65,0.37,137266,113753266.06,8.05,8.49,7.85,8.02,7.95,5.81,-19.8,3.23
27,28,300190,维尔利,3.62,4.62,0.16,115665,41473801.0,5.78,3.69,3.49,3.64,3.46,1.49,33.52,0.79
28,29,301127,天源环保,10.03,4.48,0.43,104340,102504397.57,4.06,10.05,9.66,9.73,9.6,2.95,24.77,2.27
29,30,000544,中原环保,8.45,4.45,0.36,103447,86541241.76,3.21,8.49,8.23,8.34,8.09,1.06,5.85,1.03
30,31,002034,旺能环境,15.31,4.43,0.65,48366,73954389.61,2.05,15.48,15.18,15.34,14.66,1.13,9.07,1.03
31,32,000885,城发环境,12.63,4.21,0.51,50579,63366652.6,2.97,12.68,12.32,12.56,12.12,0.79,8.27,1.04
32,33,600461,洪城环境,9.61,4.12,0.38,335093,323765648.0,3.79,9.8,9.45,9.49,9.23,2.83,10.11,1.42
33,34,300614,百川畅银,10.41,4.1,0.41,27518,28200329.87,6.5,10.65,10.0,10.2,10.0,1.72,-18.72,1.22
34,35,601033,永兴股份,14.57,4.0,0.56,53162,76152890.0,4.64,14.64,13.99,14.09,14.01,3.54,15.54,1.3
35,36,002596,海南瑞泽,2.35,3.98,0.09,973705,230002942.27,8.85,2.47,2.27,2.37,2.26,9.52,-27.94,2.86
36,37,300867,圣元环保,13.65,3.96,0.52,34162,45942613.0,3.58,13.68,13.21,13.37,13.13,1.78,18.11,1.03
37,38,301109,军信股份,17.08,3.96,0.65,36164,61303203.1,4.81,17.43,16.64,16.64,16.43,3.67,13.06,1.39
38,39,002672,东江环保,4.24,3.92,0.16,56543,23654036.07,3.68,4.26,4.11,4.16,4.08,0.67,-9.1,1.13
39,40,300140,节能环境,6.3,3.79,0.23,177932,109847944.24,4.61,6.32,6.04,6.17,6.07,1.74,22.32,1.43
40,41,300172,中电环保,5.26,3.75,0.19,227722,118327961.54,3.75,5.27,5.08,5.11,5.07,4.35,33.94,1.91
41,42,603568,伟明环保,22.21,3.59,0.77,62670,136189850.0,4.1,22.28,21.4,21.93,21.44,0.37,13.3,3.2
42,43,002009,天奇股份,12.04,3.53,0.41,105329,123418712.12,6.19,12.11,11.39,11.61,11.63,2.63,-30.84,2.33
43,44,000521,长虹美菱,9.42,3.52,0.32,369930,338474440.13,6.04,9.44,8.89,9.09,9.1,4.23,11.69,1.64
44,45,301049,超越科技,24.8,3.38,0.81,27505,66766549.72,5.96,24.88,23.45,23.91,23.99,2.92,-60.23,3.19
45,46,002663,普邦股份,1.61,3.21,0.05,219594,35175283.73,3.21,1.63,1.58,1.61,1.56,1.57,232.2,0.94
46,47,300075,数字政通,17.36,3.15,0.53,190147,321548218.12,5.59,17.4,16.46,17.27,16.83,3.7,74.92,2.69
47,48,300261,雅本化学,6.67,3.09,0.2,143452,93440273.72,4.79,6.69,6.38,6.47,6.47,1.53,-61.77,2.9
48,49,002090,金智科技,8.12,2.92,0.23,64223,51070088.5,4.69,8.14,7.77,7.9,7.89,1.62,57.61,2.21
49,50,603506,南都物业,8.49,2.91,0.24,34569,29136600.0,2.67,8.53,8.31,8.43,8.25,1.84,38.82,1.46
50,51,600008,首创环保,3.23,2.87,0.09,1114408,357461731.0,2.87,3.25,3.16,3.2,3.14,1.52,12.94,1.23
51,52,002682,龙洲股份,3.95,2.86,0.11,155289,60411406.8,3.13,3.95,3.83,3.84,3.84,2.76,-32.65,1.51
52,53,000680,山推股份,7.93,2.85,0.22,166137,130453978.28,2.98,7.97,7.74,7.78,7.71,1.27,14.22,2.06
53,54,300048,合康新能,5.13,2.81,0.14,105016,53036823.6,3.81,5.15,4.96,5.02,4.99,0.94,334.96,3.35
54,55,300403,汉宇集团,7.73,2.79,0.21,114451,86533097.5,4.79,7.74,7.38,7.6,7.52,2.71,19.96,2.44
55,56,001336,楚环科技,17.39,2.78,0.47,9696,16683072.0,2.96,17.44,16.94,17.12,16.92,3.4,37.35,1.79
56,57,001230,劲旅环境,16.3,2.71,0.43,8464,13693385.4,2.65,16.34,15.92,16.05,15.87,1.57,15.73,1.23
57,58,002645,华宏科技,7.32,2.66,0.19,60699,43627778.0,4.49,7.35,7.03,7.2,7.13,1.19,957.0,1.19
58,59,301148,嘉戎技术,18.93,2.66,0.49,17543,32863241.77,3.52,19.06,18.41,18.76,18.44,4.56,44.42,1.28
59,60,000803,山高环能,3.89,2.64,0.1,53669,20556965.56,3.69,3.9,3.76,3.79,3.79,1.17,-26.17,1.33
60,61,300664,鹏鹞环保,4.85,2.54,0.12,86721,41754409.34,3.59,4.91,4.74,4.88,4.73,1.16,11.43,0.85
61,62,002358,森源电气,3.68,2.51,0.09,101416,36818423.0,3.06,3.69,3.58,3.59,3.59,1.09,39.21,1.07
62,63,301259,艾布鲁,33.19,2.5,0.81,34273,111737527.27,5.56,33.5,31.7,32.54,32.38,4.21,-95.26,6.18
63,64,000035,中国天楹,4.57,2.47,0.11,340295,152244044.98,4.71,4.57,4.36,4.38,4.46,1.39,16.02,1.07
64,65,000025,特  力Ａ,15.85,2.46,0.38,58134,90971180.42,3.04,15.9,15.43,15.55,15.47,1.48,44.56,4.1
65,66,000967,盈峰环境,4.6,2.45,0.11,153281,69626170.5,3.12,4.61,4.47,4.53,4.49,0.48,19.13,0.85
