,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300337,银邦股份,17.11,19.99,2.85,1395679,2182220612.75,20.13,17.11,14.24,14.44,14.26,19.62,84.59,8.26
1,2,300722,新余国科,32.01,15.98,4.41,227371,698320835.02,14.02,32.5,28.63,29.48,27.6,8.22,101.39,14.87
2,3,300227,光韵达,7.87,13.89,0.96,367438,274282014.04,15.48,7.98,6.91,7.04,6.91,8.91,145.79,2.46
3,4,300900,广联航空,22.51,13.17,2.62,244604,530837741.17,11.76,22.64,20.3,20.3,19.89,11.23,81.89,4.58
4,5,300424,航新科技,15.44,10.92,1.52,227892,340805956.29,10.78,15.59,14.09,14.09,13.92,9.52,114.99,4.97
5,6,002130,沃尔核材,15.68,10.04,1.43,1806526,2754108892.12,10.95,15.68,14.12,14.35,14.25,14.46,23.55,3.88
6,7,000801,四川九洲,10.12,10.0,0.92,403476,390599380.68,8.7,10.12,9.32,9.4,9.2,3.94,76.39,3.54
7,8,300719,安达维尔,21.49,9.92,1.94,278882,590265541.02,11.51,22.3,20.05,20.2,19.55,15.53,191.08,5.21
8,9,000571,新大洲A,3.89,9.89,0.35,213005,81817363.44,5.37,3.89,3.7,3.77,3.54,2.62,-60.96,9.05
9,10,300159,新研股份,3.01,9.85,0.27,1445600,434121983.99,14.6,3.2,2.8,2.8,2.74,9.82,-16.5,-44.55
10,11,600316,洪都航空,26.11,9.71,2.31,255054,643263003.0,10.08,26.13,23.73,23.73,23.8,3.56,2641.32,3.54
11,12,301306,西测测试,37.73,9.05,3.13,42109,154326720.0,7.54,37.86,35.25,35.25,34.6,10.72,-32.4,2.82
12,13,300775,三角防务,28.53,8.44,2.22,324783,912815527.69,7.6,29.09,27.09,27.09,26.31,6.1,26.93,2.82
13,14,300593,新雷能,12.14,8.39,0.94,129560,151430955.04,8.3,12.18,11.25,11.36,11.2,2.88,-48.39,2.29
14,15,002049,紫光国微,67.4,8.38,5.21,374034,2398753787.01,10.05,68.0,61.75,62.2,62.19,4.4,38.82,4.92
15,16,300696,爱乐达,17.42,7.8,1.26,158609,269890077.16,6.68,17.48,16.4,16.71,16.16,8.51,-145.18,2.77
16,17,600151,航天机电,7.13,7.7,0.51,477017,330383951.0,8.16,7.14,6.6,6.68,6.62,3.33,-155.57,2.09
17,18,300447,全信股份,14.14,7.69,1.01,82645,114005847.06,7.08,14.18,13.25,13.25,13.13,4.1,51.76,2.17
18,19,300045,华力创通,22.18,7.57,1.56,444074,944253405.56,7.86,22.26,20.64,20.8,20.62,9.14,2600.08,8.44
19,20,000901,航天科技,10.89,7.29,0.74,472192,499066699.99,6.31,10.92,10.28,10.35,10.15,5.92,1104.99,2.09
20,21,600219,南山铝业,4.43,7.0,0.29,1878397,817161432.0,7.0,4.47,4.18,4.22,4.14,1.6,11.85,1.06
21,22,300726,宏达电子,32.18,6.95,2.09,102054,318376288.28,7.31,32.5,30.3,30.57,30.09,4.78,36.56,2.75
22,23,600990,四创电子,22.54,6.57,1.39,111883,240358887.0,11.73,22.54,20.06,20.88,21.15,4.16,-79.07,2.89
23,24,600765,中航重机,21.11,6.56,1.3,293590,602802848.0,6.61,21.15,19.84,20.0,19.81,2.0,21.63,2.61
24,25,002520,日发精机,4.71,6.56,0.29,266192,122325167.43,5.43,4.72,4.48,4.48,4.42,4.13,-80.56,3.12
25,26,688510,航亚科技,16.19,6.51,0.99,50791,80141393.0,5.92,16.2,15.3,15.44,15.2,1.97,31.12,3.93
26,27,000733,振华科技,44.66,6.11,2.57,196392,856158495.12,6.7,44.98,42.16,42.41,42.09,3.55,29.45,1.75
27,28,600391,航发科技,18.29,6.03,1.04,91823,164101708.0,5.33,18.32,17.4,17.48,17.25,2.78,197.37,3.75
28,29,002985,北摩高科,22.33,5.93,1.25,48167,105084166.03,4.7,22.35,21.36,21.36,21.08,2.32,55.59,2.9
29,30,002190,成飞集成,16.57,5.74,0.9,75233,123054949.21,5.74,16.65,15.75,15.81,15.67,2.1,-111.74,1.99
30,31,000561,烽火电子,7.6,5.7,0.41,160947,119829726.2,5.7,7.63,7.22,7.28,7.19,2.67,-46.29,2.49
31,32,002651,利君股份,5.76,5.69,0.31,129074,72868608.0,4.95,5.77,5.5,5.5,5.45,2.28,35.53,2.17
32,33,600343,航天动力,9.53,5.65,0.51,105050,98082617.0,4.88,9.55,9.11,9.15,9.02,1.65,-53.42,3.82
33,34,002134,天津普林,11.69,5.6,0.62,245468,281991413.52,5.87,11.78,11.13,11.13,11.07,9.98,69.47,6.18
34,35,000768,中航西飞,28.53,5.55,1.5,458855,1299728263.83,5.88,28.82,27.23,27.31,27.03,1.66,60.38,3.97
35,36,600399,抚顺特钢,6.32,5.51,0.33,652995,403742801.0,5.84,6.34,5.99,6.03,5.99,3.31,27.34,1.91
36,37,688523,航天环宇,20.16,5.44,1.04,26094,51275115.0,4.92,20.16,19.22,19.58,19.12,3.06,179.63,5.25
37,38,002984,森麒麟,26.62,5.38,1.36,188309,491317149.5,6.61,26.87,25.2,25.51,25.26,2.69,12.72,2.26
38,39,600760,中航沈飞,47.74,5.27,2.39,274215,1294434207.0,4.83,47.96,45.77,46.0,45.35,1.0,40.65,8.36
39,40,002413,雷科防务,4.33,5.1,0.21,336169,143763559.89,4.85,4.35,4.15,4.17,4.12,2.69,-43.26,1.54
40,41,688122,西部超导,46.31,5.01,2.21,107176,487697870.0,4.99,46.43,44.23,44.5,44.1,1.65,43.17,4.8
41,42,603809,豪能股份,8.39,5.01,0.4,81335,67247653.0,3.5,8.4,8.12,8.18,7.99,1.4,15.06,2.17
42,43,002023,海特高新,10.2,4.83,0.47,205963,205907424.3,5.34,10.22,9.7,9.73,9.73,2.78,80.26,1.77
43,44,001316,润贝航科,29.5,4.72,1.33,15566,45475539.2,5.25,29.7,28.22,28.22,28.17,5.62,27.46,2.1
44,45,300699,光威复材,32.39,4.65,1.44,155210,492611165.45,5.65,32.45,30.7,31.35,30.95,1.89,36.55,4.75
45,46,600850,电科数字,21.44,4.48,0.92,97624,202365079.0,6.87,21.54,20.13,20.8,20.52,1.6,54.83,3.34
46,47,301233,盛帮股份,40.25,4.46,1.72,12197,48594794.0,3.22,40.31,39.07,39.07,38.53,6.53,24.49,2.36
47,48,300324,旋极信息,3.07,4.42,0.13,709682,212425832.36,5.44,3.08,2.92,2.95,2.94,4.15,-23.15,1.75
48,49,600893,航发动力,41.69,4.38,1.75,261573,1084864537.0,3.98,42.09,40.5,40.69,39.94,0.98,93.43,2.8
49,50,600456,宝钛股份,31.47,4.31,1.3,77475,239065764.0,5.2,31.55,29.98,30.32,30.17,1.62,18.66,2.22
50,51,600862,中航高科,21.9,4.29,0.9,159781,344480056.0,4.19,21.94,21.06,21.37,21.0,1.15,25.27,4.67
51,52,605123,派克新材,57.05,4.11,2.25,12440,69333491.0,5.6,57.07,54.0,55.98,54.8,1.03,20.93,1.61
52,53,300034,钢研高纳,17.28,4.03,0.67,214596,366400851.2,4.58,17.38,16.62,16.71,16.61,2.8,37.24,3.89
53,54,000738,航发控制,22.0,4.02,0.85,120120,262053229.55,4.02,22.18,21.33,21.46,21.15,0.91,30.8,2.4
54,55,002111,威海广泰,10.71,3.98,0.41,94131,99136096.52,3.79,10.75,10.36,10.4,10.3,1.98,26.49,1.87
55,56,300320,海达股份,9.52,3.93,0.36,72762,67884959.61,4.04,9.54,9.17,9.28,9.16,1.48,37.02,2.56
56,57,600372,中航机载,13.0,3.92,0.49,488159,628133496.0,3.28,13.04,12.63,12.71,12.51,1.03,34.83,1.73
57,58,300855,图南股份,24.08,3.88,0.9,56513,132904164.99,4.92,24.15,23.01,23.79,23.18,1.93,24.89,5.1
58,59,002297,博云新材,6.73,3.86,0.25,82621,55217688.3,3.24,6.78,6.57,6.58,6.48,1.44,834.98,1.82
