,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002410,广联达,14.11,9.98,1.28,653284,876603874.26,10.21,14.11,12.8,13.08,12.83,4.11,60.76,3.96
1,2,603160,汇顶科技,81.0,8.91,6.63,130280,1008135555.0,11.31,81.79,73.38,74.43,74.37,2.84,58.51,4.43
2,3,300070,碧水源,5.24,5.65,0.28,1708239,899307566.72,10.69,5.53,5.0,5.53,4.96,4.97,-130.71,0.7
3,4,300136,信维通信,23.31,5.48,1.21,317522,714524667.47,7.42,23.41,21.77,22.3,22.1,3.85,55.62,3.17
4,5,601939,建设银行,8.58,5.15,0.42,2260144,1913980980.0,4.66,8.63,8.25,8.25,8.16,2.36,6.53,0.71
5,6,000596,古井贡酒,198.29,4.93,9.31,38711,744260963.0,6.78,198.58,185.76,189.0,188.98,0.95,14.67,4.61
6,7,300183,东软载波,16.59,4.6,0.73,93061,149785115.99,5.99,16.6,15.65,16.0,15.86,2.59,67.08,2.44
7,8,601166,兴业银行,19.82,4.32,0.82,1134777,2231906995.0,3.63,19.96,19.27,19.27,19.0,0.55,4.78,0.57
8,9,000002,万  科Ａ,9.48,4.18,0.38,2949530,2757066425.86,4.07,9.53,9.16,9.41,9.1,3.04,-5.74,0.47
9,10,000049,德赛电池,25.21,4.17,1.01,72562,178493588.83,5.5,25.3,23.97,24.32,24.2,1.89,45.05,1.54
10,11,600585,海螺水泥,25.85,3.94,0.98,379486,977074110.0,4.1,26.15,25.13,25.13,24.87,0.95,20.6,0.75
11,12,300244,迪安诊断,13.05,3.9,0.49,162504,208558410.0,5.81,13.21,12.48,12.75,12.56,3.24,56.84,1.16
12,13,601601,中国太保,38.67,3.84,1.43,410960,1565321364.0,4.83,38.85,37.05,37.7,37.24,0.6,7.4,1.39
13,14,300024,机器人,12.5,3.48,0.42,381010,463598346.25,5.22,12.5,11.87,12.1,12.08,2.5,-158.35,4.51
14,15,000651,格力电器,50.25,3.42,1.66,431556,2141146409.85,3.54,50.38,48.66,48.66,48.59,0.78,10.01,2.4
15,16,002415,海康威视,30.59,3.24,0.96,660331,1994769737.16,4.05,30.71,29.51,29.63,29.63,0.73,27.89,3.83
16,17,601398,工商银行,6.47,3.19,0.2,6220402,3995938803.0,2.87,6.5,6.32,6.32,6.27,0.23,6.76,0.66
17,18,600016,民生银行,4.01,3.08,0.12,2630767,1044935148.0,2.06,4.01,3.93,3.95,3.89,0.74,3.91,0.32
18,19,000423,东阿阿胶,60.95,3.06,1.81,83537,499490401.59,5.17,61.5,58.44,59.33,59.14,1.3,26.58,3.83
19,20,000333,美的集团,79.1,3.04,2.33,338848,2643141930.42,3.33,79.16,76.6,77.03,76.77,0.49,14.54,3.67
20,21,600690,海尔智家,32.39,2.99,0.94,361383,1153007305.0,4.23,32.49,31.16,31.57,31.45,0.58,14.58,2.87
21,22,600036,招商银行,39.53,2.86,1.1,996334,3911483429.0,2.89,39.8,38.69,39.01,38.43,0.48,6.67,1.04
22,23,600522,中天科技,15.14,2.85,0.42,403414,603155665.0,3.06,15.17,14.72,14.86,14.72,1.18,17.7,1.53
23,24,601988,中国银行,5.16,2.79,0.14,3100720,1591135795.0,2.39,5.18,5.06,5.07,5.02,0.15,6.4,0.66
24,25,601318,中国平安,58.95,2.45,1.41,935453,5463528304.0,2.94,59.24,57.55,58.39,57.54,0.87,7.19,1.15
25,26,600276,恒瑞医药,51.43,2.45,1.23,297073,1511345340.0,3.21,51.67,50.06,50.5,50.2,0.47,47.8,7.7
26,27,600563,法拉电子,102.6,2.34,2.35,19436,195719971.0,4.08,102.98,98.89,100.71,100.25,0.86,23.95,4.88
27,28,603986,兆易创新,85.9,2.26,1.9,207421,1731548099.0,5.38,86.0,81.48,84.0,84.0,3.12,55.32,3.66
28,29,002120,韵达股份,8.65,2.25,0.19,253912,215843301.8,4.02,8.67,8.33,8.45,8.46,0.9,12.05,1.29
29,30,600398,海澜之家,6.4,2.24,0.14,465666,293471983.0,3.51,6.41,6.19,6.28,6.26,0.97,9.39,1.75
30,31,600600,青岛啤酒,71.95,1.84,1.3,55998,397822038.0,3.06,72.0,69.84,70.51,70.65,0.79,13.48,3.46
31,32,002230,科大讯飞,43.6,1.61,0.69,372199,1596710903.68,3.54,43.66,42.14,42.91,42.91,1.7,-125.78,6.05
32,33,300124,汇川技术,59.2,1.49,0.87,243986,1425378471.55,5.52,60.08,56.86,59.43,58.33,1.08,37.43,6.23
33,34,000726,鲁  泰Ａ,6.21,1.47,0.09,58524,36083376.09,2.29,6.23,6.09,6.13,6.12,0.99,14.97,0.55
34,35,600660,福耀玻璃,58.58,1.28,0.74,119677,696861044.0,3.28,58.96,57.06,57.85,57.84,0.6,21.85,4.83
35,36,002008,大族激光,23.58,1.2,0.28,285860,660826090.8,4.16,23.6,22.63,23.2,23.3,2.92,10.13,1.58
36,37,000848,承德露露,8.08,1.0,0.08,182844,144530396.85,5.0,8.11,7.71,8.0,8.0,1.76,14.49,2.79
37,38,002038,双鹭药业,7.29,0.97,0.07,109678,78812369.0,3.32,7.3,7.06,7.23,7.22,1.29,126.55,1.28
38,39,600085,同仁堂,37.7,0.86,0.32,106262,397073122.0,3.08,37.89,36.74,37.55,37.38,0.77,25.32,4.09
