,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600622,光大嘉宝,2.93,10.15,0.27,180942.0,53016132.0,0.0,2.93,2.93,2.93,2.66,1.21,-9.93,0.92
1,2,000697,炼石航空,7.71,9.99,0.7,361245.0,274577091.91,11.41,7.71,6.91,7.04,7.01,6.41,-25.31,22.56
2,3,600193,创兴资源,2.76,9.96,0.25,252685.0,66990980.0,9.96,2.76,2.51,2.53,2.51,5.94,-84.84,4.05
3,4,601600,中国铝业,9.13,7.16,0.61,3477362.0,3134709453.0,5.87,9.22,8.72,8.72,8.52,2.65,11.16,2.43
4,5,600301,华锡有色,17.45,5.82,0.96,128954.0,218516175.0,7.16,17.45,16.27,16.5,16.49,4.68,15.82,2.99
5,6,301026,浩通科技,30.7,5.75,1.67,16182.0,48483910.44,5.58,30.74,29.12,29.12,29.03,2.22,22.64,2.38
6,7,000426,兴业银锡,13.09,5.74,0.71,442462.0,565703703.7,6.06,13.16,12.41,12.49,12.38,2.64,13.61,3.33
7,8,002428,云南锗业,13.99,5.58,0.74,307327.0,420624987.59,5.66,14.04,13.29,13.34,13.25,4.71,-494.2,6.56
8,9,600331,宏达股份,6.98,4.96,0.33,461980.0,315680198.0,6.47,7.05,6.62,6.65,6.65,2.27,121.55,37.44
9,10,603993,洛阳钼业,8.42,4.6,0.37,1559151.0,1289919193.0,4.72,8.43,8.05,8.09,8.05,0.88,16.79,2.98
10,11,002237,恒邦股份,11.09,4.52,0.48,208386.0,226359248.8,4.9,11.15,10.63,10.71,10.61,2.29,21.33,1.42
11,12,603799,华友钴业,29.32,4.49,1.26,399020.0,1135620547.0,5.35,29.39,27.89,28.06,28.06,2.37,14.89,1.51
12,13,300477,合纵科技,3.04,4.47,0.13,264893.0,78657959.56,4.47,3.04,2.91,2.92,2.91,2.83,-12.21,1.93
13,14,300402,宝色股份,14.64,4.35,0.61,36261.0,52062983.0,4.49,14.68,14.05,14.13,14.03,1.49,46.79,2.49
14,15,000762,西藏矿业,22.64,4.33,0.94,171817.0,379723797.6,4.88,22.66,21.6,21.8,21.7,3.3,53.13,4.01
15,16,300487,蓝晓科技,55.28,4.32,2.29,43270.0,231727968.82,5.55,55.46,52.52,53.54,52.99,1.42,34.54,8.26
16,17,688456,有研粉材,29.61,4.3,1.22,15745.0,45744195.0,4.51,29.66,28.38,28.78,28.39,1.52,52.22,2.63
17,18,300208,*ST中程,2.19,4.29,0.09,104885.0,22633210.24,5.24,2.22,2.11,2.15,2.1,1.53,-7.89,-3.23
18,19,600456,宝钛股份,31.45,4.24,1.28,77572.0,239370986.0,5.2,31.55,29.98,30.32,30.17,1.62,18.65,2.22
19,20,002240,盛新锂能,14.36,4.21,0.58,183910.0,258769241.48,4.93,14.39,13.71,13.88,13.78,2.12,-35.38,1.06
20,21,000701,厦门信达,4.22,4.2,0.17,135794.0,56010671.1,4.44,4.22,4.04,4.05,4.05,2.12,-24.7,8.03
21,22,605376,博迁新材,24.12,4.15,0.96,35549.0,83054850.0,6.48,24.16,22.66,23.18,23.16,1.36,57.81,3.98
22,23,600295,鄂尔多斯,9.69,4.08,0.38,107513.0,102252443.0,4.51,9.7,9.28,9.29,9.31,0.54,13.47,1.35
23,24,300034,钢研高纳,17.28,4.03,0.67,214825.0,366796485.2,4.58,17.38,16.62,16.71,16.61,2.8,37.24,3.89
24,25,002297,博云新材,6.74,4.01,0.26,82653.0,55239256.3,3.24,6.78,6.57,6.58,6.48,1.44,836.22,1.82
25,26,000688,国城矿业,11.67,4.01,0.45,50931.0,58062486.18,5.26,11.69,11.1,11.17,11.22,0.46,151.7,4.51
26,27,000655,金岭矿业,5.98,4.0,0.23,79637.0,47411578.34,5.74,6.14,5.81,5.89,5.75,1.34,22.28,1.09
27,28,002149,西部材料,14.77,3.94,0.56,115593.0,169066878.92,4.71,14.89,14.22,14.27,14.21,2.37,37.71,2.44
28,29,601168,西部矿业,18.52,3.81,0.68,325739.0,591652104.0,4.71,18.53,17.69,17.84,17.84,1.37,13.62,2.8
29,30,603977,国泰集团,11.47,3.8,0.42,98189.0,111646717.0,4.71,11.55,11.03,11.17,11.05,1.58,26.1,2.25
30,31,002378,章源钨业,6.62,3.76,0.24,139877.0,90936643.04,3.76,6.63,6.39,6.42,6.38,1.17,35.42,3.83
31,32,002182,宝武镁业,10.53,3.74,0.38,133455.0,137055241.32,4.83,10.54,10.05,10.17,10.15,1.71,43.59,1.97
32,33,000960,锡业股份,16.18,3.72,0.58,262687.0,419763354.93,3.85,16.29,15.69,15.8,15.6,1.6,16.65,1.47
33,34,000408,藏格矿业,26.72,3.65,0.94,92374.0,242087292.59,4.03,26.78,25.74,25.87,25.78,0.58,16.28,3.32
34,35,600711,ST盛屯,4.27,3.64,0.15,670264.0,282544987.0,4.37,4.32,4.14,4.15,4.12,2.15,5.96,0.9
35,36,000603,盛达资源,13.25,3.6,0.46,175081.0,228053129.23,5.71,13.32,12.59,12.66,12.79,2.77,55.41,2.89
