,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300621,维业股份,10.1,19.95,1.68,142221,136946231.64,17.34,10.1,8.64,8.7,8.42,7.25,106.12,2.36
1,2,300093,金刚光伏,17.72,9.65,1.56,308908,535609567.19,12.69,18.65,16.6,16.6,16.16,14.34,-8.58,-17.3
2,3,300374,中铁装配,19.42,7.59,1.37,418071,799141623.0,16.45,20.46,17.49,17.49,18.05,20.55,-48.86,5.57
3,4,300057,万顺新材,5.17,7.26,0.35,200486,100477632.93,11.41,5.32,4.77,4.82,4.82,2.72,-252.41,0.87
4,5,301024,霍普股份,23.58,6.31,1.4,13219,30438482.5,5.95,23.67,22.35,22.61,22.18,7.45,-39.24,2.95
5,6,600207,安彩高科,4.5,5.63,0.24,281125,123749029.0,10.8,4.66,4.2,4.29,4.26,2.58,238.26,1.57
6,7,002761,浙江建投,9.14,5.54,0.48,390047,350177236.7,4.85,9.19,8.77,9.04,8.66,3.61,29.67,1.5
7,8,002421,达实智能,2.89,5.47,0.15,461840,128998134.0,5.84,2.89,2.73,2.77,2.74,2.31,329.17,1.82
8,9,300500,启迪设计,12.14,5.11,0.59,43883,52010179.0,5.89,12.2,11.52,11.72,11.55,2.69,48.57,1.72
9,10,603316,诚邦股份,5.81,4.68,0.26,141672,81988671.0,7.03,5.96,5.57,5.64,5.55,5.36,-144.35,2.07
10,11,300980,祥源新材,17.46,4.68,0.78,13607,23302829.84,8.33,17.82,16.43,16.69,16.68,2.0,86.5,2.13
11,12,000517,荣安地产,2.47,4.66,0.11,578451,140408356.1,5.08,2.49,2.37,2.44,2.36,2.32,8.47,0.98
12,13,300935,盈建科,20.98,4.59,0.92,18143,37093097.12,5.28,20.99,19.93,20.05,20.06,3.01,-33.97,1.93
13,14,001379,腾达科技,22.06,4.45,0.94,67050,144433387.95,5.26,22.09,20.98,21.18,21.12,13.41,55.21,3.08
14,15,301199,迈赫股份,26.98,4.13,1.07,20395,53553486.6,5.48,27.14,25.72,26.06,25.91,4.37,43.92,2.0
15,16,300949,奥雅股份,32.54,4.09,1.28,9617,30687541.0,4.77,32.6,31.11,32.05,31.26,1.6,-13.79,2.17
16,17,600819,耀皮玻璃,5.1,4.08,0.2,81271,40759178.0,3.67,5.1,4.92,4.93,4.9,1.09,38.07,1.39
17,18,301167,建研设计,13.68,3.64,0.48,26390,35600286.0,4.7,13.77,13.15,13.33,13.2,3.71,135.54,1.66
18,19,301010,晶雪节能,13.5,3.61,0.47,17187,22943897.0,5.99,13.76,12.98,13.22,13.03,1.59,48.19,1.77
19,20,300675,建科院,14.55,3.41,0.48,63554,90876873.0,5.12,14.6,13.88,14.28,14.07,4.33,-37.52,3.72
20,21,300993,玉马遮阳,9.9,3.34,0.32,33776,32626987.37,4.59,9.93,9.49,9.59,9.58,1.4,17.68,2.28
21,22,002613,北玻股份,3.77,3.29,0.12,100265,37382007.59,2.74,3.78,3.68,3.68,3.65,1.65,24.99,2.05
22,23,002988,豪美新材,15.62,3.03,0.46,20918,32248817.0,3.3,15.63,15.13,15.18,15.16,0.84,15.68,1.53
23,24,000779,甘咨询,8.16,3.03,0.24,101597,82065191.27,3.03,8.16,7.92,8.03,7.92,2.19,15.0,1.01
24,25,301043,绿岛风,26.68,3.01,0.78,5870,15361197.0,5.17,26.7,25.36,25.9,25.9,2.55,17.29,2.2
25,26,002810,山东赫达,14.13,2.91,0.4,32623,45568257.0,3.71,14.16,13.65,13.94,13.73,1.02,19.48,2.34
26,27,001324,长青科技,16.41,2.56,0.41,12462,20170420.69,3.88,16.55,15.93,16.31,16.0,1.53,32.16,2.09
27,28,600586,金晶科技,5.62,2.18,0.12,146399,81198671.0,3.45,5.63,5.44,5.6,5.5,1.02,14.61,1.35
28,29,603601,再升科技,3.08,1.99,0.06,124317,38018892.0,2.98,3.1,3.01,3.06,3.02,1.22,20.66,1.47
29,30,000012,南  玻Ａ,5.43,1.88,0.1,188209,101038452.96,3.0,5.44,5.28,5.37,5.33,0.96,11.37,1.19
30,31,000055,方大集团,3.88,1.84,0.07,57285,22110206.36,1.84,3.89,3.82,3.82,3.81,0.85,17.84,0.69
31,32,603137,恒尚节能,10.56,1.83,0.19,7864,8249053.0,2.51,10.61,10.35,10.37,10.37,1.07,14.46,1.63
32,33,003035,南网能源,4.63,1.76,0.08,150201,68458364.56,3.08,4.63,4.49,4.58,4.55,0.67,42.86,2.54
33,34,605155,西大门,9.18,1.55,0.14,16615,15096695.0,2.43,9.19,8.97,9.06,9.04,0.88,15.98,1.46
34,35,603366,日出东方,4.23,1.44,0.06,63696,26738285.0,2.64,4.25,4.14,4.21,4.17,0.79,30.37,0.86
35,36,002165,红 宝 丽,3.66,1.39,0.05,122548,44510479.83,2.77,3.67,3.57,3.63,3.61,1.68,35.58,1.34
36,37,603041,美思德,10.26,1.38,0.14,10806,10970012.0,2.96,10.28,9.98,10.18,10.12,0.59,16.58,1.27
37,38,605589,圣泉集团,19.73,1.28,0.25,124975,241979564.0,4.11,19.75,18.95,19.66,19.48,1.61,25.2,1.61
38,39,300163,ST先锋,1.95,0.0,0.0,184007,35729891.67,5.13,2.0,1.9,1.97,1.95,4.42,42.63,1.83
39,40,603378,亚士创能,7.14,-0.7,-0.05,144165,101804331.0,6.54,7.29,6.82,7.29,7.19,3.36,-79.97,1.83
40,41,300117,*ST嘉寓,1.4,-0.71,-0.01,215769,30176228.06,4.26,1.43,1.37,1.39,1.41,3.01,-3.03,-0.61
