,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300865,大宏立,19.79,20.01,3.3,46187.0,86121101.5,19.95,19.79,16.5,16.96,16.49,6.82,85.9,2.17
1,2,300929,华骐环保,9.54,20.0,1.59,184685.0,166686752.99,17.23,9.54,8.17,8.29,7.95,15.0,-55.82,1.52
2,3,300621,维业股份,10.1,19.95,1.68,142221.0,136946231.64,17.34,10.1,8.64,8.7,8.42,7.25,106.12,2.36
3,4,301098,金埔园林,9.24,13.65,1.11,171361.0,151354825.89,11.81,9.37,8.41,8.52,8.13,14.22,30.93,1.26
4,5,300649,杭州园林,11.9,11.21,1.2,87334.0,102644985.12,9.81,12.34,11.29,11.5,10.7,8.23,-44.33,3.07
5,6,002211,宏达新材,4.69,10.09,0.43,128756.0,60386334.19,0.0,4.69,4.69,4.69,4.26,2.98,-68.62,41.83
6,7,000702,正虹科技,5.92,10.04,0.54,188892.0,110226885.02,8.55,5.92,5.46,5.46,5.38,7.08,-91.43,4.94
7,8,600193,创兴资源,2.76,9.96,0.25,252685.0,66990980.0,9.96,2.76,2.51,2.53,2.51,5.94,-84.84,4.05
8,9,688038,中科通达,12.61,9.84,1.13,46498.0,55444976.0,11.67,12.64,11.3,11.45,11.48,4.0,104.81,2.35
9,10,301027,华蓝集团,9.95,9.7,0.88,120083.0,115671173.3,7.94,9.98,9.26,9.38,9.07,10.16,-35.61,1.56
10,11,300564,筑博设计,11.78,9.68,1.04,130629.0,153509112.92,22.53,12.89,10.47,10.94,10.74,11.54,-31.64,1.54
11,12,300753,爱朋医疗,14.15,8.85,1.15,49581.0,66819418.0,12.54,14.37,12.74,13.02,13.0,6.02,100.27,2.56
12,13,301336,趣睡科技,33.09,8.31,2.54,11348.0,36478888.8,10.61,33.7,30.46,30.78,30.55,4.41,47.09,1.66
13,14,688511,天微电子,15.05,7.73,1.08,26895.0,39311692.0,10.31,15.41,13.97,13.97,13.97,2.61,562.93,1.8
14,15,002205,国统股份,8.27,7.12,0.55,105691.0,85018105.78,8.42,8.44,7.79,7.8,7.72,5.69,-16.58,2.63
15,16,300334,津膜科技,6.47,7.12,0.43,107837.0,68575094.0,7.78,6.59,6.12,6.12,6.04,3.57,695.86,3.44
16,17,605122,四方新材,10.83,6.8,0.69,31019.0,33009357.0,7.4,11.0,10.25,10.3,10.14,1.8,82.56,0.84
17,18,300553,集智股份,24.1,6.73,1.52,17188.0,39531483.0,9.17,24.23,22.16,22.83,22.58,3.24,127.17,2.76
18,19,688448,磁谷科技,21.56,6.63,1.34,16276.0,33587606.0,7.22,21.56,20.1,20.55,20.22,3.42,92.33,1.57
19,20,300417,南华仪器,10.55,6.57,0.65,103875.0,107277315.65,8.38,10.86,10.03,10.8,9.9,11.96,27.13,3.01
20,21,002209,达 意 隆,9.15,6.52,0.56,106026.0,96082298.0,8.27,9.33,8.62,8.62,8.59,6.83,31.85,2.72
21,22,300462,华铭智能,9.79,6.41,0.59,83036.0,78439526.5,6.96,9.8,9.16,9.2,9.2,6.07,-26.04,1.27
22,23,688679,通源环境,7.98,6.4,0.48,19090.0,14908054.0,8.27,8.18,7.56,7.8,7.5,1.45,180.8,0.93
23,24,300626,华瑞股份,10.55,6.24,0.62,168494.0,173402200.09,10.27,10.73,9.71,9.9,9.93,9.47,90.04,3.57
24,25,600455,博通股份,18.94,6.23,1.11,40153.0,74430071.0,8.36,19.39,17.9,17.93,17.83,6.43,63.41,4.25
