,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688232,新点软件,37.69,19.99,6.28,76339,262837686.0,20.28,37.69,31.32,32.5,31.41,7.7,-262.78,2.32
1,2,836149,旭杰科技,8.73,17.65,1.31,78939,65217501.84,20.75,8.98,7.44,7.64,7.42,16.49,33.6,3.39
2,3,833873,中设咨询,4.54,12.66,0.51,139903,59505817.63,16.38,4.64,3.98,4.22,4.03,12.81,-9.13,1.82
3,4,301091,深城交,39.0,10.17,3.6,179857,667414301.28,10.11,39.2,35.62,36.15,35.4,9.34,-819.46,7.13
4,5,600939,重庆建工,2.82,10.16,0.26,485201,133622900.0,6.25,2.82,2.66,2.7,2.56,2.55,-142.31,0.67
5,6,301027,华蓝集团,9.97,9.92,0.9,120079,115667193.3,7.94,9.98,9.26,9.38,9.07,10.16,-35.68,1.56
6,7,300732,设研院,8.14,7.81,0.59,172500,136461871.66,7.55,8.2,7.63,7.68,7.55,5.33,-15.09,0.97
7,8,603153,上海建科,18.79,6.94,1.22,130830,244383407.0,4.04,19.0,18.29,18.5,17.57,9.69,49.96,2.26
8,9,300284,苏交科,9.43,6.92,0.61,702425,638574290.81,8.05,9.51,8.8,9.1,8.82,5.88,37.73,1.43
9,10,301136,招标股份,13.73,6.6,0.85,124323,165845912.43,7.84,13.76,12.75,12.75,12.88,11.97,490.98,2.58
10,11,600502,安徽建工,5.11,6.02,0.29,702193,351204910.0,5.6,5.15,4.88,4.98,4.82,4.09,7.16,0.87
11,12,300977,深圳瑞捷,18.9,6.0,1.07,35381,65076651.49,6.23,18.94,17.83,18.15,17.83,9.13,135.88,2.06
12,13,300887,谱尼测试,8.17,5.97,0.46,154165,122352494.14,5.45,8.19,7.77,7.8,7.71,4.26,-13.01,1.36
13,14,300500,启迪设计,12.14,5.11,0.59,43882,52008965.0,5.89,12.2,11.52,11.72,11.55,2.69,48.57,1.72
14,15,688128,中国电研,20.18,4.56,0.88,46982,91797070.0,5.85,20.28,19.15,19.26,19.3,1.16,20.75,2.78
15,16,300935,盈建科,20.97,4.54,0.91,18130,37065830.12,5.28,20.99,19.93,20.05,20.06,3.01,-33.96,1.93
16,17,300012,华测检测,14.55,4.3,0.6,214066,306249775.79,4.01,14.59,14.03,14.07,13.95,1.5,28.04,3.8
17,18,600170,上海建工,2.36,3.96,0.09,1533520,356405407.0,3.08,2.36,2.29,2.32,2.27,1.73,12.69,0.69
18,19,301167,建研设计,13.68,3.64,0.48,26380,35586606.0,4.7,13.77,13.15,13.33,13.2,3.71,135.54,1.66
19,20,300675,建科院,14.56,3.48,0.49,63532,90844852.0,5.12,14.6,13.88,14.28,14.07,4.33,-37.55,3.72
20,21,603909,建发合诚,8.22,3.4,0.27,20310,16558077.0,3.02,8.25,8.01,8.1,7.95,0.78,31.47,2.12
21,22,603916,苏博特,7.95,3.38,0.26,56201,44165843.0,4.03,7.99,7.68,7.72,7.69,1.34,32.29,0.84
22,23,601789,宁波建工,4.02,3.34,0.13,192605,76463589.0,3.6,4.04,3.9,3.97,3.89,1.77,15.18,1.01
23,24,603636,南威软件,9.78,3.16,0.3,124069,118273618.0,5.38,9.82,9.31,9.55,9.48,2.14,-24.73,2.22
24,25,000779,甘咨询,8.16,3.03,0.24,101474,81964823.27,3.03,8.16,7.92,8.03,7.92,2.18,15.0,1.01
25,26,002333,罗普斯金,5.48,3.01,0.16,39894,21595987.0,3.38,5.5,5.32,5.36,5.32,0.61,58.38,1.99
26,27,301115,建科股份,14.65,2.66,0.38,26368,38059721.0,3.36,14.7,14.22,14.36,14.27,2.5,75.01,1.03
27,28,002398,垒知集团,3.96,2.33,0.09,67081,26379322.98,2.84,3.98,3.87,3.89,3.87,1.16,19.1,0.78
28,29,600846,同济科技,7.95,2.32,0.18,42585,33566630.0,2.45,7.96,7.77,7.82,7.77,0.68,10.65,1.26
29,30,603060,国检集团,6.64,2.31,0.15,58502,38409713.0,2.93,6.66,6.47,6.58,6.49,0.73,101.32,2.89
30,31,603183,建研院,3.56,2.3,0.08,94894,33629541.0,2.3,3.58,3.5,3.54,3.48,1.89,47.17,1.14
31,32,002057,中钢天源,7.18,2.28,0.16,92735,66056624.0,2.99,7.23,7.02,7.16,7.02,1.24,26.53,1.78
32,33,600491,龙元建设,3.27,2.19,0.07,377041,122793626.0,5.94,3.37,3.18,3.32,3.2,2.46,-12.32,0.47
33,34,600629,华建集团,5.17,2.17,0.11,153283,78549713.0,2.96,5.2,5.05,5.17,5.06,1.62,13.39,1.0
34,35,000055,方大集团,3.88,1.84,0.07,57284,22109818.36,1.84,3.89,3.82,3.82,3.81,0.85,17.84,0.69
35,36,002883,中设股份,10.19,-0.78,-0.08,91945,92539210.08,6.52,10.44,9.77,10.27,10.27,6.75,42.25,2.32
