,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300663,科蓝软件,26.55,18.21,4.09,1574364,3710830627.5,21.02,26.75,22.03,23.88,22.46,37.95,-1809.45,11.99
1,2,300468,四方精创,23.71,14.82,3.06,2045874,4744516041.41,18.89,24.78,20.88,24.78,20.65,38.69,170.94,7.81
2,3,600225,卓朗科技,3.23,9.86,0.29,1542938,485150559.0,7.82,3.23,3.0,3.0,2.94,4.53,-46.64,6.0
3,4,300212,易华录,27.65,8.86,2.25,481681,1276048188.78,10.79,27.88,25.14,25.4,25.4,6.9,-27.02,6.17
4,5,002717,岭南股份,2.03,8.56,0.16,2153525,420481100.31,8.56,2.05,1.89,1.89,1.87,14.0,-6.88,1.85
5,6,688579,山大地纬,10.04,6.81,0.64,69066,66171530.0,9.26,10.1,9.23,9.43,9.4,1.73,96.28,2.94
6,7,300364,中文在线,23.51,6.14,1.36,507688,1136643262.25,10.38,23.8,21.5,22.2,22.15,7.68,-57.17,15.59
7,8,603721,中广天择,24.24,5.85,1.34,60842,143287034.0,5.94,24.3,22.94,23.01,22.9,4.68,-240.11,6.2
8,9,300113,顺网科技,13.59,5.43,0.7,229840,301434026.82,6.83,13.64,12.76,13.0,12.89,4.35,49.43,4.65
9,10,300659,中孚信息,15.81,5.4,0.81,91210,139771210.5,6.2,15.88,14.95,15.0,15.0,4.79,-15.8,3.06
10,11,688590,新致软件,14.52,5.14,0.71,95596,133924641.0,8.25,14.64,13.5,14.31,13.81,3.67,89.08,2.8
11,12,688051,佳华科技,20.47,4.55,0.89,6631,13215780.0,5.46,20.57,19.5,20.0,19.58,0.86,-26.83,1.99
12,13,002354,天娱数科,3.25,4.5,0.14,545009,171945743.4,6.43,3.27,3.07,3.12,3.11,3.37,-402.58,3.8
13,14,603918,金桥信息,11.67,4.48,0.5,135515,153784388.0,6.09,11.7,11.02,11.33,11.17,3.7,-39.83,4.06
14,15,300079,数码视讯,5.48,4.38,0.23,447326,238573889.19,5.9,5.5,5.19,5.28,5.25,3.49,6669.49,1.86
15,16,600633,浙数文化,10.24,4.17,0.41,163580,162030540.0,7.53,10.33,9.59,9.83,9.83,1.29,44.01,1.34
16,17,301159,三维天地,36.3,3.51,1.23,22657,80022838.16,5.96,36.39,34.3,35.0,35.07,7.26,-20.38,3.6
17,18,300579,数字认证,27.67,3.44,0.92,61000,163260646.0,6.73,27.78,25.98,27.26,26.75,2.33,-127.7,8.41
18,19,002235,安妮股份,4.97,3.33,0.16,169073,82348427.47,4.16,4.97,4.77,4.79,4.81,3.05,122.24,3.92
19,20,300379,东方通,16.91,3.3,0.54,721494,1143466407.62,13.32,17.16,14.98,16.68,16.37,13.7,-28.39,2.68
20,21,300220,金运激光,8.26,3.25,0.26,38278,31238938.0,3.5,8.29,8.01,8.07,8.0,2.53,478.79,20.42
21,22,603636,南威软件,9.78,3.16,0.3,124225,118426187.0,5.38,9.82,9.31,9.55,9.48,2.14,-24.73,2.22
22,23,300895,铜牛信息,33.96,3.0,0.99,48072,158364959.47,5.7,33.98,32.1,32.62,32.97,3.48,-59.65,5.15
23,24,300148,天舟文化,3.46,2.98,0.1,333404,112955921.5,4.76,3.47,3.31,3.41,3.36,4.16,75.77,3.05
24,25,000681,视觉中国,12.51,2.96,0.36,148852,181653019.6,5.19,12.55,11.92,12.19,12.15,2.2,86.18,2.51
25,26,600880,博瑞传播,4.17,2.46,0.1,129385,52896314.0,3.69,4.17,4.02,4.09,4.07,1.18,264.08,1.5
26,27,000925,众合科技,6.3,2.27,0.14,95359,59192452.0,3.25,6.31,6.11,6.18,6.16,1.74,-24.22,1.3
27,28,688489,三未信安,35.64,2.18,0.76,13721,47470470.0,6.11,35.83,33.7,35.56,34.88,2.78,148.61,2.22
28,29,002152,广电运通,11.55,1.94,0.22,369991,420379045.82,4.85,11.58,11.03,11.5,11.33,1.49,28.78,2.35
29,30,603000,人民网,21.81,1.92,0.41,212491,452579994.0,5.0,21.89,20.82,21.45,21.4,1.92,754.41,6.78
30,31,301169,零点有数,44.49,1.81,0.79,42076,178153500.0,10.02,44.88,40.5,43.16,43.7,14.96,-34.91,5.95
31,32,002117,东港股份,7.25,1.68,0.12,50686,36247745.42,3.51,7.28,7.03,7.14,7.13,0.93,27.94,2.96
32,33,000607,华媒控股,3.5,1.45,0.05,75945,26249171.6,3.19,3.51,3.4,3.46,3.45,0.87,81.51,2.18
33,34,603383,顶点软件,36.56,1.13,0.41,125955,438093190.0,8.8,36.68,33.5,35.41,36.15,6.18,76.98,5.53
