,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,301098,金埔园林,9.22,13.41,1.09,171322,151318800.89,11.81,9.37,8.41,8.52,8.13,14.21,30.86,1.26
1,2,300197,节能铁汉,2.01,12.29,0.22,2417808,488889731.69,13.41,2.15,1.91,1.94,1.79,8.15,-7.25,1.51
2,3,300649,杭州园林,11.91,11.31,1.21,87312,102618821.12,9.81,12.34,11.29,11.5,10.7,8.23,-44.37,3.07
3,4,301091,深城交,39.0,10.17,3.6,179853,667398703.28,10.11,39.2,35.62,36.15,35.4,9.34,-819.46,7.13
4,5,600939,重庆建工,2.82,10.16,0.26,485201,133622900.0,6.25,2.82,2.66,2.7,2.56,2.55,-142.31,0.67
5,6,603778,国晟科技,3.45,9.87,0.31,323689,110408596.0,8.28,3.45,3.19,3.19,3.14,5.04,-10.13,2.63
6,7,000826,启迪环境,2.02,9.78,0.18,594226,117153215.6,5.98,2.02,1.91,1.96,1.84,4.17,-6.57,0.72
7,8,300564,筑博设计,11.76,9.5,1.02,130587,153459667.92,22.53,12.89,10.47,10.94,10.74,11.54,-31.59,1.53
8,9,300746,汉嘉设计,15.94,9.18,1.34,190644,287848287.0,10.14,15.96,14.48,14.7,14.6,8.59,483.61,3.05
9,10,002717,岭南股份,2.02,8.02,0.15,2151799,420131871.31,8.56,2.05,1.89,1.89,1.87,13.98,-6.84,1.84
10,11,301151,冠龙节能,16.86,8.01,1.25,76069,124106835.45,8.9,16.96,15.57,15.67,15.61,13.94,111.83,1.41
11,12,300732,设研院,8.14,7.81,0.59,172500,136461871.66,7.55,8.2,7.63,7.68,7.55,5.33,-15.09,0.97
12,13,300374,中铁装配,19.42,7.59,1.37,417917,798842494.0,16.45,20.46,17.49,17.49,18.05,20.54,-48.86,5.57
13,14,300986,志特新材,11.23,7.46,0.78,39619,42742312.39,9.09,11.25,10.3,10.43,10.45,1.61,182.77,2.09
14,15,300284,苏交科,9.43,6.92,0.61,702332,638486618.81,8.05,9.51,8.8,9.1,8.82,5.88,37.73,1.43
15,16,301136,招标股份,13.72,6.52,0.84,124317,165837674.43,7.84,13.76,12.75,12.75,12.88,11.97,490.62,2.58
16,17,603176,汇通集团,4.79,6.44,0.29,61485,28934882.0,6.44,4.82,4.53,4.59,4.5,4.1,29.16,2.09
17,18,300958,建工修复,12.71,6.18,0.74,57866,72582194.8,5.76,12.89,12.2,12.58,11.97,6.36,257.14,1.45
18,19,300388,节能国祯,7.07,6.16,0.41,147988,102828389.54,5.86,7.14,6.75,7.0,6.66,2.18,12.48,1.12
19,20,301024,霍普股份,23.53,6.09,1.35,13206,30407849.5,5.95,23.67,22.35,22.61,22.18,7.44,-39.16,2.95
20,21,300977,深圳瑞捷,18.91,6.06,1.08,35372,65059641.49,6.23,18.94,17.83,18.15,17.83,9.13,135.95,2.06
21,22,600502,安徽建工,5.11,6.02,0.29,702167,351191639.0,5.6,5.15,4.88,4.98,4.82,4.09,7.16,0.87
22,23,603815,交建股份,6.49,5.87,0.36,164972,105191735.0,7.83,6.59,6.11,6.23,6.13,2.67,26.53,1.74
23,24,300070,碧水源,5.25,5.85,0.29,1706171,898222404.72,10.69,5.53,5.0,5.53,4.96,4.97,-130.96,0.7
24,25,605303,园林股份,7.19,5.74,0.39,34406,24309214.0,5.0,7.24,6.9,7.0,6.8,2.13,-9.59,1.0
25,26,000010,美丽生态,2.03,5.73,0.11,360469,72737845.98,6.25,2.09,1.97,2.0,1.92,6.85,-11.8,13.02
26,27,300989,蕾奥规划,13.35,5.7,0.72,71805,93676353.35,5.23,13.37,12.71,12.82,12.63,7.49,568.4,2.7
27,28,300948,冠中生态,10.72,5.51,0.56,36247,38389321.5,6.69,11.0,10.32,10.73,10.16,2.77,87.62,1.76
28,29,001267,汇绿生态,5.79,5.46,0.3,149149,84696469.41,6.01,5.85,5.52,5.56,5.49,4.11,174.17,2.99
29,30,002761,浙江建投,9.13,5.43,0.47,389785,349937773.7,4.85,9.19,8.77,9.04,8.66,3.6,29.64,1.5
