,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300489,光智科技,27.34,20.02,4.56,4701,12851987.2,0.0,27.34,27.34,27.34,22.78,0.34,-53.15,6.58
1,2,301357,北方长龙,35.59,19.99,5.93,59300,205599089.17,11.36,35.59,32.22,32.6,29.66,24.92,-408.39,2.99
2,3,300581,晨曦航空,10.91,18.97,1.74,502652,530657737.93,15.7,11.0,9.56,9.56,9.17,9.14,-118.22,6.0
3,4,300722,新余国科,32.0,15.94,4.4,227468,698631262.02,14.02,32.5,28.63,29.48,27.6,8.22,101.36,14.87
4,5,300227,光韵达,7.88,14.04,0.97,367638,274439490.04,15.48,7.98,6.91,7.04,6.91,8.91,145.98,2.46
5,6,300900,广联航空,22.5,13.12,2.61,244642,530923278.17,11.76,22.64,20.3,20.3,19.89,11.23,81.85,4.58
6,7,300563,神宇股份,54.01,13.06,6.24,315316,1630894623.37,15.68,54.66,47.17,48.58,47.77,25.63,83.87,9.38
7,8,300424,航新科技,15.44,10.92,1.52,227931,340866172.29,10.78,15.59,14.09,14.09,13.92,9.52,114.99,4.97
8,9,600203,福日电子,7.92,10.0,0.72,674080,524072771.0,10.0,7.92,7.2,7.21,7.2,11.37,-25.11,2.41
9,10,000801,四川九洲,10.12,10.0,0.92,403507,390630752.68,8.7,10.12,9.32,9.4,9.2,3.95,76.39,3.54
10,11,000697,炼石航空,7.71,9.99,0.7,361245,274577091.91,11.41,7.71,6.91,7.04,7.01,6.41,-25.31,22.56
11,12,603261,立航科技,30.07,9.99,2.73,46826,136667732.0,9.18,30.07,27.56,27.56,27.34,17.81,-48.29,2.96
12,13,300159,新研股份,3.01,9.85,0.27,1445689,434148772.99,14.6,3.2,2.8,2.8,2.74,9.82,-16.5,-44.55
13,14,600316,洪都航空,26.1,9.66,2.3,255178,643586948.0,10.08,26.13,23.73,23.73,23.8,3.56,2640.31,3.54
14,15,301586,佳力奇,53.32,9.64,4.69,47372,247055899.43,8.43,54.78,50.68,50.68,48.63,24.08,35.94,3.58
15,16,301517,陕西华达,52.66,9.34,4.5,35421,178742201.76,8.55,52.82,48.7,49.5,48.16,15.86,115.11,4.25
16,17,300965,*ST恒宇,31.76,8.92,2.6,10178,31854309.0,15.5,33.69,29.17,29.5,29.16,6.2,105.46,1.56
17,18,688210,统联精密,20.63,8.69,1.65,49628,98152815.0,8.69,20.65,19.0,19.19,18.98,4.63,39.82,2.7
18,19,688066,航天宏图,18.77,8.69,1.5,141049,254509038.0,8.22,18.77,17.35,17.64,17.27,5.4,-13.28,2.44
19,20,300447,全信股份,14.14,7.69,1.01,82727,114121795.06,7.08,14.18,13.25,13.25,13.13,4.11,51.76,2.17
20,21,300696,爱乐达,17.4,7.67,1.24,158776,270180892.16,6.68,17.48,16.4,16.71,16.16,8.52,-145.02,2.77
21,22,300342,天银机电,16.57,7.67,1.18,305044,487313215.59,7.28,16.62,15.5,15.6,15.39,7.3,105.6,4.65
22,23,300045,华力创通,22.18,7.57,1.56,444825,945918468.56,7.86,22.26,20.64,20.8,20.62,9.15,2600.08,8.44
23,24,300496,中科创达,60.87,7.41,4.2,300551,1696309313.15,14.47,62.1,53.9,57.0,56.67,8.21,133.91,2.95
24,25,688270,臻镭科技,29.17,7.24,1.97,71256,201590809.0,7.1,29.36,27.43,27.69,27.2,4.94,554.55,2.95
25,26,300101,振芯科技,17.47,7.11,1.16,177779,299107300.43,7.6,17.55,16.31,16.45,16.31,3.16,102.84,5.59
26,27,688597,煜邦电力,9.26,7.05,0.61,32767,29388267.0,6.94,9.28,8.68,8.89,8.65,1.33,29.53,2.86
27,28,603766,隆鑫通用,8.11,6.85,0.52,342596,269380190.0,8.04,8.13,7.52,7.63,7.59,1.67,14.13,1.93
28,29,300213,佳讯飞鸿,7.6,6.74,0.48,293889,215540015.1,7.44,7.63,7.1,7.13,7.12,5.33,84.91,2.04
29,30,688636,智明达,26.15,6.65,1.63,25578,65419269.0,6.53,26.25,24.65,24.65,24.52,2.27,864.77,2.72
30,31,600435,北方导航,10.84,6.59,0.67,378392,400529290.0,6.1,10.88,10.26,10.34,10.17,2.52,-109.73,6.26
31,32,002389,航天彩虹,17.36,6.44,1.05,298052,505191290.66,5.4,17.4,16.52,16.75,16.31,3.01,131.03,2.15
32,33,603712,七一二,17.95,6.28,1.06,183835,318856216.0,6.51,18.0,16.9,17.28,16.89,2.38,103.51,2.95
33,34,688297,中无人机,38.51,6.21,2.25,81585,307320989.0,6.15,38.66,36.43,37.04,36.26,3.0,-338.52,4.56
34,35,688070,纵横股份,32.57,6.09,1.87,16182,51454660.0,6.48,32.71,30.72,31.0,30.7,1.85,-26.9,5.16
35,36,300322,硕贝德,12.74,6.08,0.73,348038,424335174.28,8.74,12.8,11.75,11.92,12.01,7.82,956.57,5.73
36,37,000099,中信海直,17.81,6.01,1.01,450632,783430618.02,6.43,17.88,16.8,16.8,16.8,5.81,52.17,2.67
37,38,002985,北摩高科,22.33,5.93,1.25,48295,105369992.03,4.7,22.35,21.36,21.36,21.08,2.33,55.59,2.9
38,39,603660,苏州科达,6.45,5.91,0.36,216326,136608028.0,6.08,6.47,6.1,6.23,6.09,4.38,-6.26,4.54
39,40,301067,显盈科技,24.37,5.86,1.35,24974,59300701.8,5.78,24.43,23.1,23.4,23.02,4.46,-398.11,2.84
40,41,002190,成飞集成,16.56,5.68,0.89,75264,123106279.21,5.74,16.65,15.75,15.81,15.67,2.1,-111.68,1.99
41,42,002984,森麒麟,26.68,5.62,1.42,188556,491975988.16,6.61,26.87,25.2,25.51,25.26,2.7,12.75,2.27
42,43,300414,中光防雷,8.28,5.61,0.44,75475,60917508.0,6.38,8.3,7.8,7.9,7.84,2.41,533.21,2.77
43,44,301326,捷邦科技,37.59,5.59,1.99,20639,75628202.0,5.73,37.61,35.57,36.44,35.6,7.68,-240.05,2.09
44,45,001696,宗申动力,14.59,5.5,0.76,707986,1002538497.93,7.38,14.66,13.64,13.9,13.83,7.94,29.63,3.47
45,46,300466,赛摩智能,8.08,5.48,0.42,231100,181060922.8,10.18,8.25,7.47,7.5,7.66,5.5,793.02,5.28
46,47,002036,联创电子,8.89,5.46,0.46,814268,690787825.69,8.66,8.94,8.21,8.27,8.43,7.73,-73.08,3.56
47,48,688287,观典防务,4.97,5.3,0.25,74998,36665449.0,5.72,5.02,4.75,4.75,4.72,2.02,-22.39,1.97
48,49,600760,中航沈飞,47.73,5.25,2.38,274300,1294839963.0,4.83,47.96,45.77,46.0,45.35,1.0,40.64,8.36
49,50,300044,赛为智能,5.11,5.14,0.25,353712,175974645.53,5.76,5.13,4.85,4.86,4.86,4.63,-512.28,6.18
50,51,002829,星网宇达,19.67,5.13,0.96,115188,220887268.68,5.93,19.72,18.61,18.88,18.71,8.05,-124.59,2.14
