,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300875,捷强装备,35.49,11.6,3.69,98354,341630390.04,12.61,36.36,32.35,32.35,31.8,14.77,1424.76,2.83
1,2,300455,航天智装,13.98,7.7,1.0,222136,300559686.94,6.86,14.05,13.16,13.19,12.98,3.13,245.97,5.57
2,3,300527,中船应急,10.23,7.35,0.7,897448,912224937.22,19.1,10.98,9.16,9.16,9.53,9.32,-3857.01,3.9
3,4,300284,苏交科,9.43,6.92,0.61,702870,638993752.81,8.05,9.51,8.8,9.1,8.82,5.88,37.73,1.43
4,5,688628,优利德,36.74,6.31,2.18,11544,41170912.0,7.81,36.78,34.08,34.37,34.56,1.04,19.79,3.43
5,6,300201,海伦哲,4.09,6.23,0.24,253179,100246577.37,9.09,4.16,3.81,3.84,3.85,2.44,41.58,3.18
6,7,002246,北化股份,10.58,6.22,0.62,335474,351600196.82,6.43,10.81,10.17,10.26,9.96,6.11,83.79,2.01
7,8,300887,谱尼测试,8.16,5.84,0.45,154308,122469322.14,5.45,8.19,7.77,7.8,7.71,4.26,-12.99,1.35
8,9,002980,华盛昌,26.08,5.03,1.25,25643,66306991.1,5.16,26.49,25.21,25.21,24.83,3.57,23.62,3.31
9,10,301233,盛帮股份,40.25,4.46,1.72,12197,48594794.0,3.22,40.31,39.07,39.07,38.53,6.53,24.49,2.36
10,11,301092,争光股份,24.13,4.01,0.93,13868,32934790.0,5.13,24.19,23.0,23.4,23.2,3.21,30.75,1.76
11,12,002778,中晟高科,12.18,3.92,0.46,23845,28705806.8,4.86,12.27,11.7,11.74,11.72,1.93,-44.64,3.74
12,13,300185,通裕重工,2.42,3.86,0.09,726649,174676452.4,2.58,2.43,2.37,2.37,2.33,1.98,116.21,1.41
13,14,300172,中电环保,5.26,3.75,0.19,227979,118463143.54,3.75,5.27,5.08,5.11,5.07,4.35,33.94,1.91
14,15,688101,三达膜,13.85,3.28,0.44,18962,25828724.0,3.73,13.88,13.38,13.53,13.41,0.57,14.38,1.19
15,16,002584,西陇科学,7.03,3.23,0.22,188724,130771739.43,3.82,7.05,6.79,6.93,6.81,4.36,48.16,1.79
16,17,300523,辰安科技,19.03,3.2,0.59,24065,44784720.0,4.88,19.09,18.19,18.38,18.44,1.04,-18.87,3.16
17,18,300263,隆华科技,6.66,2.94,0.19,126891,82820426.24,4.33,6.68,6.4,6.49,6.47,1.7,28.56,1.94
18,19,000881,中广核技,6.95,2.81,0.19,80285,55090717.84,3.55,6.98,6.74,6.76,6.76,1.02,-37.95,1.19
19,20,301148,嘉戎技术,18.93,2.66,0.49,17558,32891632.77,3.52,19.06,18.41,18.76,18.44,4.56,44.42,1.28
20,21,300007,汉威科技,16.16,2.28,0.36,144881,227489046.44,6.33,16.22,15.22,15.77,15.8,5.12,51.27,1.86
21,22,300962,中金辐照,16.25,2.27,0.36,53765,86321423.09,4.15,16.41,15.75,15.9,15.89,2.04,33.55,4.59
22,23,003816,中国广核,4.32,2.13,0.09,1584800,681664277.9,3.78,4.36,4.2,4.24,4.23,0.4,15.34,1.89
23,24,002474,榕基软件,5.58,2.01,0.11,125192,68423856.63,4.2,5.59,5.36,5.4,5.47,2.36,-71.11,2.37
24,25,603218,日月股份,11.79,1.99,0.23,84253,97905361.0,3.2,11.82,11.45,11.75,11.56,0.82,14.41,1.19
25,26,301323,新莱福,34.79,1.84,0.63,10113,34349206.69,5.36,34.83,33.0,34.0,34.16,1.89,24.73,1.82
26,27,002366,融发核电,3.65,1.67,0.06,166067,59888042.0,3.34,3.67,3.55,3.59,3.59,1.32,2101.06,1.63
27,28,002324,普利特,8.18,1.61,0.13,91940,74146557.5,3.85,8.2,7.89,8.13,8.05,1.19,31.64,2.09
28,29,688357,建龙微纳,23.64,1.5,0.35,9701,22613136.0,3.78,23.69,22.81,23.36,23.29,0.97,25.49,1.44
29,30,601718,际华集团,2.8,1.08,0.03,371233,103577301.0,2.17,2.82,2.76,2.79,2.77,0.85,-326.54,0.73
30,31,002310,*ST东园,1.34,-0.74,-0.01,742483,100753618.91,4.44,1.39,1.33,1.36,1.35,2.77,-1.58,-2.7
