,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300489,光智科技,27.34,20.02,4.56,4701.0,12851987.2,0.0,27.34,27.34,27.34,22.78,0.34,-53.15,6.58
1,2,600622,光大嘉宝,2.93,10.15,0.27,180942.0,53016132.0,0.0,2.93,2.93,2.93,2.66,1.21,-9.93,0.92
2,3,002130,沃尔核材,15.68,10.04,1.43,1807582.0,2755764700.12,10.95,15.68,14.12,14.35,14.25,14.47,23.55,3.88
3,4,600550,保变电气,9.92,9.98,0.9,1793260.0,1733460453.0,11.2,9.92,8.91,8.96,9.02,9.74,400.87,34.55
4,5,600501,航天晨光,17.84,8.45,1.39,295323.0,516029742.0,7.36,17.88,16.67,16.81,16.45,6.96,-31.24,3.59
5,6,688676,金盘科技,34.25,8.18,2.59,150444.0,500779715.0,8.75,34.58,31.81,31.99,31.66,3.29,35.21,3.74
6,7,300527,中船应急,10.22,7.24,0.69,897656.0,912437559.22,19.1,10.98,9.16,9.16,9.53,9.32,-3853.24,3.9
7,8,600869,远东股份,4.4,6.8,0.28,337417.0,142556247.0,8.01,4.42,4.09,4.13,4.12,1.52,-37.63,2.2
8,9,300411,金盾股份,12.19,6.28,0.72,201774.0,239623578.0,5.49,12.21,11.58,11.58,11.47,6.59,192.55,5.23
9,10,833781,瑞奇智造,5.1,6.25,0.3,34944.0,17392506.21,7.92,5.14,4.76,4.85,4.8,3.77,26.99,1.79
10,11,873576,天力复合,19.68,5.98,1.11,12313.0,23927994.75,8.4,20.13,18.57,18.57,18.57,1.15,27.25,4.87
11,12,831689,克莱特,12.59,5.89,0.7,6757.0,8148331.71,10.01,12.79,11.6,11.6,11.89,1.94,15.21,2.09
12,13,601369,陕鼓动力,8.68,5.85,0.48,186664.0,157357469.0,6.1,8.72,8.22,8.3,8.2,1.1,16.34,1.75
13,14,301548,崇德科技,51.67,5.71,2.79,11704.0,59460662.9,6.01,51.98,49.04,50.0,48.88,4.94,35.66,3.13
14,15,871396,常辅股份,11.73,5.68,0.63,5001.0,5755197.15,6.22,11.76,11.07,11.48,11.1,1.19,23.55,2.34
15,16,836208,青矩技术,22.41,5.36,1.14,5106.0,11231101.7,6.16,22.7,21.39,21.8,21.27,0.92,16.48,2.44
16,17,600021,上海电力,9.38,5.16,0.46,751149.0,696717000.0,3.81,9.45,9.11,9.2,8.92,2.87,9.95,1.4
17,18,301137,哈焊华通,18.73,5.05,0.9,37367.0,68215944.0,6.67,18.8,17.61,17.61,17.83,3.67,119.23,2.56
18,19,603699,纽威股份,21.99,4.96,1.04,44299.0,94402185.0,6.35,22.04,20.71,21.0,20.95,0.59,17.14,4.32
19,20,600416,湘电股份,11.92,4.75,0.54,199628.0,231984528.0,5.27,11.94,11.34,11.44,11.38,1.51,47.36,2.13
20,21,002724,海洋王,5.08,4.74,0.23,64243.0,31830340.22,4.54,5.08,4.86,4.88,4.85,1.12,45.4,1.41
21,22,601611,中国核建,8.57,4.64,0.38,388182.0,328255914.0,4.03,8.59,8.26,8.26,8.19,1.29,13.51,1.32
22,23,688565,力源科技,5.48,4.58,0.24,14322.0,7698647.0,4.96,5.5,5.24,5.31,5.24,0.96,-46.35,1.72
23,24,001379,腾达科技,22.07,4.5,0.95,67154.0,144662879.95,5.26,22.09,20.98,21.18,21.12,13.43,55.23,3.08
24,25,873703,广厦环能,21.75,4.42,0.92,10545.0,22322578.84,6.67,21.87,20.48,20.83,20.83,3.2,12.3,2.29
25,26,603308,应流股份,12.3,4.41,0.52,94134.0,113158881.0,4.58,12.32,11.78,11.99,11.78,1.39,27.49,1.83
26,27,301018,申菱环境,23.44,4.41,0.99,38898.0,88260268.3,7.57,23.55,21.85,22.62,22.45,1.95,28.18,2.47
27,28,001332,锡装股份,30.71,4.38,1.29,11380.0,34441797.65,4.59,30.95,29.6,29.65,29.42,4.21,13.46,1.5
28,29,301082,久盛电气,9.78,4.38,0.41,43044.0,41141718.42,5.76,9.82,9.28,9.42,9.37,4.53,71.25,2.06
