,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300875,捷强装备,35.48,11.57,3.68,98344,341594900.04,12.61,36.36,32.35,32.35,31.8,14.76,1424.36,2.83
1,2,300862,蓝盾光电,27.42,9.29,2.33,114148,307726243.72,14.31,29.08,25.49,25.49,25.09,7.54,1282.5,2.53
2,3,300203,聚光科技,16.6,5.8,0.91,247828,401917718.0,10.9,17.11,15.4,16.95,15.69,5.53,81.76,2.52
3,4,300165,天瑞仪器,3.34,4.05,0.13,172700,56536075.2,4.98,3.36,3.2,3.23,3.21,4.11,-55.58,1.21
4,5,002332,仙琚制药,13.04,3.82,0.48,99778,127228240.0,5.25,13.07,12.41,12.65,12.56,1.01,18.98,2.23
5,6,002658,雪迪龙,6.3,3.79,0.23,55290,34407213.08,2.8,6.3,6.13,6.15,6.07,1.54,40.56,1.63
6,7,002322,理工能科,14.81,3.71,0.53,92089,133592167.0,4.83,14.84,14.15,14.24,14.28,2.52,19.7,1.97
7,8,688600,皖仪科技,16.01,3.29,0.51,8617,13612684.0,8.45,16.19,14.88,15.66,15.5,0.64,-37.36,2.86
8,9,688622,禾信仪器,22.36,2.66,0.58,2957,6483509.0,4.5,22.38,21.4,22.37,21.78,0.42,-35.47,3.78
9,10,300137,先河环保,5.24,2.34,0.12,79889,41360874.69,4.1,5.29,5.08,5.24,5.12,1.51,75.29,1.56
10,11,000725,京东方Ａ,4.26,1.67,0.07,4479862,1889173539.65,2.86,4.28,4.16,4.21,4.19,1.22,35.11,1.25
