,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300355,蒙草生态,5.34,20.0,0.89,5517154,2898693112.06,8.09,5.34,4.98,5.34,4.45,40.39,169.42,1.97
1,2,300715,凯伦股份,8.01,11.4,0.82,55610,42643004.6,11.96,8.08,7.22,7.29,7.19,1.63,198.56,1.33
2,3,300737,科顺股份,5.78,10.94,0.57,311862,170891148.68,10.36,5.81,5.27,5.32,5.21,3.62,34.51,1.27
3,4,002686,亿利达,5.69,10.06,0.52,278128,156863545.21,4.64,5.69,5.45,5.68,5.17,5.32,47.61,1.97
4,5,002271,东方雨虹,14.08,9.91,1.27,1069175,1442913544.98,9.06,14.09,12.93,13.21,12.81,5.53,18.18,1.32
5,6,002717,岭南股份,2.02,8.02,0.15,2152618,420297320.31,8.56,2.05,1.89,1.89,1.87,13.99,-6.84,1.84
6,7,301151,冠龙节能,16.86,8.01,1.25,76070,124108521.45,8.9,16.96,15.57,15.67,15.61,13.94,111.83,1.41
7,8,300527,中船应急,10.24,7.45,0.71,897108,911876990.22,19.1,10.98,9.16,9.16,9.53,9.31,-3860.78,3.9
8,9,300101,振芯科技,17.48,7.17,1.17,177401,298447500.43,7.6,17.55,16.31,16.45,16.31,3.15,102.9,5.59
9,10,600869,远东股份,4.41,7.04,0.29,337211,142465581.0,8.01,4.42,4.09,4.13,4.12,1.52,-37.72,2.21
10,11,002205,国统股份,8.26,6.99,0.54,105576,84923047.78,8.42,8.44,7.79,7.8,7.72,5.68,-16.56,2.62
11,12,300284,苏交科,9.42,6.8,0.6,702555,638696808.81,8.05,9.51,8.8,9.1,8.82,5.88,37.69,1.43
12,13,002941,新疆交建,11.69,6.18,0.68,283541,322681513.87,6.72,11.75,11.01,11.36,11.01,4.43,52.6,2.37
13,14,301079,邵阳液压,15.93,6.13,0.92,76271,119171732.74,5.73,15.96,15.1,15.1,15.01,13.53,83.65,3.55
14,15,600502,安徽建工,5.11,6.02,0.29,702224,351220751.0,5.6,5.15,4.88,4.98,4.82,4.09,7.16,0.87
15,16,000401,冀东水泥,5.41,5.87,0.3,197780,105309614.33,3.91,5.42,5.22,5.3,5.11,1.28,-8.92,0.52
16,17,002368,太极股份,21.52,5.7,1.16,289647,605628833.96,7.27,21.66,20.18,20.4,20.36,4.67,-42.22,2.68
17,18,600343,航天动力,9.53,5.65,0.51,104952,97989246.0,4.88,9.55,9.11,9.15,9.02,1.64,-53.42,3.82
18,19,836208,青矩技术,22.41,5.36,1.14,5105,11227224.77,6.16,22.7,21.39,21.8,21.27,0.92,16.48,2.44
19,20,688159,有方科技,31.17,5.3,1.57,20722,62308064.0,6.96,31.17,29.11,29.69,29.6,2.26,17.57,3.45
20,21,603843,正平股份,2.81,5.24,0.14,173862,48452021.0,6.37,2.87,2.7,2.78,2.67,2.49,-12.54,2.19
21,22,002642,荣联科技,7.13,5.01,0.34,271530,188004512.54,6.63,7.17,6.72,6.79,6.79,4.49,203.5,4.09
22,23,002431,棕榈股份,1.9,4.97,0.09,278229,52488268.13,5.52,1.94,1.84,1.88,1.81,1.56,-4.74,1.2
23,24,830879,基康仪器,9.78,4.94,0.46,3464,3294090.34,6.22,9.86,9.28,9.43,9.32,0.3,24.11,2.55
24,25,300371,汇中股份,9.72,4.85,0.45,43659,41641142.6,4.64,9.75,9.32,9.44,9.27,3.22,47.7,1.82
25,26,300490,华自科技,8.1,4.79,0.37,159869,127522034.76,6.99,8.2,7.66,7.8,7.73,4.09,-44.31,1.17
26,27,603316,诚邦股份,5.81,4.68,0.26,141671,81988090.0,7.03,5.96,5.57,5.64,5.55,5.36,-144.35,2.07
27,28,601611,中国核建,8.57,4.64,0.38,387825,327950040.0,4.03,8.59,8.26,8.26,8.19,1.29,13.51,1.32
28,29,002151,北斗星通,27.8,4.51,1.2,114519,311357608.6,4.89,27.85,26.55,26.75,26.6,2.59,-171.84,2.77
29,30,001379,腾达科技,22.06,4.45,0.94,67050,144433387.95,5.26,22.09,20.98,21.18,21.12,13.41,55.21,3.08
30,31,300248,新开普,8.91,4.33,0.37,103424,89689632.16,5.62,8.95,8.47,8.58,8.54,2.53,-109.82,2.08
31,32,002583,海能达,8.7,4.32,0.36,3489078,3044305296.27,18.82,9.17,7.6,9.17,8.34,27.21,48.71,2.63
32,33,300665,飞鹿股份,6.1,4.27,0.25,66840,40363600.0,6.15,6.23,5.87,5.93,5.85,4.44,-12.11,2.39
33,34,300021,大禹节水,3.91,4.27,0.16,152310,58724513.18,4.53,3.94,3.77,3.82,3.75,2.17,88.49,1.8
34,35,300635,中达安,10.81,4.24,0.44,75608,80249366.16,5.5,10.88,10.31,10.5,10.37,6.3,159.53,3.44
35,36,000885,城发环境,12.63,4.21,0.51,50579,63366652.6,2.97,12.68,12.32,12.56,12.12,0.79,8.27,1.04
36,37,300800,力合科技,10.52,4.06,0.41,23240,23895959.0,5.34,10.57,10.03,10.18,10.11,0.99,94.3,1.24
37,38,002149,西部材料,14.78,4.01,0.57,115557,169013706.92,4.71,14.89,14.22,14.27,14.21,2.37,37.74,2.44
38,39,002111,威海广泰,10.71,3.98,0.41,94117,99121090.52,3.79,10.75,10.36,10.4,10.3,1.98,26.49,1.87
39,40,300177,中海达,11.0,3.97,0.42,924970,967983248.78,9.64,11.03,10.01,10.14,10.58,15.26,-111.0,5.0
40,41,601800,中国交建,10.91,3.9,0.41,2051173,2228340500.0,9.05,11.2,10.25,10.4,10.5,1.75,7.79,0.65
41,42,300370,安控科技,2.48,3.77,0.09,371602,89608534.54,5.02,2.48,2.36,2.4,2.39,2.8,-57.5,6.62
42,43,002114,罗平锌电,5.53,3.75,0.2,101081,55309070.0,3.56,5.55,5.36,5.4,5.33,3.13,374.78,1.73
43,44,300599,雄塑科技,6.16,3.53,0.21,45732,27735182.0,4.87,6.19,5.9,5.99,5.95,2.16,-31.12,1.05
44,45,600710,苏美达,8.89,3.49,0.3,156888,137620249.0,4.07,8.95,8.6,8.7,8.59,1.2,10.18,1.67
45,46,002060,广东建工,3.86,3.49,0.13,222384,84699829.9,3.75,3.87,3.73,3.79,3.73,1.42,15.83,1.12
46,47,603109,神驰机电,13.77,3.38,0.45,18642,25232030.0,4.35,13.78,13.2,13.33,13.32,0.9,24.45,1.6
47,48,601789,宁波建工,4.02,3.34,0.13,192841,76558461.0,3.6,4.04,3.9,3.97,3.89,1.77,15.18,1.01
48,49,002266,浙富控股,3.27,3.15,0.1,281693,90563352.5,3.79,3.28,3.16,3.2,3.17,0.58,17.61,1.56
49,50,000533,顺钠股份,3.61,3.14,0.11,113031,40153433.3,4.57,3.63,3.47,3.53,3.5,1.65,40.23,3.09
50,51,000779,甘咨询,8.16,3.03,0.24,101523,82004807.27,3.03,8.16,7.92,8.03,7.92,2.18,15.0,1.01
51,52,600736,苏州高新,4.77,3.02,0.14,229976,109061202.0,3.89,4.84,4.66,4.8,4.63,2.0,19.26,0.74
52,53,002131,利欧股份,1.74,2.96,0.05,790304,134664587.11,4.14,1.74,1.67,1.69,1.69,1.35,-7.92,0.92
53,54,603018,华设集团,7.73,2.93,0.22,86103,65480821.0,3.86,7.75,7.46,7.65,7.51,1.27,17.17,1.08
54,55,300667,必创科技,17.55,2.87,0.49,60699,103565605.25,5.8,17.63,16.64,17.18,17.06,3.52,705.47,2.8
55,56,603357,设计总院,9.01,2.85,0.25,70287,62570911.0,2.97,9.03,8.77,8.8,8.76,1.28,10.81,1.45
56,57,002383,合众思壮,7.43,2.77,0.2,184826,135799962.32,3.18,7.45,7.22,7.23,7.23,3.0,-47.63,2.99
57,58,002051,中工国际,8.25,2.74,0.22,168026,136904409.25,3.49,8.27,7.99,8.11,8.03,1.36,18.78,0.9
58,59,002065,东华软件,5.72,2.69,0.15,495269,275359251.8,5.39,5.73,5.43,5.59,5.57,1.7,31.67,1.56
59,60,003013,地铁设计,13.88,2.59,0.35,18493,25352950.0,3.1,13.92,13.5,13.68,13.53,0.46,13.69,2.31
60,61,002398,垒知集团,3.97,2.58,0.1,67083,26380116.98,2.84,3.98,3.87,3.89,3.87,1.16,19.14,0.78
61,62,601390,中国中铁,6.76,2.58,0.17,2264919,1528585158.0,4.4,6.89,6.6,6.68,6.59,1.11,5.86,0.58
62,63,002061,浙江交科,4.12,2.49,0.1,425186,174242159.26,3.23,4.16,4.03,4.13,4.02,1.64,10.46,0.74
63,64,002586,*ST围海,1.65,2.48,0.04,68573,11298404.0,4.35,1.69,1.62,1.63,1.61,0.76,-18.47,0.62
64,65,002893,京能热力,9.55,2.47,0.23,53656,50944022.74,3.11,9.62,9.33,9.33,9.32,2.65,10.97,2.03
65,66,301390,经纬股份,30.34,2.47,0.73,6997,20969227.0,4.05,30.51,29.31,29.61,29.61,2.41,68.09,1.94
66,67,601199,江南水务,5.6,2.38,0.13,84010,46782098.0,2.74,5.64,5.49,5.55,5.47,0.9,15.43,1.38
67,68,300365,恒华科技,6.04,2.37,0.14,155413,91561221.0,4.92,6.05,5.76,5.9,5.9,3.21,286.94,1.83
68,69,601669,中国电建,5.67,2.35,0.13,1778727,1004468434.0,3.25,5.75,5.57,5.65,5.54,1.36,7.7,0.72
69,70,002226,江南化工,4.43,2.31,0.1,190197,82936982.18,3.7,4.44,4.28,4.36,4.33,0.72,14.04,1.3
70,71,000065,北方国际,10.35,2.27,0.23,126894,129112105.84,3.95,10.37,9.97,10.12,10.12,1.4,9.62,1.18
71,72,600491,龙元建设,3.27,2.19,0.07,377735,123020564.0,5.94,3.37,3.18,3.32,3.2,2.47,-12.32,0.47
72,73,300018,中元股份,6.08,2.18,0.13,96692,57837406.76,4.2,6.11,5.86,5.93,5.95,2.54,44.71,2.36
73,74,600629,华建集团,5.17,2.17,0.11,153283,78549713.0,2.96,5.2,5.05,5.17,5.06,1.62,13.39,1.0
74,75,000722,湖南发展,9.47,2.16,0.2,60561,56879762.93,2.27,9.5,9.29,9.3,9.27,1.3,47.12,1.43
75,76,002457,青龙管业,11.98,2.13,0.25,614329,734881224.29,9.8,12.55,11.4,11.73,11.73,18.43,27.83,1.73
76,77,000791,甘肃能源,6.26,2.12,0.13,160695,99793027.69,2.94,6.3,6.12,6.18,6.13,1.0,17.47,1.14
77,78,300838,浙江力诺,11.61,2.11,0.24,12411,14163856.0,3.96,11.62,11.17,11.41,11.37,1.22,35.31,1.6
78,79,300145,中金环境,2.94,2.08,0.06,469637,136796090.32,6.94,3.04,2.84,2.94,2.88,2.48,17.21,2.22
