,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000826,启迪环境,2.02,9.78,0.18,594286,117165335.6,5.98,2.02,1.91,1.96,1.84,4.17,-6.57,0.72
1,2,301026,浩通科技,30.71,5.79,1.68,16164,48428638.44,5.58,30.74,29.12,29.12,29.03,2.21,22.65,2.38
2,3,838030,德众汽车,4.54,4.61,0.2,57628,25359724.47,7.6,4.56,4.23,4.23,4.34,5.9,178.5,1.74
3,4,002672,东江环保,4.24,3.92,0.16,56543,23654036.07,3.68,4.26,4.11,4.16,4.08,0.67,-9.1,1.13
4,5,600386,北巴传媒,3.81,3.53,0.13,131184,49156689.0,3.8,3.82,3.68,3.76,3.68,1.63,151.37,1.73
5,6,600704,物产中大,5.02,3.51,0.17,938559,465100774.0,5.15,5.1,4.85,5.05,4.85,1.82,8.28,0.73
6,7,002009,天奇股份,12.03,3.44,0.4,105335,123425933.12,6.19,12.11,11.39,11.61,11.63,2.63,-30.82,2.33
7,8,301049,超越科技,24.78,3.29,0.79,27511,66781422.72,5.96,24.88,23.45,23.91,23.99,2.92,-60.18,3.18
8,9,002645,华宏科技,7.33,2.81,0.2,60705,43632172.0,4.49,7.35,7.03,7.2,7.13,1.19,958.3,1.19
9,10,301265,华新环保,9.15,2.69,0.24,18889,17106160.82,3.37,9.19,8.89,9.13,8.91,1.11,62.28,1.36
10,11,600126,杭钢股份,4.09,2.25,0.09,213651,86138378.0,3.5,4.1,3.96,4.0,4.0,0.63,-189.54,0.69
11,12,601388,怡球资源,2.49,2.05,0.05,224448,55422796.0,2.87,2.5,2.43,2.45,2.44,1.02,39.99,1.28
12,13,600217,中再资环,5.43,1.88,0.1,240166,129294157.0,4.5,5.5,5.26,5.4,5.33,1.73,27.75,2.47
13,14,600548,深高速,10.16,1.6,0.16,48415,48760976.0,2.7,10.2,9.93,10.07,10.0,0.34,14.32,1.25
14,15,600676,交运股份,3.65,1.39,0.05,103664,37347016.0,3.89,3.67,3.53,3.6,3.6,1.01,-14.35,0.69
15,16,002340,格林美,6.77,1.35,0.09,801323,536937424.61,2.69,6.79,6.61,6.67,6.68,1.57,24.76,1.78
16,17,601238,广汽集团,8.24,0.37,0.03,261437,212998974.0,3.05,8.29,8.04,8.2,8.21,0.36,28.15,0.73
17,18,002310,*ST东园,1.34,-0.74,-0.01,742483,100753618.91,4.44,1.39,1.33,1.36,1.35,2.77,-1.58,-2.7
