,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300337,银邦股份,17.11,19.99,2.85,1395688,2182236011.75,20.13,17.11,14.24,14.44,14.26,19.62,84.59,8.26
1,2,300810,中科海讯,21.96,17.5,3.27,158795,346540561.05,18.35,22.43,19.0,19.0,18.69,13.93,-22.46,3.3
2,3,300922,天秦装备,16.18,13.38,1.91,151149,240190854.78,11.42,16.33,14.7,14.7,14.27,13.13,79.71,2.93
3,4,300008,天海防务,5.03,8.17,0.38,1493804,746846540.18,9.68,5.25,4.8,4.83,4.65,9.07,71.56,4.33
4,5,300589,江龙船艇,13.22,6.27,0.78,148759,194837557.91,4.74,13.34,12.75,12.75,12.44,6.42,120.78,6.0
5,6,873570,坤博精工,27.27,5.94,1.53,9030,23822333.9,6.72,27.39,25.66,25.69,25.74,6.46,46.66,3.62
6,7,831689,克莱特,12.59,5.89,0.7,6757,8148331.71,10.01,12.79,11.6,11.6,11.89,1.94,15.21,2.09
7,8,300930,屹通新材,23.44,5.63,1.25,25316,57773769.0,5.23,23.44,22.28,22.45,22.19,5.37,41.74,2.73
8,9,002829,星网宇达,19.68,5.18,0.97,114956,220430913.68,5.93,19.72,18.61,18.88,18.71,8.03,-124.65,2.14
9,10,603131,上海沪工,15.32,5.0,0.73,148727,224195718.0,5.14,15.32,14.57,14.79,14.59,4.68,62.09,3.96
10,11,688187,时代电气,54.05,4.63,2.39,47121,247328024.0,6.68,54.25,50.8,52.25,51.66,1.69,25.32,1.93
11,12,000547,航天发展,7.61,4.39,0.32,311335,233126795.19,4.25,7.64,7.33,7.43,7.29,1.96,-16.73,1.87
12,13,300402,宝色股份,14.63,4.28,0.6,36246,52041037.0,4.49,14.68,14.05,14.13,14.03,1.49,46.76,2.49
13,14,300800,力合科技,10.52,4.06,0.41,23441,24107216.0,5.34,10.57,10.03,10.18,10.11,1.0,94.3,1.24
14,15,601800,中国交建,10.92,4.0,0.42,2053728,2231128534.0,9.05,11.2,10.25,10.4,10.5,1.75,7.8,0.65
