,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300355,蒙草生态,5.34,20.0,0.89,5542369,2912157986.14,8.09,5.34,4.98,5.34,4.45,40.57,169.42,1.97
1,2,300425,中建环能,5.87,14.42,0.74,1000631,552420090.76,14.04,5.96,5.24,5.29,5.13,14.76,78.45,1.73
2,3,300197,节能铁汉,2.0,11.73,0.21,2603184,526036793.69,13.41,2.15,1.91,1.94,1.79,8.78,-7.22,1.51
3,4,600326,西藏天路,6.56,10.07,0.6,2076897,1313880550.0,11.24,6.56,5.89,5.89,5.96,15.95,-63.55,2.27
4,5,300564,筑博设计,11.75,9.4,1.01,134906,158558496.92,22.53,12.89,10.47,10.94,10.74,11.92,-31.56,1.53
5,6,002271,东方雨虹,13.77,7.49,0.96,1243169,1685507219.16,9.06,14.09,12.93,13.21,12.81,6.43,17.78,1.3
6,7,301027,华蓝集团,9.74,7.39,0.67,134830,130156304.3,7.94,9.98,9.26,9.38,9.07,11.41,-34.86,1.53
7,8,300203,聚光科技,16.73,6.63,1.04,297193,484543553.0,10.9,17.11,15.4,16.95,15.69,6.63,82.4,2.54
8,9,603018,华设集团,7.95,5.86,0.44,131857,101079815.0,6.79,7.97,7.46,7.65,7.51,1.95,17.66,1.11
9,10,300284,苏交科,9.33,5.78,0.51,819519,748171971.13,8.05,9.51,8.8,9.1,8.82,6.86,37.33,1.42
10,11,600502,安徽建工,5.09,5.6,0.27,835949,419427324.0,5.6,5.15,4.88,4.98,4.82,4.87,7.13,0.87
11,12,002457,青龙管业,12.35,5.29,0.62,713236,853506453.38,9.8,12.55,11.4,11.73,11.73,21.4,28.69,1.79
12,13,603007,*ST花王,7.59,4.98,0.36,155880,116543057.0,4.84,7.59,7.24,7.24,7.23,3.83,-24.61,8.09
13,14,300989,蕾奥规划,13.2,4.51,0.57,83896,109708988.25,5.23,13.37,12.71,12.82,12.63,8.76,562.02,2.67
14,15,300422,博世科,4.73,4.42,0.2,141520,67069251.51,5.08,4.85,4.62,4.68,4.53,3.39,48.02,1.2
15,16,000068,华控赛格,3.28,3.14,0.1,228976,74816855.56,4.72,3.35,3.2,3.21,3.18,2.27,-29.7,5.13
16,17,002658,雪迪龙,6.26,3.13,0.19,63682,39667526.33,2.8,6.3,6.13,6.15,6.07,1.78,40.3,1.62
17,18,002586,*ST围海,1.66,3.11,0.05,71621,11803195.0,4.35,1.69,1.62,1.63,1.61,0.8,-18.58,0.63
18,19,600168,武汉控股,4.39,3.05,0.13,186371,82471327.0,6.1,4.56,4.3,4.4,4.26,1.88,26.83,0.83
19,20,300778,新城市,12.02,3.0,0.35,96906,115534320.94,7.37,12.3,11.44,11.76,11.67,4.76,-10.86,1.83
20,21,002596,海南瑞泽,2.32,2.65,0.06,1037208,244748145.55,8.85,2.47,2.27,2.37,2.26,10.14,-27.59,2.82
21,22,002062,宏润建设,3.94,2.6,0.1,99087,39172719.98,3.39,3.99,3.86,3.92,3.84,1.0,11.6,0.99
22,23,600512,腾达建设,2.27,2.25,0.05,235059,53127527.0,3.15,2.29,2.22,2.25,2.22,1.48,16.67,0.58
23,24,600008,首创环保,3.21,2.23,0.07,1239729,397752025.0,2.87,3.25,3.16,3.2,3.14,1.69,12.86,1.23
24,25,002694,顾地科技,3.74,1.91,0.07,55494,20756060.1,4.09,3.8,3.65,3.68,3.67,1.0,-35.52,5.47
25,26,601158,重庆水务,4.88,1.88,0.09,217488,106674456.0,3.13,4.97,4.82,4.92,4.79,0.45,28.15,1.41
26,27,300075,数字政通,17.06,1.37,0.23,230161,390508842.32,5.59,17.4,16.46,17.27,16.83,4.47,73.63,2.64
27,28,002131,利欧股份,1.71,1.18,0.02,929265,158587818.51,4.14,1.74,1.67,1.69,1.69,1.59,-7.78,0.91
28,29,601368,绿城水务,4.62,1.09,0.05,71143,32925574.0,2.19,4.67,4.57,4.61,4.57,0.81,30.07,0.86
29,30,002775,文科股份,2.98,1.02,0.03,159716,48080415.04,4.41,3.08,2.95,3.0,2.95,3.56,101.88,8.26
30,31,002372,伟星新材,13.87,0.95,0.13,222402,306257877.21,5.46,14.09,13.34,13.89,13.74,1.51,32.49,4.77
31,32,300198,纳川股份,2.1,0.48,0.01,720964,151739810.2,4.78,2.15,2.05,2.09,2.09,7.04,-28.05,3.02
32,33,002310,*ST东园,1.35,0.0,0.0,814024,110387692.91,4.44,1.39,1.33,1.36,1.35,3.03,-1.59,-2.72
33,34,300844,山水比德,31.46,-0.47,-0.15,30809,96647320.66,6.96,32.3,30.1,31.75,31.61,13.68,83.41,2.71
34,35,002443,金洲管道,6.59,-3.65,-0.25,365505,241739750.69,8.19,6.89,6.33,6.84,6.84,7.04,17.1,1.0
35,36,301038,深水规院,20.76,-3.8,-0.82,98206,202285231.47,11.58,22.08,19.58,21.6,21.58,5.72,39.33,4.02
