,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600322,津投城开,2.29,10.1,0.21,1951497,442854615.0,6.25,2.29,2.16,2.29,2.08,17.65,-6.26,85.17
1,2,000652,泰达股份,4.2,9.95,0.38,799811,325999889.27,6.81,4.2,3.94,4.07,3.82,5.42,31.3,1.09
2,3,600225,卓朗科技,3.23,9.86,0.29,1542842,485119551.0,7.82,3.23,3.0,3.0,2.94,4.53,-46.64,6.0
3,4,002134,天津普林,11.69,5.6,0.62,245222,281703844.52,5.87,11.78,11.13,11.13,11.07,9.97,69.47,6.18
4,5,000415,渤海租赁,2.9,4.69,0.13,1094284,310301606.48,4.69,2.91,2.78,2.8,2.77,2.03,12.52,0.58
5,6,600082,海泰发展,2.53,4.55,0.11,136695,34323398.0,3.31,2.55,2.47,2.5,2.42,2.15,-26.67,0.94
6,7,000897,津滨发展,2.44,4.27,0.1,451487,108935790.89,3.42,2.45,2.37,2.42,2.34,2.79,5.95,1.3
7,8,600800,渤海化学,2.39,3.46,0.08,58977,13873252.0,3.46,2.39,2.31,2.38,2.31,0.53,-4.2,1.28
8,9,000965,天保基建,3.16,2.93,0.09,365725,114886952.79,3.58,3.2,3.09,3.16,3.07,3.3,327.68,0.65
9,10,002129,TCL中环,9.61,2.78,0.26,593687,560034675.96,4.17,9.65,9.26,9.36,9.35,1.47,-6.34,1.04
10,11,002337,赛象科技,4.35,2.35,0.1,80898,34746447.5,4.0,4.37,4.2,4.34,4.25,1.38,40.24,2.04
11,12,600874,创业环保,5.74,2.32,0.13,146241,84218894.0,5.88,5.95,5.62,5.9,5.61,1.19,10.68,0.97
12,13,600335,国机汽车,6.4,2.07,0.13,177194,111036221.0,4.47,6.41,6.13,6.27,6.27,1.18,19.28,0.86
13,14,300375,鹏翎股份,4.77,1.92,0.09,176103,82609186.25,4.06,4.79,4.6,4.7,4.68,3.49,28.1,1.59
14,15,000695,滨海能源,9.32,1.75,0.16,23658,22057562.0,2.95,9.43,9.16,9.27,9.16,1.07,653.69,11.15
15,16,300026,红日药业,3.87,1.31,0.05,564316,213999715.81,4.71,3.88,3.7,3.82,3.82,2.1,39.22,1.33
16,17,600751,海航科技,2.47,1.23,0.03,167115,40866066.0,2.87,2.48,2.41,2.45,2.44,0.65,38.12,0.96
17,18,600488,津药药业,4.2,1.2,0.05,51029,21227400.0,3.13,4.23,4.1,4.14,4.15,0.47,16.18,1.53
18,19,600329,达仁堂,35.1,1.18,0.41,51875,178940300.0,3.92,35.16,33.8,35.02,34.69,0.92,20.55,4.31
19,20,600787,中储股份,5.19,0.58,0.03,199007,102497697.0,2.52,5.21,5.08,5.19,5.16,0.92,14.95,0.82
20,21,600821,金开新能,5.67,0.35,0.02,146144,82051698.0,3.19,5.72,5.54,5.68,5.65,0.73,11.62,1.24
21,22,000537,中绿电,9.12,0.22,0.02,120533,109117467.0,3.74,9.29,8.95,9.11,9.1,0.65,20.28,0.99
