,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300120,经纬辉开,7.63,19.97,1.27,263697,201200864.41,0.0,7.63,7.63,7.63,6.36,4.97,45.48,1.46
1,2,300341,麦克奥迪,14.12,11.89,1.5,223421,299599186.02,15.77,14.36,12.37,12.71,12.62,4.34,47.15,4.21
2,3,603016,新宏泰,27.28,10.0,2.48,99119,257358686.0,10.48,27.28,24.68,25.61,24.8,6.69,53.69,4.97
3,4,600550,保变电气,9.92,9.98,0.9,1793393,1733592389.0,11.2,9.92,8.91,8.96,9.02,9.74,400.87,34.55
4,5,002272,川润股份,5.98,9.93,0.54,966083,564621097.27,11.21,5.98,5.37,5.47,5.44,25.45,-25.62,1.82
5,6,688597,煜邦电力,9.26,7.05,0.61,32767,29388267.0,6.94,9.28,8.68,8.89,8.65,1.33,29.53,2.86
6,7,600869,远东股份,4.41,7.04,0.29,337702,142681897.0,8.01,4.42,4.09,4.13,4.12,1.52,-37.72,2.21
7,8,603530,神马电力,24.78,6.81,1.58,80179,191717971.0,9.96,24.86,22.55,22.86,23.2,1.87,37.96,6.69
8,9,002459,晶澳科技,13.74,6.43,0.83,996483,1345451827.07,7.05,13.8,12.89,12.93,12.91,3.01,-26.01,1.42
9,10,000159,国际实业,6.73,6.32,0.4,177201,116228223.18,9.48,6.88,6.28,6.32,6.33,3.69,76.51,1.31
10,11,601700,风范股份,4.41,6.01,0.25,228951,99705194.0,4.81,4.45,4.25,4.45,4.16,2.0,30.96,1.88
11,12,300099,尤洛卡,5.92,5.9,0.33,160616,92534532.37,6.08,5.94,5.6,5.64,5.59,2.76,62.99,1.84
12,13,002606,大连电瓷,10.78,5.17,0.53,212522,225781822.0,6.05,10.87,10.25,10.4,10.25,5.05,29.94,2.94
13,14,301023,江南奕帆,41.75,4.79,1.91,10444,42510396.5,5.65,41.75,39.5,39.81,39.84,3.43,27.14,2.95
14,15,688191,智洋创新,17.29,4.41,0.73,9875,16573250.0,5.62,17.31,16.38,16.64,16.56,0.64,52.37,3.06
15,16,301041,金百泽,25.1,4.24,1.02,30875,75329876.35,6.06,25.15,23.69,24.3,24.08,3.91,82.71,4.0
16,17,300069,金利华电,13.63,4.05,0.53,24440,32871834.0,5.19,13.74,13.06,13.61,13.1,2.09,141.67,6.41
17,18,001216,华瓷股份,12.95,4.02,0.5,34956,44450111.0,4.58,12.97,12.4,12.56,12.45,5.55,16.55,2.01
18,19,300215,电科院,5.55,3.93,0.21,113839,61964971.6,4.12,5.55,5.33,5.34,5.34,2.02,486.6,2.11
19,20,300831,派瑞股份,15.38,3.92,0.58,128613,192046597.0,7.09,15.48,14.43,14.93,14.8,6.97,52.61,5.43
20,21,600879,航天电子,8.39,3.84,0.31,574904,475525413.0,3.47,8.41,8.13,8.15,8.08,1.78,55.48,1.35
21,22,300830,金现代,7.36,3.81,0.27,94345,67506033.0,5.92,7.4,6.98,7.1,7.09,3.0,-62.14,2.72
22,23,300140,节能环境,6.3,3.79,0.23,178315,110089287.24,4.61,6.32,6.04,6.17,6.07,1.75,22.32,1.43
23,24,001208,华菱线缆,9.14,3.75,0.33,84200,75672063.3,3.97,9.16,8.81,8.81,8.81,3.39,40.19,3.11
24,25,834682,球冠电缆,5.89,3.7,0.21,34210,19760735.96,5.28,5.92,5.62,5.62,5.68,3.29,13.62,1.53
25,26,000586,汇源通信,8.34,3.6,0.29,52987,43452839.0,3.85,8.36,8.05,8.18,8.05,2.74,-136.11,4.93
26,27,688681,科汇股份,10.76,3.46,0.36,19682,20807750.0,6.25,10.86,10.21,10.48,10.4,1.88,94.29,2.03
27,28,600312,平高电气,21.38,3.24,0.67,216609,455924208.0,4.78,21.54,20.55,20.86,20.71,1.6,27.19,2.82
28,29,600517,国网英大,5.43,3.23,0.17,360992,192575677.0,4.75,5.45,5.2,5.3,5.26,0.63,16.95,1.47
29,30,301179,泽宇智能,17.86,3.18,0.55,24630,43052191.25,4.74,17.9,17.08,17.57,17.31,2.92,28.65,2.63
30,31,300265,通光线缆,7.82,3.17,0.24,113109,87344365.0,3.69,7.83,7.55,7.55,7.58,2.47,41.03,1.59
31,32,603333,尚纬股份,3.61,3.14,0.11,110153,39288166.0,3.14,3.62,3.51,3.52,3.5,1.77,-437.01,1.05
32,33,002028,思源电气,73.82,3.11,2.23,91387,666883680.14,7.22,74.88,69.71,70.9,71.59,1.52,32.21,5.18
33,34,300510,金冠股份,4.39,3.05,0.13,209595,90273573.21,4.69,4.41,4.21,4.28,4.26,2.54,-105.44,1.37
34,35,300499,高澜股份,11.26,3.02,0.33,112146,122697190.0,6.13,11.3,10.63,10.88,10.93,4.13,-1003.16,2.45
35,36,002350,北京科锐,5.47,3.01,0.16,59445,32098016.36,3.2,5.48,5.31,5.36,5.31,1.12,-125.23,1.76
36,37,003008,开普检测,18.31,2.87,0.51,12705,23000014.0,3.26,18.39,17.81,17.89,17.8,1.63,24.21,1.82
37,38,600522,中天科技,15.14,2.85,0.42,403414,603155665.0,3.06,15.17,14.72,14.86,14.72,1.18,17.7,1.53
38,39,601677,明泰铝业,14.48,2.77,0.39,208482,298105603.0,3.48,14.5,14.01,14.14,14.09,1.75,8.42,1.07
39,40,002576,通达动力,12.79,2.73,0.34,26566,33503910.81,3.21,12.8,12.4,12.5,12.45,1.64,32.81,1.73
40,41,603618,杭电股份,4.92,2.71,0.13,81738,39612841.0,3.34,4.93,4.77,4.85,4.79,1.18,24.17,1.14
41,42,300222,科大智能,7.59,2.71,0.2,183245,136287793.93,4.47,7.61,7.28,7.42,7.39,2.88,121.38,3.57
42,43,300019,硅宝科技,14.33,2.65,0.37,47363,66588715.0,3.87,14.33,13.79,14.1,13.96,1.37,27.7,2.3
