,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,838971,天马新材,17.42,26.6,3.66,166324,256246477.06,28.71,17.85,13.9,14.5,13.76,19.64,60.79,4.33
1,2,300757,罗博特科,166.12,11.12,16.62,128020,2001492046.32,15.46,168.0,144.88,150.0,149.5,8.77,237.5,25.7
2,3,688127,蓝特光学,20.52,10.8,2.0,128430,253433888.0,6.8,20.58,19.32,19.48,18.52,3.2,83.82,5.09
3,4,603773,沃格光电,18.94,8.73,1.52,78947,143265562.0,8.78,18.95,17.42,17.5,17.42,3.88,-69.38,3.15
4,5,600552,凯盛科技,12.02,8.19,0.91,506777,581794798.0,10.08,12.07,10.95,11.03,11.11,5.36,136.34,2.76
5,6,300706,阿石创,23.7,6.14,1.37,58733,134583596.88,7.3,23.81,22.18,23.0,22.33,5.19,364.7,4.81
6,7,000536,华映科技,3.45,5.83,0.19,1535859,515749466.72,9.82,3.52,3.2,3.26,3.26,5.56,-8.46,5.12
7,8,688079,美迪凯,8.04,5.65,0.43,35595,27648015.0,6.44,8.06,7.57,7.62,7.61,0.89,-31.89,2.29
8,9,300162,雷曼光电,7.29,5.35,0.37,214346,152762024.81,5.2,7.32,6.96,7.01,6.92,6.29,201.73,3.1
9,10,300554,三超新材,22.14,4.48,0.95,32316,69484956.16,5.57,22.18,21.0,21.19,21.19,4.1,-64.12,3.23
10,11,300241,瑞丰光电,5.05,4.34,0.21,247161,121773580.5,5.37,5.06,4.8,4.93,4.84,4.32,74.26,1.64
11,12,300232,洲明科技,6.64,4.08,0.26,262692,169570950.92,5.33,6.66,6.32,6.48,6.38,2.97,36.01,1.52
12,13,688603,天承科技,80.45,4.08,3.15,5187,40186120.0,7.3,80.64,75.0,76.99,77.3,2.46,63.8,4.34
13,14,002851,麦格米特,28.19,3.98,1.08,82692,225552489.0,6.68,28.29,26.48,27.2,27.11,1.99,22.58,3.18
14,15,300456,赛微电子,19.19,3.84,0.71,268420,496697928.81,7.47,19.28,17.9,18.57,18.48,4.52,-164.66,2.78
15,16,002962,五方光电,14.9,3.76,0.54,109352,160325001.16,4.53,14.97,14.32,14.34,14.36,5.23,53.26,2.4
16,17,688170,德龙激光,24.01,3.76,0.87,12256,28637397.0,5.66,24.13,22.82,23.49,23.14,1.54,-125.75,1.97
17,18,002983,芯瑞达,21.51,3.51,0.73,46082,95867406.91,6.69,21.69,20.3,20.78,20.78,3.6,44.86,3.77
18,19,300296,利亚德,5.01,3.51,0.17,389770,190248964.98,4.96,5.02,4.78,4.88,4.84,1.86,49.44,1.53
19,20,688028,沃尔德,17.95,3.34,0.58,16513,29119207.0,4.26,17.97,17.23,17.68,17.37,1.15,25.15,1.41
20,21,300700,岱勒新材,7.23,3.14,0.22,79242,55945622.57,5.42,7.23,6.85,7.05,7.01,3.01,-33.57,2.39
21,22,301338,凯格精机,30.73,3.05,0.91,15614,46964834.2,4.9,30.78,29.32,30.78,29.82,4.55,59.46,2.3
22,23,300752,隆利科技,15.28,3.03,0.45,54652,81397761.37,5.73,15.34,14.49,14.86,14.83,3.55,34.36,3.07
23,24,600367,红星发展,10.43,2.96,0.3,40929,41947207.0,3.55,10.44,10.08,10.15,10.13,1.27,75.54,1.53
24,25,600876,凯盛新能,10.1,2.96,0.29,22542,22523482.0,3.87,10.15,9.77,9.9,9.81,0.57,-59.52,1.43
25,26,300219,鸿利智汇,7.06,2.92,0.2,128263,88224341.04,5.98,7.09,6.68,6.89,6.86,1.82,31.39,1.93
26,27,002845,同兴达,12.85,2.88,0.36,70299,88437922.16,4.48,12.87,12.31,12.51,12.49,2.81,117.37,1.56
27,28,600714,金瑞矿业,8.15,2.52,0.2,36662,29297043.0,4.03,8.16,7.84,7.94,7.95,1.27,107.43,3.14
28,29,600707,彩虹股份,7.14,2.29,0.16,258915,179729763.0,5.44,7.16,6.78,6.99,6.98,0.72,13.99,1.21
29,30,000988,华工科技,33.66,1.94,0.64,194566,642909866.74,4.24,33.76,32.36,33.02,33.02,1.94,27.08,3.51
30,31,000725,京东方Ａ,4.26,1.67,0.07,4492817,1894694239.65,2.86,4.28,4.16,4.21,4.19,1.22,35.11,1.25
31,32,688518,联赢激光,14.23,1.64,0.23,70385,97885417.0,4.64,14.25,13.6,14.06,14.0,2.06,47.44,1.59
32,33,002156,通富微电,22.13,-1.07,-0.24,1251443,2665048983.66,6.62,22.18,20.7,21.3,22.37,8.25,52.04,2.35
33,34,300776,帝尔激光,62.36,-1.09,-0.69,49606,307729797.84,6.03,64.3,60.5,63.99,63.05,2.97,36.07,5.64
