,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688156,路德环境,12.87,6.19,0.75,20904,26519101.0,8.0,13.27,12.3,12.81,12.12,2.26,430.8,1.44
1,2,300237,美晨科技,1.87,5.65,0.1,707055,130421662.45,7.34,1.92,1.79,1.86,1.77,4.91,-7.03,18.98
2,3,000893,亚钾国际,17.84,4.88,0.83,116659,202747578.1,5.53,17.88,16.94,16.94,17.01,1.44,30.69,1.44
3,4,300021,大禹节水,3.91,4.27,0.16,152324,58729994.18,4.53,3.94,3.77,3.82,3.75,2.17,88.49,1.8
4,5,000718,苏宁环球,2.26,4.15,0.09,269461,59662576.81,4.61,2.27,2.17,2.23,2.17,1.18,13.61,0.72
5,6,000505,京粮控股,6.68,4.05,0.26,219498,144626900.93,8.72,6.85,6.29,6.45,6.42,3.47,100.92,1.55
6,7,002783,凯龙股份,8.07,3.73,0.29,89931,72123627.1,5.91,8.23,7.77,7.81,7.78,2.62,30.98,1.66
7,8,002215,诺 普 信,8.57,3.5,0.29,177485,147830365.31,5.31,8.59,8.15,8.35,8.28,2.24,7.8,2.2
8,9,600853,龙建股份,3.55,3.5,0.12,218694,76781924.0,4.96,3.59,3.42,3.57,3.43,2.17,26.05,1.25
9,10,300381,溢多利,6.92,2.82,0.19,70508,47796457.98,4.75,6.94,6.62,6.76,6.73,1.44,40.58,1.3
10,11,002539,云图控股,8.1,2.79,0.22,114892,91646882.46,3.43,8.12,7.85,7.95,7.88,1.3,10.78,1.15
11,12,002157,正邦科技,2.96,2.78,0.08,563351,164503576.54,2.78,2.96,2.88,2.9,2.88,0.94,-107.94,2.55
12,13,002470,金正大,1.58,2.6,0.04,386383,60389703.88,3.25,1.59,1.54,1.56,1.54,1.18,15.41,2.37
13,14,002061,浙江交科,4.12,2.49,0.1,425329,174300955.26,3.23,4.16,4.03,4.13,4.02,1.64,10.46,0.74
14,15,002538,司尔特,5.45,2.44,0.13,84609,45513793.55,3.01,5.46,5.3,5.33,5.32,0.99,14.18,0.89
15,16,000902,新洋丰,13.32,2.38,0.31,175504,235775731.37,4.46,13.78,13.2,13.31,13.01,1.54,11.33,1.69
16,17,300387,富邦股份,7.65,2.27,0.17,59311,44777005.07,3.88,7.68,7.39,7.42,7.48,2.05,15.81,1.62
17,18,600805,悦达投资,4.11,2.24,0.09,70358,28626519.0,3.23,4.13,4.0,4.03,4.02,0.83,159.36,0.8
18,19,603739,蔚蓝生物,11.4,2.06,0.23,49223,55716582.0,2.95,11.47,11.14,11.23,11.17,1.95,49.14,1.68
19,20,603789,星光农机,7.27,1.96,0.14,40765,29387159.0,2.66,7.3,7.11,7.11,7.13,1.57,-20.09,5.24
20,21,600075,新疆天业,4.3,1.9,0.08,139231,58900640.0,4.5,4.33,4.14,4.21,4.22,0.82,548.89,0.82
21,22,002513,蓝丰生化,3.77,1.89,0.07,52355,19554176.0,4.32,3.8,3.64,3.71,3.7,1.98,-5.08,-20.04
22,23,002234,民和股份,8.78,1.62,0.14,25432,22171549.4,1.97,8.79,8.62,8.7,8.64,0.84,-8.25,1.46
23,24,600543,莫高股份,5.91,1.55,0.09,105188,61122143.0,6.36,6.03,5.66,5.8,5.82,3.28,-102.83,2.23
24,25,000601,韶能股份,3.95,1.54,0.06,94131,37019801.63,2.06,3.96,3.88,3.92,3.89,0.87,12.81,0.96
25,26,002582,好想你,5.6,1.45,0.08,79372,44261435.14,2.36,5.64,5.51,5.52,5.52,2.31,-35.02,0.7
26,27,000830,鲁西化工,11.96,1.44,0.17,170180,201642398.0,2.88,12.0,11.66,11.74,11.79,0.89,9.75,1.28
27,28,002910,庄园牧场,7.19,1.41,0.1,27652,19623349.63,3.95,7.23,6.95,7.07,7.09,1.62,-8.0,1.21
28,29,000626,远大控股,5.05,1.2,0.06,45420,22788067.0,2.81,5.09,4.95,5.07,4.99,0.9,-31.84,0.99
29,30,002565,顺灏股份,2.85,1.06,0.03,187985,52914180.5,3.9,2.86,2.75,2.83,2.82,1.78,55.84,1.6
30,31,002170,芭田股份,6.44,0.94,0.06,95823,61286252.05,3.76,6.49,6.25,6.42,6.38,1.35,19.1,2.22
31,32,603276,恒兴新材,13.5,0.9,0.12,9668,12941676.0,2.62,13.53,13.18,13.5,13.38,1.92,44.03,1.61
32,33,600965,福成股份,4.01,0.75,0.03,55463,22051186.0,3.27,4.04,3.91,3.98,3.98,0.68,53.41,1.54
33,34,600300,维维股份,2.68,0.75,0.02,165816,44007305.0,3.01,2.69,2.61,2.66,2.66,1.03,14.38,1.35
34,35,002758,浙农股份,8.75,0.69,0.06,40208,34878798.5,2.88,8.8,8.55,8.69,8.69,0.78,21.67,1.01
35,36,300335,迪森股份,4.88,0.62,0.03,203372,98103597.8,4.54,4.94,4.72,4.85,4.85,5.29,31.93,1.23
36,37,002746,仙坛股份,5.82,0.34,0.02,58286,33604534.75,2.59,5.85,5.7,5.82,5.8,0.82,81.42,1.12
37,38,002569,ST步森,6.45,-0.31,-0.02,12396,8013216.0,3.55,6.57,6.34,6.48,6.47,0.89,-74.11,10.85
38,39,002588,史丹利,7.56,-0.4,-0.03,210979,158068517.72,3.69,7.67,7.39,7.6,7.59,2.07,8.53,1.34
39,40,002321,华英农业,1.83,-0.54,-0.01,209972,38261302.0,4.35,1.87,1.79,1.83,1.84,0.99,108.75,3.88
40,41,000930,中粮科技,5.89,-1.01,-0.06,557176,323125719.16,7.23,6.09,5.66,5.8,5.95,3.0,89.08,1.05
