,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300152,新动力,3.95,13.51,0.47,1113522,404116192.11,17.82,4.0,3.38,3.58,3.48,15.63,-192.95,8.91
1,2,000652,泰达股份,4.2,9.95,0.38,799811,325999889.27,6.81,4.2,3.94,4.07,3.82,5.42,31.3,1.09
2,3,002479,富春环保,4.61,7.96,0.34,276817,126387359.6,3.98,4.66,4.49,4.5,4.27,3.21,20.2,1.01
3,4,300854,中兰环保,12.68,5.67,0.68,34008,42267101.0,4.83,12.72,12.14,12.33,12.0,6.05,51.19,1.3
4,5,301127,天源环保,10.03,4.48,0.43,104250,102414124.57,4.06,10.05,9.66,9.73,9.6,2.95,24.77,2.27
5,6,002034,旺能环境,15.31,4.43,0.65,48366,73954389.61,2.05,15.48,15.18,15.34,14.66,1.13,9.07,1.03
6,7,300187,永清环保,5.2,4.21,0.21,64385,33209607.9,5.61,5.3,5.02,5.02,4.99,1.0,24.56,3.17
7,8,000885,城发环境,12.63,4.21,0.51,50579,63366652.6,2.97,12.68,12.32,12.56,12.12,0.79,8.27,1.04
8,9,300614,百川畅银,10.41,4.1,0.41,27518,28200329.87,6.5,10.65,10.0,10.2,10.0,1.72,-18.72,1.22
9,10,601033,永兴股份,14.57,4.0,0.56,53149,76133950.0,4.64,14.64,13.99,14.09,14.01,3.54,15.54,1.3
10,11,300867,圣元环保,13.65,3.96,0.52,34162,45942613.0,3.58,13.68,13.21,13.37,13.13,1.78,18.11,1.03
11,12,002672,东江环保,4.24,3.92,0.16,56543,23654036.07,3.68,4.26,4.11,4.16,4.08,0.67,-9.1,1.13
12,13,300040,九洲集团,6.27,3.81,0.23,220417,134802130.95,5.46,6.29,5.96,6.1,6.04,4.78,23.01,1.27
13,14,603568,伟明环保,22.2,3.54,0.76,62660,136167641.0,4.1,22.28,21.4,21.93,21.44,0.37,13.3,3.19
14,15,600796,钱江生化,4.71,3.29,0.15,37961,17643703.0,2.85,4.71,4.58,4.6,4.56,1.26,24.81,1.28
15,16,600475,华光环能,9.41,2.62,0.24,73756,69180252.0,4.47,9.6,9.19,9.49,9.17,0.78,11.32,1.06
16,17,000035,中国天楹,4.57,2.47,0.11,340272,152233533.98,4.71,4.57,4.36,4.38,4.46,1.39,16.02,1.07
17,18,601200,上海环境,8.2,2.24,0.18,102447,83426928.0,2.24,8.24,8.06,8.15,8.02,0.76,17.58,1.01
18,19,601330,绿色动力,6.23,2.13,0.13,48146,29678549.0,2.62,6.25,6.09,6.2,6.1,0.49,14.32,1.13
19,20,301175,中科环保,5.32,2.11,0.11,357135,187684227.1,3.84,5.36,5.16,5.3,5.21,5.79,23.9,2.29
20,21,603588,高能环境,5.01,2.04,0.1,421232,208331724.0,5.3,5.06,4.8,4.99,4.91,2.77,9.25,0.85
21,22,603071,物产环能,12.25,1.91,0.23,18832,22810810.0,2.83,12.28,11.94,12.2,12.02,0.79,9.5,1.33
22,23,600982,宁波能源,3.76,1.9,0.07,57360,21394735.0,2.44,3.78,3.69,3.71,3.69,0.51,16.9,1.01
23,24,601827,三峰环境,9.24,1.65,0.15,87701,81279199.0,3.19,9.39,9.1,9.25,9.09,0.52,11.64,1.45
24,25,002234,民和股份,8.78,1.62,0.14,25412,22153989.4,1.97,8.79,8.62,8.7,8.64,0.84,-8.25,1.46
25,26,000601,韶能股份,3.94,1.29,0.05,94069,36995311.63,2.06,3.96,3.88,3.92,3.89,0.87,12.78,0.96
