,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300120,经纬辉开,7.63,19.97,1.27,263677,201185604.41,0.0,7.63,7.63,7.63,6.36,4.97,45.48,1.46
1,2,002512,达华智能,4.58,10.1,0.42,1056549,473370605.54,11.3,4.58,4.11,4.16,4.16,10.08,1271.37,11.31
2,3,300552,万集科技,36.3,9.14,3.04,116953,398096127.8,12.39,36.62,32.5,32.51,33.26,9.03,-25.84,3.58
3,4,300212,易华录,27.65,8.86,2.25,481618,1275873961.78,10.79,27.88,25.14,25.4,25.4,6.9,-27.02,6.17
4,5,002869,金溢科技,28.78,7.83,2.09,129892,352954386.5,10.49,28.85,26.05,26.69,26.69,8.16,166.01,2.43
5,6,603660,苏州科达,6.44,5.75,0.35,215911,136340353.0,6.08,6.47,6.1,6.23,6.09,4.37,-6.26,4.53
6,7,300050,世纪鼎利,6.46,5.56,0.34,609591,375572541.2,10.29,6.54,5.91,6.26,6.12,11.2,-122.96,7.52
7,8,000701,厦门信达,4.22,4.2,0.17,135730,55983663.1,4.44,4.22,4.04,4.05,4.05,2.12,-24.7,8.03
8,9,300098,高新兴,5.02,4.15,0.2,884005,430523842.47,6.43,5.04,4.73,4.85,4.82,5.73,-967.45,3.05
9,10,300546,雄帝科技,16.45,3.92,0.62,87128,138651661.8,7.2,16.56,15.42,16.01,15.83,6.55,203.04,2.85
10,11,300448,浩云科技,6.1,3.74,0.22,235685,139784137.62,6.12,6.12,5.76,5.99,5.88,4.79,331.78,3.14
11,12,002236,大华股份,16.47,3.52,0.56,470012,759259547.81,3.96,16.5,15.87,15.9,15.91,2.24,14.98,1.56
12,13,603636,南威软件,9.78,3.16,0.3,124173,118375331.0,5.38,9.82,9.31,9.55,9.48,2.14,-24.73,2.22
13,14,002161,远 望 谷,4.69,3.08,0.14,96425,44270900.19,4.4,4.7,4.5,4.58,4.55,1.35,39.05,2.25
14,15,002373,千方科技,9.31,2.87,0.26,230037,208072167.35,5.52,9.35,8.85,9.05,9.05,1.67,601.21,1.18
15,16,300603,立昂技术,9.14,2.7,0.24,121717,108615192.26,5.28,9.17,8.7,9.01,8.9,3.38,-127.55,2.99
16,17,300020,*ST银江,2.22,1.83,0.04,344019,75231730.72,4.13,2.23,2.14,2.2,2.18,4.49,-12.89,0.43
17,18,002316,ST亚联,2.75,1.1,0.03,110116,30037653.88,2.21,2.76,2.7,2.73,2.72,3.5,119.84,16.6
