,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300355,蒙草生态,5.34,20.0,0.89,5517154.0,2898693112.06,8.09,5.34,4.98,5.34,4.45,40.39,169.42,1.97
1,2,300085,银之杰,37.05,15.78,5.05,1403559.0,4732442817.87,24.13,37.8,30.08,30.98,32.0,22.11,-261.67,42.28
2,3,300152,新动力,3.95,13.51,0.47,1115138.0,404754938.11,17.82,4.0,3.38,3.58,3.48,15.65,-192.95,8.91
3,4,603778,国晟科技,3.45,9.87,0.31,323699.0,110412046.0,8.28,3.45,3.19,3.19,3.14,5.04,-10.13,2.63
4,5,000826,启迪环境,2.02,9.78,0.18,594226.0,117153215.6,5.98,2.02,1.91,1.96,1.84,4.17,-6.57,0.72
5,6,300862,蓝盾光电,27.42,9.29,2.33,114077.0,307529847.52,14.31,29.08,25.49,25.49,25.09,7.53,1282.5,2.53
6,7,688066,航天宏图,18.74,8.51,1.47,140714.0,253882625.0,8.22,18.77,17.35,17.64,17.27,5.39,-13.26,2.43
7,8,600039,四川路桥,7.31,8.14,0.55,861413.0,618403553.0,4.88,7.35,7.02,7.14,6.76,1.29,9.97,1.45
8,9,300732,设研院,8.14,7.81,0.59,172517.0,136475709.66,7.55,8.2,7.63,7.68,7.55,5.33,-15.09,0.97
9,10,300417,南华仪器,10.56,6.67,0.66,103868.0,107269929.65,8.38,10.86,10.03,10.8,9.9,11.95,27.16,3.02
10,11,002178,延华智能,4.8,6.43,0.29,517029.0,241156034.51,10.42,4.88,4.41,4.5,4.51,7.26,-137.74,7.81
11,12,688628,优利德,36.74,6.31,2.18,11544.0,41170912.0,7.81,36.78,34.08,34.37,34.56,1.04,19.79,3.43
12,13,301024,霍普股份,23.56,6.22,1.38,13213.0,30424334.5,5.95,23.67,22.35,22.61,22.18,7.45,-39.21,2.95
13,14,300070,碧水源,5.26,6.05,0.3,1706623.0,898459574.72,10.69,5.53,5.0,5.53,4.96,4.97,-131.21,0.7
14,15,300887,谱尼测试,8.17,5.97,0.46,154287.0,122452170.14,5.45,8.19,7.77,7.8,7.71,4.26,-13.01,1.36
15,16,300203,聚光科技,16.6,5.8,0.91,247828.0,401917718.0,10.9,17.11,15.4,16.95,15.69,5.53,81.76,2.52
16,17,300422,博世科,4.79,5.74,0.26,125918.0,59648722.51,5.08,4.85,4.62,4.68,4.53,3.02,48.63,1.21
17,18,600248,陕建股份,4.24,5.74,0.23,695707.0,291045582.0,4.99,4.29,4.09,4.2,4.01,1.89,5.05,0.69
18,19,601369,陕鼓动力,8.67,5.73,0.47,186453.0,157174348.0,6.1,8.72,8.22,8.3,8.2,1.1,16.32,1.74
19,20,300854,中兰环保,12.68,5.67,0.68,34008.0,42267101.0,4.83,12.72,12.14,12.33,12.0,6.05,51.19,1.3
20,21,300948,冠中生态,10.72,5.51,0.56,36250.0,38392537.5,6.69,11.0,10.32,10.73,10.16,2.77,87.62,1.76
21,22,002573,清新环境,4.04,5.48,0.21,140474.0,55987161.0,6.27,4.13,3.89,3.94,3.83,1.0,40.27,0.91
22,23,300266,兴源环境,2.22,5.21,0.11,512326.0,111523285.0,9.0,2.29,2.1,2.23,2.11,3.3,-19.58,18.04
23,24,002642,荣联科技,7.14,5.15,0.35,271540.0,188011652.54,6.63,7.17,6.72,6.79,6.79,4.49,203.79,4.1
24,25,002679,福建金森,7.78,5.14,0.38,41216.0,31703728.0,4.59,7.85,7.51,7.55,7.4,1.75,-24.34,2.56
25,26,300500,启迪设计,12.14,5.11,0.59,43882.0,52008965.0,5.89,12.2,11.52,11.72,11.55,2.69,48.57,1.72
26,27,600021,上海电力,9.37,5.04,0.45,750905.0,696488326.0,3.81,9.45,9.11,9.2,8.92,2.87,9.94,1.4
27,28,002980,华盛昌,26.08,5.03,1.25,25642.0,66304383.1,5.16,26.49,25.21,25.21,24.83,3.57,23.62,3.31
28,29,300826,测绘股份,14.74,4.84,0.68,52006.0,74598561.7,6.26,14.79,13.91,14.17,14.06,3.42,127.97,1.94
29,30,300490,华自科技,8.1,4.79,0.37,159869.0,127522034.76,6.99,8.2,7.66,7.8,7.73,4.09,-44.31,1.17
30,31,600570,恒生电子,24.49,4.75,1.11,815556.0,1900190145.0,8.64,24.51,22.49,23.52,23.38,4.31,775.97,5.95
31,32,300249,依米康,8.47,4.7,0.38,133581.0,109997034.73,5.19,8.47,8.05,8.13,8.09,3.58,280.31,8.99
32,33,300190,维尔利,3.62,4.62,0.16,115665.0,41473801.0,5.78,3.69,3.49,3.64,3.46,1.49,33.52,0.79
33,34,000531,穗恒运Ａ,5.43,4.62,0.24,95982.0,51720510.56,4.62,5.51,5.27,5.51,5.19,1.06,30.79,0.85
34,35,688051,佳华科技,20.47,4.55,0.89,6631.0,13215780.0,5.46,20.57,19.5,20.0,19.58,0.86,-26.83,1.99
35,36,002514,宝馨科技,4.91,4.47,0.21,163713.0,78796900.44,4.89,4.93,4.7,4.78,4.7,2.95,-16.68,4.2
36,37,600076,康欣新材,1.88,4.44,0.08,152500.0,28139926.0,4.44,1.88,1.8,1.8,1.8,1.13,-14.48,0.59
37,38,872931,无锡鼎邦,8.08,4.39,0.34,12699.0,9983234.41,6.46,8.11,7.61,7.74,7.74,5.34,19.86,2.04
38,39,300012,华测检测,14.55,4.3,0.6,214128.0,306339992.79,4.01,14.59,14.03,14.07,13.95,1.5,28.04,3.8
39,40,300187,永清环保,5.2,4.21,0.21,64424.0,33229907.9,5.61,5.3,5.02,5.02,4.99,1.0,24.56,3.17
40,41,300487,蓝晓科技,55.22,4.21,2.23,43177.0,231213745.82,5.55,55.46,52.52,53.54,52.99,1.42,34.51,8.25
41,42,603359,东珠生态,4.21,4.21,0.17,101868.0,42620990.0,5.94,4.32,4.08,4.15,4.04,2.28,72.3,0.57
42,43,000885,城发环境,12.63,4.21,0.51,50579.0,63366652.6,2.97,12.68,12.32,12.56,12.12,0.79,8.27,1.04
43,44,300614,百川畅银,10.41,4.1,0.41,27518.0,28200329.87,6.5,10.65,10.0,10.2,10.0,1.72,-18.72,1.22
44,45,300800,力合科技,10.52,4.06,0.41,23240.0,23895959.0,5.34,10.57,10.03,10.18,10.11,0.99,94.3,1.24
45,46,603698,航天工程,15.17,4.05,0.59,44778.0,66579471.0,4.8,15.2,14.5,14.67,14.58,0.84,44.78,2.42
46,47,300040,九洲集团,6.28,3.97,0.24,220462.0,134830359.95,5.46,6.29,5.96,6.1,6.04,4.78,23.04,1.28
47,48,002672,东江环保,4.24,3.92,0.16,56543.0,23654036.07,3.68,4.26,4.11,4.16,4.08,0.67,-9.1,1.13
48,49,600864,哈投股份,6.13,3.9,0.23,632957.0,377112236.0,6.61,6.15,5.76,6.11,5.9,3.04,55.89,1.02
49,50,603100,川仪股份,19.32,3.82,0.71,59011.0,110066141.0,7.31,19.44,18.08,18.77,18.61,1.16,13.68,2.46
50,51,002658,雪迪龙,6.3,3.79,0.23,55290.0,34407213.08,2.8,6.3,6.13,6.15,6.07,1.54,40.56,1.63
51,52,600803,新奥股份,20.08,3.67,0.71,121801.0,240432114.0,4.59,20.11,19.22,19.37,19.37,0.43,12.29,2.79
52,53,002060,广东建工,3.86,3.49,0.13,222402.0,84706777.9,3.75,3.87,3.73,3.79,3.73,1.42,15.83,1.12
53,54,300675,建科院,14.56,3.48,0.49,63532.0,90844852.0,5.12,14.6,13.88,14.28,14.07,4.33,-37.55,3.72
54,55,600517,国网英大,5.44,3.42,0.18,360708.0,192421198.0,4.75,5.45,5.2,5.3,5.26,0.63,16.98,1.48
55,56,603091,众鑫股份,46.3,3.42,1.53,33382.0,151621633.0,4.53,46.36,44.33,44.96,44.77,16.66,17.32,2.62
56,57,002062,宏润建设,3.97,3.39,0.13,84031.0,33220734.98,3.39,3.99,3.86,3.92,3.84,0.85,11.69,1.0
57,58,600526,菲达环保,4.37,3.31,0.14,75679.0,32849004.0,2.84,4.39,4.27,4.32,4.23,1.06,17.55,0.92
58,59,688600,皖仪科技,16.01,3.29,0.51,8617.0,13612684.0,8.45,16.19,14.88,15.66,15.5,0.64,-37.36,2.86
59,60,000767,晋控电力,2.55,3.24,0.08,186706.0,46729870.4,3.64,2.55,2.46,2.48,2.47,0.64,-10.43,1.36
60,61,000663,永安林业,5.32,3.1,0.16,67606.0,35821882.0,2.91,5.37,5.22,5.24,5.16,2.21,-43.63,1.66
61,62,000993,闽东电力,9.11,3.05,0.27,135304.0,123672181.77,6.22,9.5,8.95,9.36,8.84,3.08,38.96,1.72
62,63,600481,双良节能,4.48,2.99,0.13,202979.0,88918659.0,4.37,4.48,4.29,4.35,4.35,1.09,-3.33,1.55
63,64,688665,四方光电,32.68,2.96,0.94,6991.0,22429314.0,4.35,32.78,31.4,31.68,31.74,0.7,39.55,3.44
64,65,600475,华光环能,9.42,2.73,0.25,73867.0,69284789.0,4.47,9.6,9.19,9.49,9.17,0.78,11.33,1.06
65,66,603177,德创环保,7.83,2.62,0.2,30812.0,24040001.0,3.67,7.96,7.68,7.79,7.63,1.51,40.11,4.13
66,67,002398,垒知集团,3.97,2.58,0.1,67139.0,26402293.98,2.84,3.98,3.87,3.89,3.87,1.16,19.14,0.78
67,68,300105,龙源技术,6.76,2.58,0.17,84627.0,56402300.0,3.79,6.77,6.52,6.69,6.59,1.65,145.28,1.86
68,69,300166,东方国信,9.61,2.56,0.24,648040.0,596678607.65,8.96,9.7,8.86,9.5,9.37,7.16,363.24,1.81
69,70,000928,中钢国际,6.44,2.55,0.16,561248.0,358998280.37,4.14,6.52,6.26,6.49,6.28,3.91,11.01,1.16
70,71,300234,开尔新材,4.44,2.54,0.11,42264.0,18493449.45,4.16,4.46,4.28,4.39,4.33,1.23,144.95,2.0
71,72,002298,中电兴发,4.46,2.53,0.11,197350.0,86443120.98,3.91,4.47,4.3,4.33,4.35,3.02,-4.95,1.01
72,73,002887,绿茵生态,6.53,2.51,0.16,32413.0,21157886.6,2.98,6.62,6.43,6.52,6.37,2.03,24.25,0.91
73,74,601798,蓝科高新,5.75,2.5,0.14,53088.0,30113125.0,3.21,5.77,5.59,5.6,5.61,1.5,-105.21,1.55
74,75,002893,京能热力,9.55,2.47,0.23,53657.0,50944977.74,3.11,9.62,9.33,9.33,9.32,2.65,10.97,2.03
75,76,301390,经纬股份,30.34,2.47,0.73,6997.0,20969227.0,4.05,30.51,29.31,29.61,29.61,2.41,68.09,1.94
76,77,000926,福星股份,2.5,2.46,0.06,380189.0,94825211.6,4.1,2.55,2.45,2.51,2.44,2.42,52.11,0.33
77,78,002092,ST中泰,3.79,2.43,0.09,219233.0,82300580.31,3.51,3.82,3.69,3.73,3.7,0.85,-20.23,0.44
78,79,603126,中材节能,5.94,2.41,0.14,102738.0,60378986.0,3.45,5.96,5.76,5.89,5.8,1.68,54.92,1.75
79,80,300365,恒华科技,6.04,2.37,0.14,155413.0,91561221.0,4.92,6.05,5.76,5.9,5.9,3.21,286.94,1.83
80,81,300950,德固特,15.12,2.37,0.35,23626.0,35325529.65,3.18,15.15,14.68,15.0,14.77,2.63,16.65,3.19
81,82,601669,中国电建,5.67,2.35,0.13,1778900.0,1004566525.0,3.25,5.75,5.57,5.65,5.54,1.36,7.7,0.72
82,83,300137,先河环保,5.24,2.34,0.12,79889.0,41360874.69,4.1,5.29,5.08,5.24,5.12,1.51,75.29,1.56
83,84,300007,汉威科技,16.17,2.34,0.37,144861.0,227456712.44,6.33,16.22,15.22,15.77,15.8,5.12,51.3,1.86
84,85,001289,龙源电力,15.86,2.32,0.36,41463.0,65248095.0,2.71,15.94,15.52,15.63,15.5,3.11,17.32,1.87
85,86,603060,国检集团,6.64,2.31,0.15,58591.0,38468809.0,2.93,6.66,6.47,6.58,6.49,0.73,101.32,2.89
86,87,300864,南大环境,22.4,2.24,0.49,11009.0,24447514.54,3.74,22.53,21.71,22.14,21.91,0.7,18.73,2.83
87,88,601908,京运通,2.83,2.17,0.06,246538.0,68401449.0,3.97,2.83,2.72,2.77,2.77,1.02,-3.15,0.66
88,89,000530,冰山冷热,4.26,2.16,0.09,117079.0,49239597.45,3.84,4.27,4.11,4.19,4.17,1.95,22.87,1.16
89,90,600256,广汇能源,7.59,2.15,0.16,728515.0,547605020.0,2.96,7.61,7.39,7.44,7.43,1.11,17.12,1.92
90,91,601200,上海环境,8.19,2.12,0.17,102587.0,83541588.0,2.24,8.24,8.06,8.15,8.02,0.76,17.56,1.01
91,92,002015,协鑫能科,7.79,2.1,0.16,136970.0,104798229.92,3.93,7.8,7.5,7.67,7.63,0.84,15.39,1.09
92,93,600478,科力远,3.93,2.08,0.08,185420.0,71261071.0,3.9,3.93,3.78,3.84,3.85,1.11,183.53,2.42
93,94,001896,豫能控股,3.93,2.08,0.08,123788.0,48086174.0,3.12,3.94,3.82,3.86,3.85,0.94,-69.93,1.88
94,95,688335,复洁环保,9.07,2.02,0.18,3159.0,2833532.0,3.04,9.07,8.8,8.8,8.89,0.21,-48.99,1.12
95,96,000600,建投能源,5.15,1.98,0.1,218811.0,111653694.39,2.97,5.18,5.03,5.08,5.05,2.01,13.97,0.92
96,97,002063,远光软件,5.67,1.98,0.11,377363.0,208507879.81,5.22,5.69,5.4,5.57,5.56,2.15,95.67,3.1
97,98,600378,昊华科技,29.58,1.96,0.57,19991.0,58345930.0,3.69,29.73,28.66,29.45,29.01,0.22,44.28,2.07
