,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,871642,通易航天,10.07,15.22,1.33,104886,105975953.95,19.79,10.94,9.21,9.27,8.74,10.42,-77.26,4.35
1,2,300719,安达维尔,21.48,9.87,1.93,278955,590422364.02,11.51,22.3,20.05,20.2,19.55,15.53,191.0,5.2
2,3,002085,万丰奥威,14.48,8.46,1.13,1168442,1620524189.88,9.06,14.5,13.29,13.47,13.35,5.5,38.62,4.58
3,4,836077,吉林碳谷,11.07,6.24,0.65,37859,41091011.84,6.62,11.21,10.52,10.58,10.42,1.19,47.81,2.67
4,5,300629,新劲刚,19.25,6.18,1.12,87785,165255933.79,5.85,19.26,18.2,18.2,18.13,4.15,30.77,2.89
5,6,300777,中简科技,27.25,5.62,1.45,112380,299902309.8,5.23,27.4,26.05,26.3,25.8,2.65,57.23,2.9
6,7,301387,光大同创,31.94,5.03,1.53,19168,59166887.56,6.28,31.97,30.06,30.42,30.41,7.21,-1903.7,2.12
7,8,300995,奇德新材,15.75,4.58,0.69,14749,22697454.14,5.44,15.78,14.96,15.21,15.06,2.46,167.75,2.15
8,9,300699,光威复材,32.35,4.52,1.4,155240,492708272.45,5.65,32.45,30.7,31.35,30.95,1.89,36.51,4.75
9,10,301233,盛帮股份,40.22,4.39,1.69,12201,48610882.0,3.22,40.31,39.07,39.07,38.53,6.54,24.47,2.35
10,11,002669,康达新材,9.03,4.27,0.37,79520,70421737.0,4.5,9.04,8.65,8.65,8.66,2.64,-24.24,0.94
11,12,002297,博云新材,6.74,4.01,0.26,82636,55227798.3,3.24,6.78,6.57,6.58,6.48,1.44,836.22,1.82
12,13,600843,上工申贝,8.05,4.01,0.31,286743,226289118.0,5.17,8.1,7.7,7.75,7.74,6.11,62.48,1.75
13,14,002529,海源复材,6.37,3.58,0.22,83259,52414470.82,4.39,6.43,6.16,6.29,6.15,3.2,-16.5,4.14
14,15,300221,银禧科技,5.84,3.36,0.19,167406,95936246.0,4.25,5.85,5.61,5.72,5.65,3.7,53.27,2.08
15,16,002361,神剑股份,3.45,3.29,0.11,118260,40323572.0,3.29,3.46,3.35,3.35,3.34,1.47,91.68,1.48
16,17,300644,南京聚隆,20.16,3.23,0.63,32946,65260584.17,4.15,20.21,19.4,19.44,19.53,3.84,26.71,2.62
17,18,301131,聚赛龙,33.48,3.21,1.04,7658,25007742.0,4.62,33.5,32.0,32.44,32.44,3.32,55.07,1.99
18,19,000420,吉林化纤,3.16,2.93,0.09,362010,112034732.0,4.56,3.17,3.03,3.07,3.07,1.47,96.69,1.76
19,20,002006,精工科技,13.17,2.89,0.37,51304,66112410.86,4.45,13.17,12.6,12.8,12.8,1.13,30.53,4.48
20,21,000969,安泰科技,9.48,2.82,0.26,155445,144817028.05,3.47,9.49,9.17,9.29,9.22,1.52,17.76,1.85
21,22,600348,华阳股份,8.06,2.68,0.21,329500,262521027.0,3.82,8.1,7.8,7.89,7.85,0.91,11.19,1.08
22,23,300876,蒙泰高新,17.08,2.52,0.42,4546,7615763.0,4.2,17.08,16.38,16.67,16.66,0.66,-47.19,2.08
23,24,301237,和顺科技,23.42,2.36,0.54,5781,13234570.54,4.33,23.46,22.47,23.01,22.88,1.52,-165.82,1.32
24,25,002171,楚江新材,6.54,2.35,0.15,121151,77961202.04,3.91,6.56,6.31,6.43,6.39,0.93,25.68,1.39
25,26,002278,神开股份,4.93,2.28,0.11,79512,38916511.0,3.11,4.96,4.81,4.87,4.82,2.38,84.7,1.64
26,27,300690,双一科技,21.35,2.25,0.47,69252,144619784.6,5.7,21.44,20.25,20.96,20.88,6.29,75.03,2.5
27,28,688295,中复神鹰,21.11,2.18,0.45,21381,44277811.0,5.13,21.23,20.17,20.66,20.66,1.48,380.38,3.98
28,29,300568,星源材质,9.72,2.1,0.2,389229,368763450.69,5.25,9.75,9.25,9.54,9.52,3.21,26.95,1.34
29,30,600143,金发科技,8.05,1.51,0.12,147879,117689466.0,2.52,8.07,7.87,7.94,7.93,0.57,27.94,1.22
30,31,002768,国恩股份,21.02,1.15,0.24,15991,33254206.3,2.89,21.08,20.48,20.88,20.78,0.9,10.38,1.24
31,32,002221,东华能源,8.82,1.15,0.1,56587,49427739.0,2.87,8.85,8.6,8.82,8.72,0.39,63.04,1.29
32,33,601718,际华集团,2.8,1.08,0.03,373561,104229122.0,2.17,2.82,2.76,2.79,2.77,0.85,-326.54,0.73
33,34,600688,上海石化,2.89,1.05,0.03,258338,74083427.0,2.1,2.9,2.84,2.86,2.86,0.35,552.65,1.24
