,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002480,新筑股份,4.47,10.1,0.41,201910,87185440.06,9.11,4.47,4.1,4.18,4.06,2.63,-9.42,2.77
1,2,600839,四川长虹,6.13,8.3,0.47,2807704,1650324693.0,9.01,6.18,5.67,5.77,5.66,6.08,50.45,1.97
2,3,300407,凯发电气,12.0,7.53,0.84,199143,235723899.23,9.86,12.5,11.4,11.52,11.16,8.15,43.47,2.18
3,4,300594,朗进科技,16.37,5.75,0.89,32798,52448500.0,5.56,16.38,15.52,15.75,15.48,3.62,-34.47,1.66
4,5,300011,鼎汉技术,9.04,5.36,0.46,327799,290409046.78,7.34,9.13,8.5,8.62,8.58,6.53,206.82,3.81
5,6,300490,华自科技,8.1,4.79,0.37,159882,127532564.76,6.99,8.2,7.66,7.8,7.73,4.09,-44.31,1.17
6,7,688187,时代电气,54.04,4.61,2.38,47075,247081036.0,6.68,54.25,50.8,52.25,51.66,1.69,25.31,1.93
7,8,300960,通业科技,21.6,4.35,0.9,18955,40235176.0,4.64,21.66,20.7,21.28,20.7,2.04,78.0,3.81
8,9,300789,唐源电气,14.87,3.77,0.54,23607,34229080.17,5.02,14.88,14.16,14.35,14.33,2.39,23.03,2.11
9,10,300748,金力永磁,13.72,3.55,0.47,180655,242007923.91,5.58,13.8,13.06,13.25,13.25,1.59,77.11,2.76
10,11,000922,佳电股份,10.69,3.48,0.36,90477,94629590.51,5.32,10.74,10.19,10.33,10.33,1.54,18.15,1.95
11,12,300923,研奥股份,21.31,3.45,0.71,16701,35167344.0,3.74,21.35,20.58,20.58,20.6,2.18,51.0,1.48
12,13,002361,神剑股份,3.45,3.29,0.11,118215,40308045.0,3.29,3.46,3.35,3.35,3.34,1.47,91.68,1.48
13,14,601766,中国中车,8.31,3.1,0.25,1478334,1215794236.0,3.35,8.34,8.07,8.07,8.06,0.61,28.39,1.49
14,15,002028,思源电气,73.79,3.07,2.2,91282,666108628.14,7.22,74.88,69.71,70.9,71.59,1.51,32.2,5.18
15,16,300095,华伍股份,6.73,3.06,0.2,47752,31827585.77,3.06,6.78,6.58,6.58,6.53,1.42,60.01,1.38
16,17,600458,时代新材,10.07,2.86,0.28,139847,138592358.0,3.68,10.11,9.75,9.88,9.79,1.74,18.71,1.42
17,18,300035,中科电气,10.25,2.81,0.28,151242,151542135.55,4.71,10.27,9.8,10.04,9.97,2.59,50.72,1.58
18,19,600105,永鼎股份,4.18,2.7,0.11,214965,88302899.0,3.93,4.19,4.03,4.07,4.07,1.54,93.01,2.1
19,20,002056,横店东磁,13.75,2.61,0.35,98876,133096608.48,4.25,13.79,13.22,13.42,13.4,0.61,17.51,2.51
20,21,001324,长青科技,16.41,2.56,0.41,12462,20170420.69,3.88,16.55,15.93,16.31,16.0,1.53,32.16,2.09
21,22,600528,中铁工业,8.16,2.51,0.2,252684,205010975.0,3.27,8.22,7.96,7.96,7.96,1.14,9.7,0.78
22,23,601390,中国中铁,6.75,2.43,0.16,2266074,1529365431.0,4.4,6.89,6.6,6.68,6.59,1.11,5.85,0.57
23,24,002533,金杯电工,10.06,2.03,0.2,95403,95189026.0,2.74,10.1,9.83,9.98,9.86,1.5,13.39,1.92
24,25,002972,科安达,10.76,1.61,0.17,24716,26285079.9,3.21,10.79,10.45,10.6,10.59,1.86,23.56,2.24
25,26,300376,ST易事特,3.45,1.17,0.04,301369,101034842.19,6.45,3.46,3.24,3.41,3.41,1.29,32.22,1.13
26,27,688425,铁建重工,4.16,0.97,0.04,271093,111966567.0,2.67,4.18,4.07,4.16,4.12,1.83,15.34,1.32
27,28,001255,博菲电气,24.0,0.25,0.06,17359,41578457.1,4.85,24.66,23.5,24.45,23.94,8.68,1098.59,2.63
28,29,300224,正海磁材,10.25,0.0,0.0,126516,127568003.39,3.8,10.27,9.88,10.2,10.25,1.55,33.32,2.37
