,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600039,四川路桥,7.32,8.28,0.56,863140,619667660.0,4.88,7.35,7.02,7.14,6.76,1.29,9.98,1.45
1,2,002312,川发龙蟒,9.64,6.52,0.59,765964,720004183.85,8.29,9.79,9.04,9.1,9.05,4.37,31.02,1.97
2,3,603979,金诚信,46.01,5.53,2.41,153324,693379803.0,7.25,46.17,43.01,43.7,43.6,2.46,23.42,3.61
3,4,600078,澄星股份,5.81,5.06,0.28,72385,41094707.0,6.15,5.86,5.52,5.6,5.53,1.09,-115.19,2.11
4,5,600331,宏达股份,6.98,4.96,0.33,461980,315680198.0,6.47,7.05,6.62,6.65,6.65,2.27,121.55,37.44
5,6,002895,川恒股份,20.72,4.86,0.96,62810,126881719.0,5.82,20.8,19.65,19.78,19.76,1.16,15.88,2.09
6,7,603993,洛阳钼业,8.43,4.72,0.38,1558056,1288996223.0,4.72,8.43,8.05,8.09,8.05,0.88,16.81,2.98
7,8,002237,恒邦股份,11.1,4.62,0.49,208359,226329295.8,4.9,11.15,10.63,10.71,10.61,2.29,21.35,1.42
8,9,300477,合纵科技,3.04,4.47,0.13,264844,78643078.56,4.47,3.04,2.91,2.92,2.91,2.83,-12.21,1.93
9,10,301118,恒光股份,18.17,4.19,0.73,16685,29761581.0,4.59,18.23,17.43,17.46,17.44,3.08,-42.71,1.46
10,11,002114,罗平锌电,5.53,3.75,0.2,101083,55310175.0,3.56,5.55,5.36,5.4,5.33,3.13,374.78,1.73
11,12,300437,清水源,10.09,3.59,0.35,42168,42240526.63,4.52,10.2,9.76,9.76,9.74,2.4,-28.95,1.82
12,13,601117,中国化学,8.24,3.39,0.27,799588,648250070.0,3.76,8.25,7.95,8.03,7.97,1.32,8.87,0.83
13,14,000422,湖北宜化,13.34,3.09,0.4,202566,265223599.77,4.87,13.4,12.77,13.0,12.94,2.01,13.38,1.98
14,15,002539,云图控股,8.1,2.79,0.22,114875,91633112.46,3.43,8.12,7.85,7.95,7.88,1.3,10.78,1.15
15,16,000713,丰乐种业,6.25,2.63,0.16,92546,57146964.58,3.61,6.26,6.04,6.08,6.09,1.51,-85.88,2.0
16,17,688669,聚石化学,12.11,2.63,0.31,7228,8634708.0,3.22,12.14,11.76,11.76,11.8,0.6,466.47,0.94
17,18,002470,金正大,1.58,2.6,0.04,386383,60389703.88,3.25,1.59,1.54,1.56,1.54,1.18,15.41,2.37
18,19,002136,安 纳 达,9.53,2.47,0.23,17499,16502363.45,2.37,9.54,9.32,9.34,9.3,0.82,22.65,1.7
19,20,002538,司尔特,5.45,2.44,0.13,84605,45511613.55,3.01,5.46,5.3,5.33,5.32,0.99,14.18,0.89
20,21,000902,新洋丰,13.32,2.38,0.31,175504,235775731.37,4.46,13.78,13.2,13.31,13.01,1.54,11.33,1.69
21,22,002409,雅克科技,60.18,2.26,1.33,102920,602925772.04,5.86,60.45,57.0,58.26,58.85,3.23,27.56,4.12
22,23,300505,川金诺,14.4,2.2,0.31,105358,148471440.45,4.83,14.43,13.75,14.18,14.09,4.85,29.72,1.63
23,24,002386,天原股份,4.28,1.9,0.08,89429,37986125.28,2.62,4.29,4.18,4.23,4.2,0.69,248.87,0.7
24,25,300801,泰和科技,14.99,1.56,0.23,16989,25107285.0,4.0,15.06,14.47,14.76,14.76,1.27,30.18,1.4
25,26,600727,鲁北化工,7.02,1.45,0.1,94759,65998430.0,2.89,7.05,6.85,6.92,6.92,1.79,12.67,1.2
26,27,000830,鲁西化工,11.96,1.44,0.17,170180,201642398.0,2.88,12.0,11.66,11.74,11.79,0.89,9.75,1.28
27,28,600096,云天化,22.65,1.3,0.29,277830,621172538.0,3.18,22.71,22.0,22.3,22.36,1.51,7.31,2.09
28,29,600141,兴发集团,22.68,1.3,0.29,144600,323074220.0,3.35,22.72,21.97,22.44,22.39,1.31,15.54,1.21
29,30,300610,晨化股份,9.43,1.29,0.12,31308,29234440.0,3.22,9.47,9.17,9.3,9.31,1.94,25.61,1.81
30,31,002556,辉隆股份,5.19,1.17,0.06,65444,33721833.74,2.53,5.21,5.08,5.12,5.13,0.7,13.98,1.35
31,32,600470,六国化工,4.66,1.08,0.05,65170,30200727.0,3.25,4.7,4.55,4.64,4.61,1.25,41.38,1.32
32,33,002942,新农股份,13.49,1.05,0.14,19581,26129615.2,3.3,13.53,13.09,13.35,13.35,1.4,15.43,1.8
33,34,603077,和邦生物,2.02,1.0,0.02,548810,109717196.0,3.0,2.03,1.97,2.02,2.0,0.62,46.39,0.95
34,35,002170,芭田股份,6.44,0.94,0.06,95823,61286252.05,3.76,6.49,6.25,6.42,6.38,1.35,19.1,2.22
35,36,600691,阳煤化工,2.15,0.94,0.02,215782,45781788.0,3.76,2.17,2.09,2.15,2.13,0.91,-8.92,1.17
36,37,600596,新安股份,8.1,0.62,0.05,109095,87546271.0,2.86,8.13,7.9,8.07,8.05,0.84,41.66,0.86
37,38,002588,史丹利,7.56,-0.4,-0.03,210879,157992917.72,3.69,7.67,7.39,7.6,7.59,2.07,8.53,1.34
