,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600193,创兴资源,2.76,9.96,0.25,252685,66990980.0,9.96,2.76,2.51,2.53,2.51,5.94,-84.84,4.05
1,2,301141,中科磁业,33.21,7.58,2.34,35217,112981724.32,6.54,33.22,31.2,31.23,30.87,7.91,366.29,3.3
2,3,601600,中国铝业,9.13,7.16,0.61,3477362,3134709453.0,5.87,9.22,8.72,8.72,8.52,2.65,11.16,2.43
3,4,300328,宜安科技,7.57,6.92,0.49,334489,240747675.58,9.6,7.57,6.89,7.18,7.08,4.87,1145.89,4.77
4,5,000612,焦作万方,6.68,6.37,0.4,611372,401963185.28,6.05,6.73,6.35,6.36,6.28,5.13,11.08,1.33
5,6,300706,阿石创,23.7,6.14,1.37,58733,134583596.88,7.3,23.81,22.18,23.0,22.33,5.19,364.7,4.81
6,7,873305,九菱科技,12.47,5.68,0.67,9100,10959269.08,6.61,12.49,11.71,11.89,11.8,2.51,34.51,2.56
7,8,600416,湘电股份,11.91,4.66,0.53,199786,232172886.0,5.27,11.94,11.34,11.44,11.38,1.51,47.32,2.13
8,9,836807,奔朗新材,5.7,4.4,0.24,8613,4782296.1,7.14,5.75,5.36,5.51,5.46,0.89,27.78,1.12
9,10,688456,有研粉材,29.61,4.3,1.22,15745,45744195.0,4.51,29.66,28.38,28.78,28.39,1.52,52.22,2.63
10,11,300127,银河磁体,16.07,4.08,0.63,35721,56013927.92,4.53,16.08,15.38,15.47,15.44,1.55,33.06,3.76
11,12,600988,赤峰黄金,18.89,3.91,0.71,624616,1163937215.0,6.33,19.05,17.9,18.19,18.18,3.75,22.12,4.62
12,13,300748,金力永磁,13.75,3.77,0.5,180841,242263352.91,5.58,13.8,13.06,13.25,13.25,1.59,77.28,2.77
13,14,300835,龙磁科技,26.84,3.63,0.94,22820,59997519.6,4.36,26.88,25.75,25.92,25.9,2.78,24.77,3.06
14,15,002943,宇晶股份,20.75,3.59,0.72,35480,71882609.77,4.99,20.8,19.8,20.05,20.03,2.93,45.49,3.32
15,16,300428,立中集团,17.58,3.53,0.6,60212,102938913.52,5.95,17.64,16.63,17.03,16.98,1.12,14.55,1.64
16,17,688571,杭华股份,5.9,3.51,0.2,36304,20935713.0,4.56,5.91,5.65,5.69,5.7,0.86,20.69,1.7
17,18,002167,东方锆业,6.24,3.48,0.21,229894,140305795.75,4.98,6.25,5.95,6.03,6.03,3.03,-40.38,3.3
18,19,002902,铭普光磁,19.24,3.44,0.64,97388,183157690.6,4.89,19.25,18.34,18.6,18.6,5.48,-28.6,3.88
19,20,300797,钢研纳克,12.2,3.39,0.4,55711,66839506.08,3.73,12.22,11.78,11.78,11.8,1.48,48.5,4.23
20,21,600173,卧龙地产,4.2,3.19,0.13,75697,31444863.0,2.46,4.2,4.1,4.16,4.07,1.08,13.94,0.77
21,22,000795,英洛华,6.25,3.14,0.19,144297,88394421.9,3.96,6.27,6.03,6.06,6.06,1.27,24.33,2.67
22,23,000993,闽东电力,9.11,3.05,0.27,135864,124182335.77,6.22,9.5,8.95,9.36,8.84,3.09,38.96,1.72
23,24,300066,三川智慧,3.95,2.86,0.11,164104,63451185.54,4.95,3.96,3.77,3.88,3.84,1.63,45.97,1.66
24,25,600366,宁波韵升,6.48,2.86,0.18,136818,86605002.0,4.6,6.49,6.2,6.29,6.3,1.29,93.47,1.22
25,26,688077,大地熊,17.75,2.84,0.49,14606,25447640.0,4.69,17.78,16.97,17.56,17.26,1.28,57.37,1.92
26,27,002645,华宏科技,7.33,2.81,0.2,60767,43677604.0,4.49,7.35,7.03,7.2,7.13,1.19,958.3,1.19
27,28,002056,横店东磁,13.77,2.76,0.37,99067,133359412.48,4.25,13.79,13.22,13.42,13.4,0.61,17.53,2.52
28,29,000969,安泰科技,9.47,2.71,0.25,156469,145786773.05,3.47,9.49,9.17,9.29,9.22,1.53,17.74,1.85
29,30,002202,金风科技,10.09,2.64,0.26,364735,362364173.68,3.26,10.12,9.8,9.84,9.83,1.07,15.37,1.17
30,31,600330,天通股份,7.01,2.64,0.18,162432,111366863.0,4.69,7.03,6.71,6.84,6.83,1.32,54.82,1.08
31,32,300340,科恒股份,9.13,2.47,0.22,58759,52741333.36,4.94,9.18,8.74,8.91,8.91,3.13,-20.74,12.5
32,33,002738,中矿资源,33.23,2.4,0.78,120777,393760856.22,3.67,33.26,32.07,32.51,32.45,1.68,25.64,2.04
33,34,688020,方邦股份,33.25,2.24,0.73,16557,53848647.0,6.06,33.57,31.6,32.9,32.52,2.05,-61.08,1.86
