,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300447,全信股份,14.14,7.69,1.01,82700,114083617.06,7.08,14.18,13.25,13.25,13.13,4.11,51.76,2.17
1,2,300455,航天智装,13.97,7.63,0.99,222146,300573656.94,6.86,14.05,13.16,13.19,12.98,3.13,245.79,5.56
2,3,000901,航天科技,10.92,7.59,0.77,472747,499672129.99,6.31,10.92,10.28,10.35,10.15,5.92,1108.03,2.1
3,4,300045,华力创通,22.17,7.52,1.55,444404,944984828.56,7.86,22.26,20.64,20.8,20.62,9.15,2598.91,8.43
4,5,688586,江航装备,10.11,7.32,0.69,129882,127594817.0,6.58,10.13,9.51,9.59,9.42,1.64,38.41,3.23
5,6,300213,佳讯飞鸿,7.6,6.74,0.48,293638,215349167.1,7.44,7.63,7.1,7.13,7.12,5.33,84.91,2.04
6,7,002246,北化股份,10.58,6.22,0.62,335494,351621356.82,6.43,10.81,10.17,10.26,9.96,6.11,83.79,2.01
7,8,000561,烽火电子,7.6,5.7,0.41,161026,119889766.2,5.7,7.63,7.22,7.28,7.19,2.67,-46.29,2.49
8,9,002413,雷科防务,4.33,5.1,0.21,336169,143763559.89,4.85,4.35,4.15,4.17,4.12,2.69,-43.26,1.54
9,10,002935,天奥电子,15.43,5.04,0.74,83673,126569826.89,4.29,15.48,14.85,14.85,14.69,2.02,212.94,4.26
10,11,300324,旋极信息,3.06,4.08,0.12,710202,212585002.36,5.44,3.08,2.92,2.95,2.94,4.16,-23.07,1.74
11,12,600879,航天电子,8.4,3.96,0.32,573483,474331993.0,3.47,8.41,8.13,8.15,8.08,1.78,55.55,1.35
12,13,001208,华菱线缆,9.15,3.86,0.34,84089,75570604.3,3.97,9.16,8.81,8.81,8.81,3.39,40.24,3.11
13,14,002046,国机精工,11.37,3.84,0.42,107556,120494886.44,3.56,11.39,11.0,11.0,10.95,2.05,16.94,1.79
14,15,300354,东华测试,33.65,3.79,1.23,20934,68422804.25,5.8,33.68,31.8,32.69,32.42,2.58,31.32,6.54
15,16,600118,中国卫星,25.52,2.99,0.74,135758,341540331.0,3.83,25.56,24.61,24.85,24.78,1.15,1774.85,4.79
16,17,002338,奥普光电,32.69,2.86,0.91,66214,212360839.0,4.47,32.77,31.35,31.7,31.78,2.76,115.09,6.11
17,18,300813,泰林生物,19.37,2.54,0.48,15445,29336864.8,4.71,19.4,18.51,19.16,18.89,2.68,160.59,3.63
18,19,603297,永新光学,67.45,1.89,1.25,10054,66180306.0,5.29,67.58,64.08,66.62,66.2,0.91,37.64,4.13
19,20,688139,海尔生物,31.38,1.06,0.33,32916,100719546.0,5.41,31.57,29.89,31.16,31.05,1.04,21.29,2.35
