,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300621,维业股份,10.1,19.95,1.68,142221,136946231.64,17.34,10.1,8.64,8.7,8.42,7.25,106.12,2.36
1,2,300377,赢时胜,12.99,11.69,1.36,1046457,1255435932.18,16.34,13.0,11.1,11.55,11.63,16.28,-90.08,3.34
2,3,000987,越秀资本,7.35,10.03,0.67,1347966,951556213.98,7.34,7.35,6.86,7.25,6.68,2.69,18.15,1.28
3,4,002285,世联行,2.54,9.96,0.23,1230289,305205775.9,5.19,2.54,2.42,2.46,2.31,6.23,166.68,1.66
4,5,301091,深城交,38.88,9.83,3.48,180162,668602551.28,10.11,39.2,35.62,36.15,35.4,9.35,-816.94,7.11
5,6,002717,岭南股份,2.03,8.56,0.16,2153045,420383791.31,8.56,2.05,1.89,1.89,1.87,13.99,-6.88,1.85
6,7,001212,中旗新材,22.06,6.93,1.43,30383,64407212.8,7.37,22.08,20.56,20.8,20.63,2.99,56.37,1.72
7,8,831175,派诺科技,12.29,6.41,0.74,11887,13991051.31,9.18,12.36,11.3,11.55,11.55,2.95,126.5,1.33
8,9,601333,广深铁路,3.78,6.18,0.22,675342,246807786.0,6.18,3.78,3.56,3.59,3.56,1.19,14.68,0.99
9,10,001979,招商蛇口,11.28,6.11,0.65,1716100,1904446154.38,4.89,11.32,10.8,10.95,10.63,2.06,36.06,1.06
10,11,000099,中信海直,17.81,6.01,1.01,450393,783005105.02,6.43,17.88,16.8,16.8,16.8,5.81,52.17,2.67
11,12,300989,蕾奥规划,13.34,5.62,0.71,72114,94088611.35,5.23,13.37,12.71,12.82,12.63,7.53,567.98,2.7
12,13,600325,华发股份,7.05,5.22,0.35,725602,500746650.0,5.22,7.05,6.7,6.93,6.7,2.82,7.67,0.84
13,14,002197,ST证通,3.75,5.04,0.18,222816,82889876.75,3.92,3.75,3.61,3.63,3.57,4.17,-29.54,0.94
14,15,002431,棕榈股份,1.9,4.97,0.09,278229,52488268.13,5.52,1.94,1.84,1.88,1.81,1.56,-4.74,1.2
15,16,002314,南山控股,2.45,4.7,0.11,327178,78765518.72,4.27,2.46,2.36,2.4,2.34,2.44,-28.06,0.65
16,17,300778,新城市,12.2,4.54,0.53,84682,100762158.24,7.37,12.3,11.44,11.76,11.67,4.16,-11.02,1.86
17,18,002583,海能达,8.7,4.32,0.36,3490229,3045305928.27,18.82,9.17,7.6,9.17,8.34,27.22,48.71,2.63
18,19,600428,中远海特,6.75,4.17,0.27,333948,220451894.0,4.78,6.77,6.46,6.51,6.48,1.56,9.93,1.23
19,20,300635,中达安,10.8,4.15,0.43,75784,80439451.16,5.5,10.88,10.31,10.5,10.37,6.31,159.39,3.44
20,21,000011,深物业A,9.06,4.14,0.36,111023,98587105.77,5.4,9.17,8.7,8.9,8.7,2.11,293.06,1.2
21,22,300949,奥雅股份,32.55,4.13,1.29,9660,30827496.0,4.77,32.6,31.11,32.05,31.26,1.61,-13.79,2.18
22,23,000651,格力电器,50.3,3.52,1.71,431164,2139174828.85,3.54,50.38,48.66,48.66,48.59,0.78,10.02,2.41
23,24,002060,广东建工,3.86,3.49,0.13,222419,84713330.9,3.75,3.87,3.73,3.79,3.73,1.42,15.83,1.12
24,25,000090,天健集团,4.13,3.25,0.13,362780,148193307.09,3.5,4.15,4.01,4.09,4.0,1.94,15.63,0.69
25,26,002233,塔牌集团,7.81,3.17,0.24,97858,75369561.2,3.57,7.83,7.56,7.63,7.57,0.82,20.58,0.8
26,27,002161,远 望 谷,4.69,3.08,0.14,96425,44270900.19,4.4,4.7,4.5,4.58,4.55,1.35,39.05,2.25
27,28,001872,招商港口,23.08,2.85,0.64,85297,196794889.53,3.79,23.45,22.6,22.85,22.44,0.49,11.33,0.96
28,29,002949,华阳国际,13.33,2.7,0.35,46122,60226787.9,4.7,13.42,12.81,12.95,12.98,3.08,22.06,1.91
29,30,300381,溢多利,6.91,2.67,0.18,70497,47788845.98,4.75,6.94,6.62,6.76,6.73,1.44,40.52,1.29
30,31,003013,地铁设计,13.88,2.59,0.35,18493,25352950.0,3.1,13.92,13.5,13.68,13.53,0.46,13.69,2.31
31,32,600162,香江控股,1.6,2.56,0.04,306258,48881068.0,3.21,1.62,1.57,1.59,1.56,0.94,62.17,0.89
32,33,000029,深深房Ａ,14.19,2.53,0.35,91688,128355901.17,4.12,14.29,13.72,14.06,13.84,1.03,1276.54,3.89
