,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300134,大富科技,13.85,13.06,1.6,494599,655222633.69,12.08,14.09,12.61,13.07,12.25,6.94,-38.82,2.48
1,2,300197,节能铁汉,2.01,12.29,0.22,2418440,489016733.69,13.41,2.15,1.91,1.94,1.79,8.16,-7.25,1.51
2,3,000595,宝塔实业,10.29,10.05,0.94,777091,782883218.82,6.42,10.29,9.69,9.75,9.35,6.83,-182.29,24.91
3,4,300425,中建环能,5.6,9.16,0.47,793223,432710082.17,11.31,5.82,5.24,5.29,5.13,11.7,74.84,1.65
4,5,002668,TCL智家,11.63,8.9,0.95,394737,439365722.37,10.58,11.65,10.52,10.64,10.68,3.64,11.27,6.43
5,6,002049,紫光国微,67.33,8.26,5.14,374227,2400053984.01,10.05,68.0,61.75,62.2,62.19,4.41,38.78,4.91
6,7,300319,麦捷科技,11.15,7.11,0.74,283454,303008296.27,8.26,11.18,10.32,10.47,10.41,3.42,33.53,2.28
7,8,300328,宜安科技,7.57,6.92,0.49,334003,240380109.58,9.6,7.57,6.89,7.18,7.08,4.87,1145.89,4.77
8,9,300213,佳讯飞鸿,7.61,6.88,0.49,293718,215410018.1,7.44,7.63,7.1,7.13,7.12,5.33,85.02,2.04
9,10,002856,美芝股份,9.99,5.94,0.56,51894,50532603.0,5.73,10.05,9.51,9.57,9.43,4.29,-30.19,4.02
10,11,300162,雷曼光电,7.29,5.35,0.37,214211,152663732.81,5.2,7.32,6.96,7.01,6.92,6.29,201.73,3.1
11,12,300266,兴源环境,2.22,5.21,0.11,512846,111638724.0,9.0,2.29,2.1,2.23,2.11,3.3,-19.58,18.04
12,13,002197,ST证通,3.75,5.04,0.18,222816,82889876.75,3.92,3.75,3.61,3.63,3.57,4.17,-29.54,0.94
13,14,002427,尤夫股份,3.4,4.94,0.16,307084,105519410.3,9.88,3.56,3.24,3.3,3.24,3.12,-42.72,3.66
14,15,300713,英可瑞,15.89,4.88,0.74,46936,73015350.7,4.69,15.91,15.2,15.27,15.15,5.36,-43.39,4.07
15,16,300576,容大感光,46.53,4.84,2.15,165078,735641272.34,9.22,46.96,42.87,44.39,44.38,8.99,95.45,10.57
16,17,300088,长信科技,6.59,4.6,0.29,934237,592416279.54,7.78,6.62,6.13,6.33,6.3,3.82,43.82,1.96
17,18,300716,泉为科技,10.99,4.37,0.46,55496,60292761.0,4.56,11.14,10.66,10.68,10.53,3.47,-18.7,17.65
18,19,300350,华鹏飞,5.51,4.36,0.23,179409,97022903.13,4.55,5.54,5.3,5.31,5.28,3.8,65.97,3.35
19,20,300410,正业科技,6.01,4.34,0.25,94030,55397492.06,4.69,6.03,5.76,5.83,5.76,2.56,-14.68,6.06
20,21,300207,欣旺达,21.57,4.25,0.88,490148,1035152386.38,4.4,21.6,20.69,21.08,20.69,2.84,24.38,1.71
21,22,002416,爱施德,10.35,4.23,0.42,200344,201291191.96,6.14,10.36,9.75,9.95,9.93,1.64,16.22,2.19
22,23,300187,永清环保,5.2,4.21,0.21,64454,33245507.9,5.61,5.3,5.02,5.02,4.99,1.0,24.56,3.17
23,24,300668,杰恩设计,19.07,4.21,0.77,23967,45391565.0,3.83,19.2,18.5,18.63,18.3,2.71,394.0,3.06
24,25,000007,全新好,6.73,4.18,0.27,93856,61497479.7,6.5,6.77,6.35,6.46,6.46,3.04,376.55,18.09
25,26,300131,英唐智控,6.75,4.17,0.27,479799,315597701.44,5.25,6.78,6.44,6.5,6.48,4.59,107.28,4.46
26,27,300538,同益股份,16.55,3.96,0.63,49202,79677490.68,5.21,16.63,15.8,15.94,15.92,4.28,300.98,2.82
27,28,000526,学大教育,56.38,3.66,1.99,20447,112417848.32,6.12,56.58,53.25,54.5,54.39,1.72,21.5,8.74
28,29,002436,兴森科技,10.25,3.64,0.36,441400,438970714.43,6.17,10.29,9.68,9.89,9.89,2.94,444.04,3.35
29,30,002654,万润科技,10.88,3.62,0.38,435939,459149195.1,7.33,10.9,10.13,10.49,10.5,5.16,159.62,6.12
30,31,002402,和而泰,11.02,3.47,0.37,177750,190152865.39,5.92,11.04,10.41,10.66,10.65,2.22,25.76,2.25
31,32,300072,海新能科,3.32,3.43,0.11,583765,190656614.29,7.17,3.41,3.18,3.27,3.21,2.5,-11.97,1.18
32,33,002845,同兴达,12.85,2.88,0.36,70259,88386511.16,4.48,12.87,12.31,12.51,12.49,2.81,117.37,1.56
33,34,300514,友讯达,13.78,2.76,0.37,34655,46628805.0,5.22,13.79,13.09,13.5,13.41,2.19,15.87,2.96
34,35,300532,今天国际,12.09,2.63,0.31,139850,164391673.77,5.6,12.11,11.45,11.78,11.78,3.27,11.21,3.32
35,36,603021,山东华鹏,3.24,2.53,0.08,54327,17378420.0,4.11,3.25,3.12,3.12,3.16,1.7,-7.98,7.55
36,37,002426,胜利精密,2.06,2.49,0.05,820092,166497528.85,3.98,2.07,1.99,2.01,2.01,2.41,211.1,2.09
37,38,002123,梦网科技,9.71,2.32,0.22,513531,475587290.37,8.54,9.78,8.97,9.49,9.49,7.48,420.76,4.75
38,39,600771,广誉远,20.54,2.24,0.45,78923,159923850.0,4.48,20.7,19.8,20.1,20.09,1.61,84.34,6.46
39,40,300267,尔康制药,2.74,2.24,0.06,272923,73789600.1,4.48,2.76,2.64,2.7,2.68,1.92,448.52,1.18
40,41,002766,索菱股份,5.14,1.98,0.1,279766,140182873.15,5.16,5.16,4.9,4.95,5.04,3.3,98.81,6.05
41,42,002055,得润电子,6.69,1.98,0.13,291701,189976075.04,6.86,6.78,6.33,6.46,6.56,4.93,-21.35,1.6
42,43,300199,翰宇药业,10.95,1.58,0.17,182157,195457482.0,4.82,11.02,10.5,10.85,10.78,2.58,-466.83,12.83
43,44,002721,ST金一,2.88,1.41,0.04,82770,23561001.7,2.11,2.88,2.82,2.82,2.84,0.31,-1031.89,3.75
44,45,002054,德美化工,5.22,1.36,0.07,28354,14694985.0,2.72,5.25,5.11,5.18,5.15,0.74,30.72,1.03
45,46,002356,赫美集团,2.99,1.36,0.04,82466,24299975.8,4.07,3.01,2.89,2.95,2.95,0.63,-90.31,6.98
46,47,002564,*ST天沃,3.31,1.22,0.04,114235,37114058.01,4.28,3.32,3.18,3.23,3.27,1.33,91.66,21.84
47,48,002210,飞马国际,1.87,1.08,0.02,369505,68199050.21,3.78,1.88,1.81,1.86,1.85,1.39,74.56,15.74
48,49,002121,科陆电子,4.06,1.0,0.04,170266,68023815.8,3.98,4.07,3.91,4.02,4.02,1.22,-84.99,7.29
49,50,600462,*ST九有,1.3,-2.26,-0.03,80845,10600570.0,4.51,1.35,1.29,1.34,1.33,1.35,36.57,79.42
50,51,603978,深圳新星,13.91,-3.0,-0.43,189500,254304134.0,6.56,13.98,13.04,13.4,14.34,10.01,-22.97,1.56
