,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688360,德马科技,15.43,7.53,1.08,30248,44900206.0,7.6,15.47,14.38,14.6,14.35,1.8,17.13,2.11
1,2,601598,中国外运,5.66,6.99,0.37,802722,441138514.0,6.81,5.69,5.33,5.51,5.29,1.53,10.61,1.07
2,3,002589,瑞康医药,3.1,6.16,0.18,734221,222301478.62,7.88,3.13,2.9,2.98,2.92,5.38,75.17,0.85
3,4,001228,永泰运,20.96,5.43,1.08,20090,40991894.2,9.36,21.38,19.52,19.9,19.88,3.66,17.61,1.27
4,5,872351,华光源海,6.93,4.84,0.32,13293,8970497.36,5.9,6.95,6.56,6.58,6.61,3.77,42.9,1.36
5,6,002314,南山控股,2.45,4.7,0.11,327178,78765518.72,4.27,2.46,2.36,2.4,2.34,2.44,-28.06,0.65
6,7,002401,中远海科,17.01,4.48,0.73,76628,127184611.16,4.79,17.03,16.25,16.28,16.28,2.07,28.28,3.83
7,8,300350,华鹏飞,5.51,4.36,0.23,179423,97030617.13,4.55,5.54,5.3,5.31,5.28,3.8,65.97,3.35
8,9,600603,ST广物,5.86,4.27,0.24,129548,74668174.0,3.74,5.86,5.65,5.72,5.62,1.05,13.68,1.06
9,10,833171,国航远洋,5.81,3.75,0.21,204157,117052930.6,4.64,5.85,5.59,5.63,5.6,7.12,23.91,2.28
10,11,600704,物产中大,5.01,3.3,0.16,939805,465726228.0,5.15,5.1,4.85,5.05,4.85,1.82,8.27,0.73
11,12,002800,天顺股份,11.27,3.02,0.33,60579,67642456.8,3.75,11.35,10.94,11.08,10.94,4.28,108.45,3.31
12,13,300532,今天国际,12.1,2.72,0.32,140143,164745748.27,5.6,12.11,11.45,11.78,11.78,3.27,11.22,3.32
13,14,600119,长江投资,6.97,2.65,0.18,77283,53569815.0,3.83,7.05,6.79,6.79,6.79,2.12,-84.5,13.32
14,15,300240,飞力达,6.78,2.57,0.17,136678,91331721.66,3.63,6.79,6.55,6.61,6.61,3.77,58.78,1.75
15,16,001202,炬申股份,12.25,2.42,0.29,11138,13523918.72,2.17,12.25,11.99,12.1,11.96,1.23,19.95,2.22
16,17,600755,厦门国贸,7.21,2.41,0.17,225773,161306460.0,3.13,7.25,7.03,7.03,7.04,1.06,9.32,0.76
17,18,000927,中国铁物,2.67,2.3,0.06,395752,104321926.87,2.68,2.67,2.6,2.62,2.61,0.65,29.24,1.77
18,19,000582,北部湾港,7.99,2.17,0.17,106377,84288183.03,2.81,8.04,7.82,7.84,7.82,0.75,14.45,1.06
19,20,300873,海晨股份,16.43,2.05,0.33,20946,33853613.0,3.73,16.45,15.85,16.2,16.1,1.24,12.62,1.31
20,21,603611,诺力股份,17.48,1.69,0.29,31838,54797690.0,3.49,17.51,16.91,17.34,17.19,1.24,9.37,1.64
21,22,600179,安通控股,2.46,1.65,0.04,227970,55401146.0,3.31,2.47,2.39,2.42,2.42,0.61,33.69,1.01
22,23,001317,三羊马,24.95,1.55,0.38,11110,27423894.0,3.5,25.06,24.2,24.99,24.57,3.78,97.29,2.47
23,24,603648,畅联股份,8.6,1.53,0.13,34831,29704556.0,2.48,8.62,8.41,8.45,8.47,0.96,19.48,1.62
24,25,600794,保税科技,3.37,1.51,0.05,99726,33345183.0,2.41,3.38,3.3,3.33,3.32,0.82,14.5,1.61
25,26,605151,西上海,17.2,1.47,0.25,7081,12104855.0,1.71,17.23,16.94,16.94,16.95,0.53,26.37,1.67
26,27,001213,中铁特货,4.19,1.45,0.06,215851,89627011.0,2.18,4.19,4.1,4.15,4.13,0.49,20.6,0.99
27,28,002010,传化智联,4.22,1.44,0.06,225782,94275354.9,3.61,4.25,4.1,4.2,4.16,0.81,20.33,0.68
28,29,603569,长久物流,7.17,1.41,0.1,54265,38519295.0,2.97,7.19,6.98,7.12,7.07,0.9,41.16,1.52
29,30,600662,外服控股,4.75,1.28,0.06,103119,48184889.0,4.48,4.78,4.57,4.78,4.69,0.53,14.9,2.51
30,31,600693,东百集团,3.28,1.23,0.04,67002,21745570.0,2.47,3.29,3.21,3.24,3.24,0.77,20.41,0.8
31,32,000564,供销大集,1.85,1.09,0.02,1726363,314116846.34,3.83,1.85,1.78,1.82,1.83,1.13,-400.38,2.22
32,33,002210,飞马国际,1.87,1.08,0.02,371547,68580904.21,3.78,1.88,1.81,1.86,1.85,1.4,74.56,15.74
33,34,603535,嘉诚国际,10.82,0.65,0.07,123261,132581357.0,9.02,11.3,10.33,10.99,10.75,3.82,15.84,1.55
34,35,600787,中储股份,5.19,0.58,0.03,199743,102879868.0,2.52,5.21,5.08,5.19,5.16,0.92,14.95,0.82
35,36,002183,怡 亚 通,3.68,0.55,0.02,423729,153551026.66,4.37,3.71,3.55,3.66,3.66,1.63,115.97,1.05
36,37,601022,宁波远洋,8.33,0.48,0.04,105264,86803468.0,3.02,8.37,8.12,8.26,8.29,4.23,19.69,1.97
37,38,300013,*ST新宁,2.81,0.36,0.01,137678,38394635.06,5.36,2.87,2.72,2.75,2.8,3.09,-37.02,-8.17
38,39,603117,万林物流,4.06,0.25,0.01,52699,21370001.0,1.48,4.09,4.03,4.06,4.05,0.88,74.89,2.08
