,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002480,新筑股份,4.47,10.1,0.41,201910.0,87185440.06,9.11,4.47,4.1,4.18,4.06,2.63,-9.42,2.77
1,2,301027,华蓝集团,9.95,9.7,0.88,120083.0,115671173.3,7.94,9.98,9.26,9.38,9.07,10.16,-35.61,1.56
2,3,300956,英力股份,17.9,6.87,1.15,106985.0,184597631.82,7.46,17.97,16.72,16.86,16.75,11.95,314.98,2.32
3,4,600502,安徽建工,5.1,5.81,0.28,702290.0,351254468.0,5.6,5.15,4.88,4.98,4.82,4.09,7.14,0.87
4,5,300854,中兰环保,12.68,5.67,0.68,34023.0,42286121.0,4.83,12.72,12.14,12.33,12.0,6.05,51.19,1.3
5,6,600168,武汉控股,4.48,5.16,0.22,166246.0,73578663.0,6.1,4.56,4.3,4.4,4.26,1.67,27.38,0.84
6,7,600021,上海电力,9.38,5.16,0.46,751149.0,696717000.0,3.81,9.45,9.11,9.2,8.92,2.87,9.95,1.4
7,8,300500,启迪设计,12.14,5.11,0.59,43891.0,52019891.0,5.89,12.2,11.52,11.72,11.55,2.69,48.57,1.72
8,9,605011,杭州热电,22.08,5.09,1.07,51259.0,110791566.0,5.19,22.1,21.01,21.01,21.01,1.28,37.85,3.95
9,10,002973,侨银股份,10.14,4.97,0.48,103694.0,106763686.28,7.04,10.59,9.91,9.91,9.66,6.01,12.02,1.81
10,11,300692,中环环保,5.18,4.86,0.24,67307.0,34452904.5,5.06,5.26,5.01,5.16,4.94,1.8,27.3,1.04
11,12,000531,穗恒运Ａ,5.44,4.82,0.25,95998.0,51729202.56,4.62,5.51,5.27,5.51,5.19,1.06,30.84,0.85
12,13,301127,天源环保,10.04,4.58,0.44,104623.0,102788813.37,4.06,10.05,9.66,9.73,9.6,2.96,24.8,2.27
13,14,000877,天山股份,5.74,4.55,0.25,236327.0,133794271.44,3.64,5.75,5.55,5.6,5.49,1.3,-5.98,0.51
14,15,002034,旺能环境,15.31,4.43,0.65,48372.0,73963573.61,2.05,15.48,15.18,15.34,14.66,1.13,9.07,1.03
