,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300290,荣科科技,20.89,19.99,3.48,1067638,2094320117.44,15.51,20.89,18.19,18.24,17.41,16.7,-1660.83,16.25
1,2,300061,旗天科技,13.88,13.68,1.67,1047148,1326039086.05,20.31,13.98,11.5,11.95,12.21,16.87,-309.9,12.15
2,3,300134,大富科技,13.85,13.06,1.6,494614,655243408.69,12.08,14.09,12.61,13.07,12.25,6.94,-38.82,2.48
3,4,688550,瑞联新材,26.83,11.42,2.75,69892,180395654.0,10.92,27.13,24.5,24.5,24.08,4.0,24.59,1.63
4,5,000702,正虹科技,5.92,10.04,0.54,188892,110226885.02,8.55,5.92,5.46,5.46,5.38,7.08,-91.43,4.94
5,6,300561,汇金科技,19.85,9.91,1.79,271908,515479404.91,9.91,19.99,18.2,18.76,18.06,15.08,-987.71,10.37
6,7,300746,汉嘉设计,15.89,8.84,1.29,191386,289029359.0,10.14,15.96,14.48,14.7,14.6,8.63,482.1,3.04
7,8,430198,微创光电,8.63,5.89,0.48,44688,37436920.57,7.48,8.68,8.07,8.07,8.15,6.36,-14.04,3.58
8,9,300697,电工合金,11.79,5.36,0.6,71303,82361704.2,5.18,11.84,11.26,11.26,11.19,2.8,29.38,3.66
9,10,000531,穗恒运Ａ,5.44,4.82,0.25,95998,51729202.56,4.62,5.51,5.27,5.51,5.19,1.06,30.84,0.85
10,11,002708,光洋股份,7.68,4.35,0.32,179693,135254960.0,4.62,7.71,7.37,7.37,7.36,3.63,49.68,2.46
11,12,300668,杰恩设计,19.07,4.21,0.77,23967,45391565.0,3.83,19.2,18.5,18.63,18.3,2.71,394.0,3.06
12,13,300393,中来股份,7.47,3.89,0.28,206988,152104897.34,4.87,7.53,7.18,7.25,7.19,2.17,-13.31,2.05
13,14,603677,奇精机械,11.64,3.28,0.37,10260,11780270.0,3.02,11.64,11.3,11.33,11.27,0.53,26.89,2.07
14,15,600149,廊坊发展,3.99,3.1,0.12,73578,29150444.0,3.62,4.03,3.89,3.93,3.87,1.94,794.46,10.24
15,16,300270,中威电子,6.75,2.74,0.18,99743,65899732.0,4.41,6.75,6.46,6.55,6.57,3.89,-26.47,3.24
16,17,600844,丹化科技,2.51,2.03,0.05,81635,20275118.0,2.85,2.52,2.45,2.46,2.46,0.99,-11.41,6.0
17,18,000428,华天酒店,3.14,1.95,0.06,148739,46014772.2,3.57,3.15,3.04,3.06,3.08,1.46,-20.31,1.93
18,19,600615,丰华股份,9.44,1.94,0.18,24990,23492667.0,3.56,9.53,9.2,9.26,9.26,1.33,348.6,2.77
19,20,600052,东望时代,4.23,1.93,0.08,46215,19416965.0,2.17,4.24,4.15,4.15,4.15,0.55,18.17,1.17
20,21,300859,西域旅游,32.92,1.73,0.56,64671,205653539.1,7.17,33.0,30.68,31.96,32.36,4.17,86.86,7.29
21,22,300239,东宝生物,5.25,1.55,0.08,59779,31010317.0,2.9,5.25,5.1,5.2,5.17,1.01,30.35,1.86
22,23,600354,敦煌种业,5.31,1.53,0.08,70209,37075111.0,2.49,5.34,5.21,5.23,5.23,1.33,44.63,4.45
23,24,002022,科华生物,6.29,1.45,0.09,58464,36230025.0,3.71,6.31,6.08,6.2,6.2,1.14,-30.83,0.74
24,25,603329,上海雅仕,11.92,1.45,0.17,17440,20679774.0,1.87,11.97,11.75,11.9,11.75,1.1,66.36,1.73
25,26,002108,沧州明珠,3.4,1.19,0.04,162109,54503975.67,2.98,3.41,3.31,3.37,3.36,0.98,32.09,1.12
26,27,300149,睿智医药,6.14,1.15,0.07,176858,105419536.64,5.44,6.14,5.81,6.09,6.07,3.54,-24.39,2.2
27,28,002159,三特索道,14.39,1.12,0.16,23952,34208346.0,3.37,14.5,14.02,14.33,14.23,1.73,16.72,1.98
28,29,002817,黄山胶囊,5.88,1.03,0.06,36546,21320260.29,3.09,5.91,5.73,5.82,5.82,1.26,29.63,1.94
29,30,002024,ST易购,1.54,0.65,0.01,149728,23087375.54,1.96,1.56,1.53,1.53,1.53,0.16,483.52,1.24
30,31,002490,ST墨龙,2.13,0.47,0.01,73670,15697746.0,3.3,2.17,2.1,2.1,2.12,1.36,4.99,2.86
31,32,603117,万林物流,4.06,0.25,0.01,52669,21357821.0,1.48,4.09,4.03,4.06,4.05,0.88,74.89,2.08
32,33,000711,*ST京蓝,1.7,0.0,0.0,90853,15319325.8,1.76,1.7,1.67,1.68,1.7,0.77,-46.06,7.17
33,34,002005,ST德豪,1.26,-1.56,-0.02,106836,13532946.08,3.13,1.29,1.25,1.28,1.28,0.61,-27.44,6.38
34,35,002348,高乐股份,2.79,-3.79,-0.11,222216,60745885.56,4.48,2.81,2.68,2.75,2.9,2.5,-36.9,5.52
35,36,300205,ST天喻,6.24,-4.29,-0.28,169656,106307039.64,11.5,6.73,5.98,6.73,6.52,3.98,-35.41,1.86
